epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mcc,train_sample_count,validation_sample_count,train_elapsed_seconds,validation_elapsed_seconds,improved
1,0.003,1.0686071151911303,0.6906240912873888,0.34107772174285383,0.6370433821013778,0.8298081460081717,0.7175623943740352,0.43437441859523357,0.6458816317052789,0.31688197599823076,1595664,341417,22.648954499978572,2.724714700016193,True
2,0.003,0.7110944610684354,0.7641489687051911,0.46165177694693355,0.7352504526546194,1.0601503462093085,0.862997448867514,0.5595281368029471,0.8323565841929709,0.6554972666957892,1595664,341417,22.854688699997496,2.6185144999762997,True
3,0.003,0.4946901434200442,0.9003931905463807,0.6016778706726463,0.874404803995629,0.3578653864814409,0.9031096869810232,0.5990516677571595,0.8831143419407264,0.7894399528049565,1595664,341417,22.470385399996303,2.7135884999879636,True
4,0.003,0.46363268237969313,0.8941863700628704,0.5959207712757953,0.8737193521484549,0.2504628211261515,0.9306712905332775,0.6348770012398511,0.9045773947500524,0.834602524770932,1595664,341417,22.73598990001483,2.7146921000094153,True
5,0.003,0.2516482460619448,0.9238849782911691,0.6254165964065066,0.8985744941297441,0.16620048224100675,0.9330320399980083,0.6380524262379964,0.9070237095349261,0.8400900108357455,1595664,341417,26.861847000021953,3.3433218999998644,True
6,0.003,0.2231801069812821,0.9336282575780365,0.6586728647912558,0.9106538369550219,0.22952967357248513,0.9310872042106867,0.63485132443294,0.9050202386969103,0.8357978936855204,1595664,341417,31.48131210001884,4.163452299952041,False
7,0.003,0.24406823079453938,0.9334289675019303,0.6617322134985493,0.9120704489031116,0.16613812214694113,0.9325721917772108,0.6355787467757098,0.9065377140373462,0.8394751901131764,1595664,341417,40.11352429998806,4.020470299990848,False
8,0.003,0.15816996185171622,0.9449301356676594,0.7638975181760442,0.9327902669217517,0.11243755847352718,0.9667766982897746,0.8851679270540522,0.9638255825627645,0.9218632312101278,1595664,341417,29.705326299997978,3.3448272999958135,True
9,0.003,0.15214139958538997,0.9542309659176368,0.822084405344517,0.9475921524037944,0.15142113770161367,0.9460044461757909,0.7595391584701385,0.9343245071118058,0.8734259143494548,1595664,341417,27.349550699989777,3.112503900018055,False
10,0.003,0.15990884293828406,0.9519936527990855,0.7829055853555872,0.9409024510988462,0.15164031944458253,0.9522197195804544,0.7970181822179919,0.9427186729005951,0.8869252433039521,1595664,341417,29.312522499996703,3.4441632000380196,False
11,0.003,0.15384910568494778,0.9533260134965758,0.7913028424602021,0.9434380300529096,0.15358815573283463,0.9464057150054039,0.7435082873149833,0.9353380977135675,0.8758961707527079,1595664,341417,30.980129500036128,3.5119817999657243,False
12,0.003,0.14875627511576578,0.9585677185171816,0.8598872345605163,0.9547521602973283,0.5292916258088817,0.9208182369360636,0.6318046676410831,0.8966991971940045,0.8086903122798259,1595664,341417,32.45729059999576,3.2785198999918066,False
