Model,Varyant,Macro F1 Ortalama,Macro F1 SS,Macro F1 %95 GA Alt,Macro F1 %95 GA Üst,Macro F1 Ortalama ± SS,Macro F1 Ortalama Rank,MCC Ortalama,MCC SS,Dengeli Doğruluk Ortalama,Dengeli Doğruluk SS
TinyML-MLP,B0,0.9805915144524256,0.006508827449254,0.9725097377381664,0.9886732911666848,0.980592 ± 0.006509,7.4,0.9857476927936814,0.0051309411100409,0.9729821068749256,0.0148519917515263
TinyML-MLP,P25,0.9890676483979992,0.0031090741216445,0.9852072229934064,0.9929280738025924,0.989068 ± 0.003109,2.8,0.9923502418726906,0.002156182688123,0.9878507794380014,0.00617890394937
TinyML-MLP,P50,0.9881282019261878,0.0033350463808003,0.9839871949028084,0.9922692089495672,0.988128 ± 0.003335,4.6,0.9917154847346832,0.0022481545636198,0.9861706256994668,0.0063789534957296
TinyML-MLP,P75,0.9830596718239476,0.0036364407670216,0.9785444342419362,0.9875749094059588,0.983060 ± 0.003636,7.0,0.9882407949763896,0.0023923136424526,0.9764758683174036,0.0081789297290142
TinyML-MLP,DQ,0.9775974122110536,0.0051575498742287,0.9711934682132836,0.984001356208824,0.977597 ± 0.005158,9.0,0.981901238938535,0.0088591058163977,0.9696582838362288,0.0110477920271945
TinyML-MLP,PTQ,0.9709503884444086,0.0110136956263874,0.9572750790979492,0.9846256977908682,0.970950 ± 0.011014,9.6,0.9708574069160688,0.0268745713905233,0.9659605093199574,0.0155989135042076
TinyML-MLP,QAT,0.9898307822861586,0.0028180405851747,0.98633172274607,0.9933298418262472,0.989831 ± 0.002818,1.0,0.9928412609207616,0.0019905223445727,0.9899956543776928,0.0051813751404308
TinyML-MLP,P25-QAT,0.9892190258526948,0.0027376884816866,0.9858197366266872,0.9926183150787022,0.989219 ± 0.002738,2.6,0.992424026167409,0.0019123896587949,0.9892307075902756,0.0057754094665431
TinyML-MLP,P50-QAT,0.9885267673580715,0.0031957488028301,0.9845587211222946,0.9924948135938484,0.988527 ± 0.003196,4.0,0.9919353066287052,0.0021522166540942,0.9869817805359826,0.006711187313319
TinyML-MLP,P75-QAT,0.9829311283380456,0.003845011808231,0.9781569156030968,0.9877053410729946,0.982931 ± 0.003845,7.0,0.987969390745804,0.002405681915101,0.9756006142825672,0.0079523853821582
Compact-DNN,B0,0.9824446904185148,0.0046322113358503,0.976693040370718,0.9881963404663114,0.982445 ± 0.004632,6.6,0.9879019624394209,0.003098154615019,0.9721278643663268,0.0085769130925496
Compact-DNN,P25,0.9910308315430216,0.0028126950520625,0.98753840935895,0.9945232537270936,0.991031 ± 0.002813,2.4,0.9936979791873436,0.0019441089831325,0.9895293823320004,0.0063554306570442
Compact-DNN,P50,0.9880453965744138,0.004004588334112,0.98307304341232,0.9930177497365076,0.988045 ± 0.004005,5.0,0.9916389210613764,0.0026508282509397,0.9835072685522442,0.0094612973380419
Compact-DNN,P75,0.9787215067654096,0.0014584304214416,0.9769106262172204,0.9805323873135988,0.978722 ± 0.001458,8.4,0.9854576887571196,0.0009964967802875,0.9655152045867222,0.003806681745553
Compact-DNN,DQ,0.9802408570826078,0.0041491253310972,0.975089037534949,0.9853926766302664,0.980241 ± 0.004149,7.8,0.9864043560494792,0.002696597530971,0.969410450830536,0.0081042156728094
Compact-DNN,PTQ,0.979747733182034,0.0108292137009899,0.9663014884006598,0.993193977963408,0.979748 ± 0.010829,7.2,0.985769037552302,0.0071236841623626,0.9696026295510044,0.0192204648989576
