Model,Varyant,Runtime,Hassasiyet,Parametre,MAC,Artifact Boyutu (bayt),Artifact Boyutu (KiB),Macro F1,Macro F1 SS,Medyan Gecikme (ms),P95 Gecikme (ms),P99 Gecikme (ms),Throughput (örnek/s),Ölçüm Ortamı,MCU Ölçümü
TinyML-MLP,B0,pytorch_fp32_cpu,FP32,9603,9504,41173.0,40.2080078125,0.9805915144524256,0.006508827449254,0.05391,0.0769789999999999,0.1260805999999998,1611061.1304538208,Host CPU,False
TinyML-MLP,P25,pytorch_fp32_cpu,FP32,6819,6744,30101.0,29.3955078125,0.9890676483979992,0.0031090741216445,0.04784,0.0870669999999999,0.1965455999999996,2828041.8310386515,Host CPU,False
TinyML-MLP,P50,pytorch_fp32_cpu,FP32,4291,4240,19925.0,19.4580078125,0.9881282019261878,0.0033350463808003,0.0520599999999999,0.0865,0.1949757999999997,3689045.916978845,Host CPU,False
TinyML-MLP,P75,pytorch_fp32_cpu,FP32,2019,1992,10901.0,10.6455078125,0.9830596718239476,0.0036364407670216,0.05044,0.083657,0.1495263999999996,4276226.410756801,Host CPU,False
TinyML-MLP,DQ,onnxruntime_cpu,INT8,9603,9504,14880.0,14.53125,0.9775974122110536,0.0051575498742287,0.0232,0.032739,0.0777079999999997,3196326.6420282423,Host CPU,False
TinyML-MLP,PTQ,onnxruntime_cpu,INT8,9603,9504,15920.8,15.54765625,0.9709503884444086,0.0110136956263874,0.01875,0.0294789999999999,0.0939605999999998,4171937.7225892977,Host CPU,False
TinyML-MLP,QAT,pytorch_fx_quantized_onednn_cpu,INT8,9603,9504,18151.0,17.7255859375,0.9898307822861586,0.0028180405851747,0.14298,0.3072250000000001,0.5156513999999996,847178.1835370859,Host CPU,False
TinyML-MLP,P25-QAT,pytorch_fx_quantized_onednn_cpu,INT8,6819,6744,14951.0,14.6005859375,0.9892190258526948,0.0027376884816866,0.14492,0.4170379999999999,0.6606465999999994,913448.9549121629,Host CPU,False
TinyML-MLP,P50-QAT,pytorch_fx_quantized_onednn_cpu,INT8,4291,4240,11943.0,11.6630859375,0.9885267673580715,0.0031957488028301,0.1435799999999999,0.3548460000000001,0.6789591999999997,783149.6404380696,Host CPU,False
TinyML-MLP,P75-QAT,pytorch_fx_quantized_onednn_cpu,INT8,2019,1992,9191.0,8.9755859375,0.9829311283380456,0.003845011808231,0.1447799999999999,0.346201,0.5677021999999997,999365.5173966537,Host CPU,False
Compact-DNN,B0,pytorch_fp32_cpu,FP32,25283,25056,104397.0,101.9501953125,0.9824446904185148,0.0046322113358503,0.0768399999999999,0.13816,0.2869815999999995,1045063.7657157298,Host CPU,False
Compact-DNN,P25,pytorch_fp32_cpu,FP32,17043,16872,71501.0,69.8251953125,0.9910308315430216,0.0028126950520625,0.06407,0.1240249999999999,0.2826293999999997,1231190.907673081,Host CPU,False
Compact-DNN,P50,pytorch_fp32_cpu,FP32,10083,9968,43597.0,42.5751953125,0.9880453965744138,0.004004588334112,0.0768099999999999,0.117301,0.2373733999999989,1908133.3352023032,Host CPU,False
Compact-DNN,P75,pytorch_fp32_cpu,FP32,4403,4344,20941.0,20.4501953125,0.9787215067654096,0.0014584304214416,0.0705399999999999,0.131855,0.2571689999999993,2912480.205709737,Host CPU,False
Compact-DNN,DQ,onnxruntime_cpu,INT8,25283,25056,33259.0,32.4794921875,0.9802408570826078,0.0041491253310972,0.02732,0.0403159999999999,0.0867887999999998,2059351.894032841,Host CPU,False
Compact-DNN,PTQ,onnxruntime_cpu,INT8,25283,25056,35238.4,34.4125,0.979747733182034,0.0108292137009899,0.02506,0.0395219999999999,0.0902049999999997,2277982.557686012,Host CPU,False
Compact-DNN,QAT,pytorch_fx_quantized_onednn_cpu,INT8,25283,25056,37973.0,37.0830078125,0.9918457718924985,0.002949648688182,0.19274,0.4207980000000001,0.6770751999999991,657229.841932041,Host CPU,False
Compact-DNN,P25-QAT,pytorch_fx_quantized_onednn_cpu,INT8,17043,16872,28693.0,28.0205078125,0.9912921740239392,0.0031559828437366,0.20267,0.5471650000000002,0.8897361999999994,659922.5933112692,Host CPU,False
Compact-DNN,P50-QAT,pytorch_fx_quantized_onednn_cpu,INT8,10083,9968,20629.0,20.1455078125,0.9874837593261372,0.0043063661897589,0.24336,0.7020990000000001,1.078436999999998,683885.0961609265,Host CPU,False
Compact-DNN,P75-QAT,pytorch_fx_quantized_onednn_cpu,INT8,4403,4344,13909.0,13.5830078125,0.9782200583342872,0.0013037898219746,0.20901,0.4968420000000002,0.7875735999999995,727181.4846605774,Host CPU,False
Tiny-1D-CNN,B0,pytorch_fp32_cpu,FP32,1699,58816,10381.0,10.1376953125,0.9175942068925638,0.0235526722811602,0.1132299999999999,0.264315,0.5194111999999994,43734.02884973687,Host CPU,False
