Model,Varyant,Benign FNR Ortalama,Benign FNR SS,Benign FNR Ortalama ± SS,Gafgyt FNR Ortalama,Gafgyt FNR SS,Gafgyt FNR Ortalama ± SS,Mirai FNR Ortalama,Mirai FNR SS,Mirai FNR Ortalama ± SS
TinyML-MLP,B0,0.00278430100551406,0.0014739084848396703,0.002784 ± 0.001474,0.07645315951085487,0.04636252241703605,0.076453 ± 0.046363,0.00181621885885392,0.001970910268511008,0.001816 ± 0.001971
TinyML-MLP,P25,0.0010872526759649,0.0002719052745493259,0.001087 ± 0.000272,0.0337014491192156,0.018803718919616214,0.033701 ± 0.018804,0.00165895989081498,0.0004308448153080788,0.001659 ± 0.000431
TinyML-MLP,P50,0.00160103795004858,0.0007139797836216658,0.001601 ± 0.000714,0.038366643322738724,0.019404090929131177,0.038367 ± 0.019404,0.00152044162881176,0.0004050716324319752,0.001520 ± 0.000405
TinyML-MLP,P75,0.00249367499189098,0.002501875462572695,0.002494 ± 0.002502,0.06693961105424764,0.02639306606777805,0.066940 ± 0.026393,0.00113910900164994,0.00026711712815117287,0.001139 ± 0.000267
TinyML-MLP,DQ,0.00254297761920204,0.0014496215927974779,0.002543 ± 0.001450,0.08491084415234604,0.03524762639797312,0.084911 ± 0.035248,0.0035713267197652805,0.005254279709647934,0.003571 ± 0.005254
TinyML-MLP,PTQ,0.00244437236457988,0.0018288946043584471,0.002444 ± 0.001829,0.08933900770349615,0.05192580670524741,0.089339 ± 0.051926,0.010335091972051898,0.017899077677050648,0.010335 ± 0.017899
TinyML-MLP,QAT,0.00089782679208558,0.00026373430445198495,0.000898 ± 0.000264,0.027193880299520523,0.01566590103867762,0.027194 ± 0.015666,0.0019213297753152,0.00034641066837535426,0.001921 ± 0.000346
TinyML-MLP,P25-QAT,0.0009626986701264599,0.00023594108055816106,0.000963 ± 0.000236,0.029359478532564744,0.017749321334684036,0.029359 ± 0.017749,0.0019857000264813804,0.0004971746823347798,0.001986 ± 0.000497
TinyML-MLP,P50-QAT,0.00126110930911444,0.0004945092673069025,0.001261 ± 0.000495,0.036125626245757644,0.02071188420946454,0.036126 ± 0.020712,0.0016679228371798802,0.0005657571565540832,0.001668 ± 0.000566
TinyML-MLP,P75-QAT,0.0024288031138500797,0.002359400103663661,0.002429 ± 0.002359,0.06965468943597473,0.025501145080612023,0.069655 ± 0.025501,0.00111466460247294,0.00033197518053770526,0.001115 ± 0.000332
Compact-DNN,B0,0.0009756730457346619,0.000564228729935344,0.000976 ± 0.000564,0.08195873511824592,0.02622908147505451,0.081959 ± 0.026229,0.0006819987370393,0.0002830318262890851,0.000682 ± 0.000283
Compact-DNN,P25,0.00050340577359708,0.0001786981811139964,0.000503 ± 0.000179,0.029553412702688096,0.019499134244978147,0.029553 ± 0.019499,0.0013550345277138,0.00038358585836322374,0.001355 ± 0.000384
Compact-DNN,P50,0.00047745702238074004,0.00022943010676750361,0.000477 ± 0.000229,0.04779399881484672,0.02910970687787489,0.047794 ± 0.029110,0.00120673850603974,0.0007799012702932719,0.001207 ± 0.000780
Compact-DNN,P75,0.00119623743107358,0.0010027857893000606,0.001196 ± 0.001003,0.10168614986801698,0.012055080637661973,0.101686 ± 0.012055,0.0005719989407426201,0.0003003031995687868,0.000572 ± 0.000300
Compact-DNN,DQ,0.0008952319169639239,0.0005214827508390614,0.000895 ± 0.000521,0.08987771373161664,0.024936230131215396,0.089878 ± 0.024936,0.00099570185981132,0.00039107431270488135,0.000996 ± 0.000391
Compact-DNN,PTQ,0.0011599091793707422,0.0009240360874180941,0.001160 ± 0.000924,0.08864946398750195,0.05825114495317464,0.088649 ± 0.058251,0.00138273818011444,0.0008235037968271242,0.001383 ± 0.000824
Compact-DNN,QAT,0.00048524164774564,0.00023382690264949773,0.000485 ± 0.000234,0.02302429564186818,0.021787965140838365,0.023024 ± 0.021788,0.00152370088203536,0.000554656889653087,0.001524 ± 0.000555
Compact-DNN,P25-QAT,0.0005111903989620401,0.00016681031151088462,0.000511 ± 0.000167,0.02667672251252486,0.022084430858275484,0.026677 ± 0.022084,0.00146910839054,0.0006356953883400333,0.001469 ± 0.000636
Compact-DNN,P50-QAT,0.00055789815115142,0.0002690423788949521,0.000558 ± 0.000269,0.05301944728761512,0.029926062946442785,0.053019 ± 0.029926,0.00100384999287036,0.0006882556338933098,0.001004 ± 0.000688
Compact-DNN,P75-QAT,0.00144015569250726,0.0008801084278511867,0.001440 ± 0.000880,0.10346387976081448,0.010795149977377095,0.103464 ± 0.010795,0.0005630359943777201,0.00033358122377888133,0.000563 ± 0.000334
Tiny-1D-CNN,B0,0.00833992864093408,0.0075881431872407154,0.008340 ± 0.007588,0.24668426439691857,0.11483474227209693,0.246684 ± 0.114835,0.01886700209814422,0.01150429933396528,0.018867 ± 0.011504
Tiny-1D-CNN,P25,0.0034537787868958196,0.001298779714487383,0.003454 ± 0.001299,0.370899100360933,0.28147282485636993,0.370899 ± 0.281473,0.0168902650180277,0.007309800362847594,0.016890 ± 0.007310
Tiny-1D-CNN,P50,0.1546156341226078,0.25698943909847843,0.154616 ± 0.256989,0.9659106825405377,0.07622603114592827,0.965911 ± 0.076226,0.019163594141492303,0.022315627435741277,0.019164 ± 0.022316
Tiny-1D-CNN,P75,0.45260849821602334,0.5009271907889508,0.452608 ± 0.500927,1.0,0.0,1.000000 ± 0.000000,0.00399910370536348,0.007188666205471811,0.003999 ± 0.007189
Tiny-1D-CNN,DQ,0.04926110930911448,0.036220025993780755,0.049261 ± 0.036220,0.3068792759790982,0.13417694126297355,0.306879 ± 0.134177,0.01890611313682748,0.011097229484614876,0.018906 ± 0.011097
Tiny-1D-CNN,PTQ,0.02047096983457669,0.02044125003193725,0.020471 ± 0.020441,0.25504498195334807,0.14318918001412692,0.255045 ± 0.143189,0.03883563178586698,0.027599029120535207,0.038836 ± 0.027599
