Scope,Model,Varyant,Macro F1,Artifact Boyutu (bayt),Medyan Gecikme (ms),MAC,Baskın Çözüm Sayısı
Global,Compact-DNN,DQ,0.9802408570826078,33259.0,0.02732,25056,0
Global,Compact-DNN,P25,0.9910308315430216,71501.0,0.06407,16872,0
Global,Compact-DNN,P25-QAT,0.9912921740239392,28693.0,0.20267,16872,0
Global,Compact-DNN,PTQ,0.979747733182034,35238.4,0.02506,25056,0
Global,Compact-DNN,QAT,0.9918457718924985,37973.0,0.19274,25056,0
Global,Tiny-1D-CNN,B0,0.9175942068925638,10381.0,0.1132299999999999,58816,0
Global,Tiny-1D-CNN,P25,0.8871485959758079,7629.0,0.1347299999999999,33960,0
Global,Tiny-1D-CNN,P50,0.6151127616035036,5517.0,0.10728,15872,0
Global,Tiny-1D-CNN,P75,0.4881338308972914,4301.0,0.1113,4552,0
Global,TinyML-MLP,DQ,0.9775974122110536,14880.0,0.0232,9504,0
Global,TinyML-MLP,P25,0.9890676483979992,30101.0,0.04784,6744,0
Global,TinyML-MLP,P25-QAT,0.9892190258526948,14951.0,0.14492,6744,0
Global,TinyML-MLP,P50,0.9881282019261878,19925.0,0.0520599999999999,4240,0
Global,TinyML-MLP,P50-QAT,0.9885267673580715,11943.0,0.1435799999999999,4240,0
Global,TinyML-MLP,P75,0.9830596718239476,10901.0,0.05044,1992,0
Global,TinyML-MLP,P75-QAT,0.9829311283380456,9191.0,0.1447799999999999,1992,0
Global,TinyML-MLP,PTQ,0.9709503884444086,15920.8,0.01875,9504,0
Global,TinyML-MLP,QAT,0.9898307822861586,18151.0,0.14298,9504,0
Model İçi,Compact-DNN,DQ,0.9802408570826078,33259.0,0.02732,25056,0
Model İçi,Compact-DNN,P25,0.9910308315430216,71501.0,0.06407,16872,0
Model İçi,Compact-DNN,P25-QAT,0.9912921740239392,28693.0,0.20267,16872,0
Model İçi,Compact-DNN,P50,0.9880453965744138,43597.0,0.0768099999999999,9968,0
Model İçi,Compact-DNN,P50-QAT,0.9874837593261372,20629.0,0.24336,9968,0
Model İçi,Compact-DNN,P75,0.9787215067654096,20941.0,0.0705399999999999,4344,0
Model İçi,Compact-DNN,P75-QAT,0.9782200583342872,13909.0,0.20901,4344,0
Model İçi,Compact-DNN,PTQ,0.979747733182034,35238.4,0.02506,25056,0
Model İçi,Compact-DNN,QAT,0.9918457718924985,37973.0,0.19274,25056,0
Model İçi,Tiny-1D-CNN,B0,0.9175942068925638,10381.0,0.1132299999999999,58816,0
Model İçi,Tiny-1D-CNN,DQ,0.8845267129319518,12042.0,0.0716599999999999,58816,0
Model İçi,Tiny-1D-CNN,P25,0.8871485959758079,7629.0,0.1347299999999999,33960,0
Model İçi,Tiny-1D-CNN,P25-QAT,0.9009387883828296,10447.0,0.6984800000000001,33960,0
Model İçi,Tiny-1D-CNN,P50,0.6151127616035036,5517.0,0.10728,15872,0
Model İçi,Tiny-1D-CNN,P50-QAT,0.6530417199874782,9743.0,0.6533100000000001,15872,0
Model İçi,Tiny-1D-CNN,P75,0.4881338308972914,4301.0,0.1113,4552,0
Model İçi,Tiny-1D-CNN,P75-QAT,0.4917683388804431,9231.0,0.69659,4552,0
Model İçi,Tiny-1D-CNN,PTQ,0.892829380031247,15034.0,0.0319,58816,0
Model İçi,Tiny-1D-CNN,QAT,0.932388997535502,11535.0,0.35394,58816,0
Model İçi,TinyML-MLP,DQ,0.9775974122110536,14880.0,0.0232,9504,0
Model İçi,TinyML-MLP,P25,0.9890676483979992,30101.0,0.04784,6744,0
Model İçi,TinyML-MLP,P25-QAT,0.9892190258526948,14951.0,0.14492,6744,0
Model İçi,TinyML-MLP,P50,0.9881282019261878,19925.0,0.0520599999999999,4240,0
Model İçi,TinyML-MLP,P50-QAT,0.9885267673580715,11943.0,0.1435799999999999,4240,0
Model İçi,TinyML-MLP,P75,0.9830596718239476,10901.0,0.05044,1992,0
Model İçi,TinyML-MLP,P75-QAT,0.9829311283380456,9191.0,0.1447799999999999,1992,0
Model İçi,TinyML-MLP,PTQ,0.9709503884444086,15920.8,0.01875,9504,0
Model İçi,TinyML-MLP,QAT,0.9898307822861586,18151.0,0.14298,9504,0
