device,class_label,fingerprint_count,raw_occurrence_count
Danmini_Doorbell,benign,40395,49548
Danmini_Doorbell,gafgyt_combo,59718,59718
Danmini_Doorbell,gafgyt_junk,29068,29068
Danmini_Doorbell,gafgyt_scan,29849,29849
Danmini_Doorbell,gafgyt_tcp,85227,92141
Danmini_Doorbell,gafgyt_udp,100182,105874
Danmini_Doorbell,mirai_ack,102195,102195
Danmini_Doorbell,mirai_scan,107685,107685
Danmini_Doorbell,mirai_syn,122573,122573
Danmini_Doorbell,mirai_udp,237665,237665
Danmini_Doorbell,mirai_udpplain,81982,81982
Ecobee_Thermostat,benign,13111,13113
Ecobee_Thermostat,gafgyt_combo,53012,53012
Ecobee_Thermostat,gafgyt_junk,30312,30312
Ecobee_Thermostat,gafgyt_scan,27494,27494
Ecobee_Thermostat,gafgyt_tcp,87877,95021
Ecobee_Thermostat,gafgyt_udp,99195,104791
Ecobee_Thermostat,mirai_ack,113285,113285
Ecobee_Thermostat,mirai_scan,43192,43192
Ecobee_Thermostat,mirai_syn,116807,116807
Ecobee_Thermostat,mirai_udp,151481,151481
Ecobee_Thermostat,mirai_udpplain,87368,87368
Ennio_Doorbell,benign,35410,39100
Ennio_Doorbell,gafgyt_combo,53014,53014
Ennio_Doorbell,gafgyt_junk,29797,29797
Ennio_Doorbell,gafgyt_scan,28120,28120
Ennio_Doorbell,gafgyt_tcp,93903,101536
Ennio_Doorbell,gafgyt_udp,98355,103933
Philips_B120N10_Baby_Monitor,benign,165141,175240
Philips_B120N10_Baby_Monitor,gafgyt_combo,58152,58152
Philips_B120N10_Baby_Monitor,gafgyt_junk,28349,28349
Philips_B120N10_Baby_Monitor,gafgyt_scan,27859,27859
Philips_B120N10_Baby_Monitor,gafgyt_tcp,85628,92581
Philips_B120N10_Baby_Monitor,gafgyt_udp,100093,105782
Philips_B120N10_Baby_Monitor,mirai_ack,91123,91123
Philips_B120N10_Baby_Monitor,mirai_scan,103621,103621
Philips_B120N10_Baby_Monitor,mirai_syn,118128,118128
Philips_B120N10_Baby_Monitor,mirai_udp,217034,217034
Philips_B120N10_Baby_Monitor,mirai_udpplain,80808,80808
Provision_PT_737E_Security_Camera,benign,55169,62154
Provision_PT_737E_Security_Camera,gafgyt_combo,61380,61380
Provision_PT_737E_Security_Camera,gafgyt_junk,30898,30898
Provision_PT_737E_Security_Camera,gafgyt_scan,29297,29297
Provision_PT_737E_Security_Camera,gafgyt_tcp,96658,104510
Provision_PT_737E_Security_Camera,gafgyt_udp,98424,104011
Provision_PT_737E_Security_Camera,mirai_ack,60554,60554
Provision_PT_737E_Security_Camera,mirai_scan,96781,96781
Provision_PT_737E_Security_Camera,mirai_syn,65746,65746
Provision_PT_737E_Security_Camera,mirai_udp,156248,156248
Provision_PT_737E_Security_Camera,mirai_udpplain,56681,56681
Provision_PT_838_Security_Camera,benign,93995,98514
Provision_PT_838_Security_Camera,gafgyt_combo,57530,57530
Provision_PT_838_Security_Camera,gafgyt_junk,29068,29068
Provision_PT_838_Security_Camera,gafgyt_scan,28397,28397
Provision_PT_838_Security_Camera,gafgyt_tcp,82687,89387
Provision_PT_838_Security_Camera,gafgyt_udp,99028,104658
Provision_PT_838_Security_Camera,mirai_ack,57997,57997
Provision_PT_838_Security_Camera,mirai_scan,97096,97096
Provision_PT_838_Security_Camera,mirai_syn,61851,61851
Provision_PT_838_Security_Camera,mirai_udp,158608,158608
Provision_PT_838_Security_Camera,mirai_udpplain,53785,53785
Samsung_SNH_1011_N_Webcam,benign,49559,52150
Samsung_SNH_1011_N_Webcam,gafgyt_combo,58669,58669
Samsung_SNH_1011_N_Webcam,gafgyt_junk,28305,28305
Samsung_SNH_1011_N_Webcam,gafgyt_scan,27698,27698
