device_a,device_b,shared_fingerprint_count,device_a_occurrences_on_shared,device_b_occurrences_on_shared
Danmini_Doorbell,Ecobee_Thermostat,287866,300067,300067
Danmini_Doorbell,Ennio_Doorbell,291154,303568,303568
Danmini_Doorbell,Philips_B120N10_Baby_Monitor,902163,914509,914509
Danmini_Doorbell,Provision_PT_737E_Security_Camera,299372,311794,311794
Danmini_Doorbell,Provision_PT_838_Security_Camera,293578,305837,305836
Danmini_Doorbell,Samsung_SNH_1011_N_Webcam,295491,307933,307933
Danmini_Doorbell,SimpleHome_XCS7_1002_WHT_Security_Camera,285836,297797,297797
Danmini_Doorbell,SimpleHome_XCS7_1003_WHT_Security_Camera,294735,307176,307176
Ecobee_Thermostat,Ennio_Doorbell,290619,303128,303128
Ecobee_Thermostat,Philips_B120N10_Baby_Monitor,287671,299868,299867
Ecobee_Thermostat,Provision_PT_737E_Security_Camera,293467,305977,305977
Ecobee_Thermostat,Provision_PT_838_Security_Camera,286690,298750,298749
Ecobee_Thermostat,Samsung_SNH_1011_N_Webcam,293543,306171,306171
Ecobee_Thermostat,SimpleHome_XCS7_1002_WHT_Security_Camera,785272,797475,797475
Ecobee_Thermostat,SimpleHome_XCS7_1003_WHT_Security_Camera,771512,783682,783682
Ennio_Doorbell,Philips_B120N10_Baby_Monitor,291618,304120,304119
Ennio_Doorbell,Provision_PT_737E_Security_Camera,302120,315317,315317
Ennio_Doorbell,Provision_PT_838_Security_Camera,290730,303003,303002
Ennio_Doorbell,Samsung_SNH_1011_N_Webcam,297723,310630,310630
Ennio_Doorbell,SimpleHome_XCS7_1002_WHT_Security_Camera,284593,296632,296632
Ennio_Doorbell,SimpleHome_XCS7_1003_WHT_Security_Camera,289598,302073,302073
Philips_B120N10_Baby_Monitor,Provision_PT_737E_Security_Camera,298095,310618,310619
Philips_B120N10_Baby_Monitor,Provision_PT_838_Security_Camera,293987,306281,306282
Philips_B120N10_Baby_Monitor,Samsung_SNH_1011_N_Webcam,292529,304854,304855
Philips_B120N10_Baby_Monitor,SimpleHome_XCS7_1002_WHT_Security_Camera,286857,298880,298881
Philips_B120N10_Baby_Monitor,SimpleHome_XCS7_1003_WHT_Security_Camera,293571,306007,306007
Provision_PT_737E_Security_Camera,Provision_PT_838_Security_Camera,718026,730307,730306
Provision_PT_737E_Security_Camera,Samsung_SNH_1011_N_Webcam,303406,316322,316322
Provision_PT_737E_Security_Camera,SimpleHome_XCS7_1002_WHT_Security_Camera,287902,299942,299942
Provision_PT_737E_Security_Camera,SimpleHome_XCS7_1003_WHT_Security_Camera,298571,311287,311287
Provision_PT_838_Security_Camera,Samsung_SNH_1011_N_Webcam,294065,306365,306366
Provision_PT_838_Security_Camera,SimpleHome_XCS7_1002_WHT_Security_Camera,287146,299177,299177
Provision_PT_838_Security_Camera,SimpleHome_XCS7_1003_WHT_Security_Camera,289591,301705,301706
Samsung_SNH_1011_N_Webcam,SimpleHome_XCS7_1002_WHT_Security_Camera,288937,301145,301145
Samsung_SNH_1011_N_Webcam,SimpleHome_XCS7_1003_WHT_Security_Camera,291020,303319,303319
SimpleHome_XCS7_1002_WHT_Security_Camera,SimpleHome_XCS7_1003_WHT_Security_Camera,775717,787534,787534
