run_number,run_id,held_out_device_id,held_out_device,model_id,model_family,seed,task,pipeline,fold_policy,train_fingerprint_count,validation_fingerprint_count,test_fingerprint_count,test_present_family_count,mirai_metric_policy,status
1,early_lodo_00_tinyml_mlp_b0_seed2026,0,Danmini_Doorbell,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1039932,222798,996539,3,required,pending
2,early_lodo_00_compact_dnn_b0_seed2026,0,Danmini_Doorbell,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1039932,222798,996539,3,required,pending
3,early_lodo_00_hist_gradient_boosting_b0_seed2026,0,Danmini_Doorbell,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1039932,222798,996539,3,required,pending
4,early_lodo_01_tinyml_mlp_b0_seed2026,1,Ecobee_Thermostat,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1162046,248309,823134,3,required,pending
5,early_lodo_01_compact_dnn_b0_seed2026,1,Ecobee_Thermostat,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1162046,248309,823134,3,required,pending
6,early_lodo_01_hist_gradient_boosting_b0_seed2026,1,Ecobee_Thermostat,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1162046,248309,823134,3,required,pending
7,early_lodo_02_tinyml_mlp_b0_seed2026,2,Ennio_Doorbell,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1500913,321267,338599,2,not_applicable,pending
8,early_lodo_02_compact_dnn_b0_seed2026,2,Ennio_Doorbell,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1500913,321267,338599,2,not_applicable,pending
9,early_lodo_02_hist_gradient_boosting_b0_seed2026,2,Ennio_Doorbell,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1500913,321267,338599,2,not_applicable,pending
10,early_lodo_03_tinyml_mlp_b0_seed2026,3,Philips_B120N10_Baby_Monitor,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,984133,210978,1075936,3,required,pending
11,early_lodo_03_compact_dnn_b0_seed2026,3,Philips_B120N10_Baby_Monitor,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,984133,210978,1075936,3,required,pending
12,early_lodo_03_hist_gradient_boosting_b0_seed2026,3,Philips_B120N10_Baby_Monitor,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,984133,210978,1075936,3,required,pending
13,early_lodo_04_tinyml_mlp_b0_seed2026,4,Provision_PT_737E_Security_Camera,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1172731,250895,807836,3,required,pending
14,early_lodo_04_compact_dnn_b0_seed2026,4,Provision_PT_737E_Security_Camera,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1172731,250895,807836,3,required,pending
15,early_lodo_04_hist_gradient_boosting_b0_seed2026,4,Provision_PT_737E_Security_Camera,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1172731,250895,807836,3,required,pending
