file_id,stored_relative_path,resolved_path,resolution_method,device,class_label,expected_row_count,inserted_row_count,database_status,database_error,minimum_row_number,maximum_row_number,fingerprint_row_count,row_numbering,sample_column_count,sample_all_finite,sample_sha256,file_size_bytes,status,error
1,Danmini_Doorbell/benign_traffic.csv,,unresolved,Danmini_Doorbell,benign,49548,49548,done,,1,49548,49548,one_based,,,,,error,kaynak CSV çözümlenemedi
2,Danmini_Doorbell/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\combo.csv,suffix,Danmini_Doorbell,gafgyt_combo,59718,59718,done,,1,59718,59718,one_based,,,,105833909,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
3,Danmini_Doorbell/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\junk.csv,suffix,Danmini_Doorbell,gafgyt_junk,29068,29068,done,,1,29068,29068,one_based,,,,49322665,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
4,Danmini_Doorbell/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\scan.csv,suffix,Danmini_Doorbell,gafgyt_scan,29849,29849,done,,1,29849,29849,one_based,,,,40177901,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
5,Danmini_Doorbell/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\tcp.csv,suffix,Danmini_Doorbell,gafgyt_tcp,92141,92141,done,,1,92141,92141,one_based,,,,51866227,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
6,Danmini_Doorbell/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\udp.csv,suffix,Danmini_Doorbell,gafgyt_udp,105874,105874,done,,1,105874,105874,one_based,,,,59597256,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
7,Danmini_Doorbell/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\ack.csv,suffix,Danmini_Doorbell,mirai_ack,102195,102195,done,,1,102195,102195,one_based,,,,135498914,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
8,Danmini_Doorbell/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\scan.csv,suffix,Danmini_Doorbell,mirai_scan,107685,107685,done,,1,107685,107685,one_based,,,,107510905,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
9,Danmini_Doorbell/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\syn.csv,suffix,Danmini_Doorbell,mirai_syn,122573,122573,done,,1,122573,122573,one_based,,,,164633193,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
10,Danmini_Doorbell/mirai_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\udp.csv,suffix,Danmini_Doorbell,mirai_udp,237665,237665,done,,1,237665,237665,one_based,,,,315304260,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
11,Danmini_Doorbell/mirai_attacks/udpplain.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\udpplain.csv,suffix,Danmini_Doorbell,mirai_udpplain,81982,81982,done,,1,81982,81982,one_based,,,,120365536,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
12,Ecobee_Thermostat/benign_traffic.csv,,unresolved,Ecobee_Thermostat,benign,13113,13113,done,,1,13113,13113,one_based,,,,,error,kaynak CSV çözümlenemedi
13,Ecobee_Thermostat/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\combo.csv,suffix,Ecobee_Thermostat,gafgyt_combo,53012,53012,done,,1,53012,53012,one_based,,,,94251568,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
14,Ecobee_Thermostat/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\junk.csv,suffix,Ecobee_Thermostat,gafgyt_junk,30312,30312,done,,1,30312,30312,one_based,,,,51673314,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
15,Ecobee_Thermostat/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\scan.csv,suffix,Ecobee_Thermostat,gafgyt_scan,27494,27494,done,,1,27494,27494,one_based,,,,37108696,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
16,Ecobee_Thermostat/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\tcp.csv,suffix,Ecobee_Thermostat,gafgyt_tcp,95021,95021,done,,1,95021,95021,one_based,,,,53485288,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
17,Ecobee_Thermostat/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\udp.csv,suffix,Ecobee_Thermostat,gafgyt_udp,104791,104791,done,,1,104791,104791,one_based,,,,58988910,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
18,Ecobee_Thermostat/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\ack.csv,suffix,Ecobee_Thermostat,mirai_ack,113285,113285,done,,1,113285,113285,one_based,,,,155635866,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
19,Ecobee_Thermostat/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\scan.csv,suffix,Ecobee_Thermostat,mirai_scan,43192,43192,done,,1,43192,43192,one_based,,,,43078827,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
20,Ecobee_Thermostat/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\syn.csv,suffix,Ecobee_Thermostat,mirai_syn,116807,116807,done,,1,116807,116807,one_based,,,,161570382,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
21,Ecobee_Thermostat/mirai_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\udp.csv,suffix,Ecobee_Thermostat,mirai_udp,151481,151481,done,,1,151481,151481,one_based,,,,207783110,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
22,Ecobee_Thermostat/mirai_attacks/udpplain.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\udpplain.csv,suffix,Ecobee_Thermostat,mirai_udpplain,87368,87368,done,,1,87368,87368,one_based,,,,138671843,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
23,Ennio_Doorbell/benign_traffic.csv,,unresolved,Ennio_Doorbell,benign,39100,39100,done,,1,39100,39100,one_based,,,,,error,kaynak CSV çözümlenemedi
