file_id,stored_relative_path,resolved_path,resolution_method,candidate_count,candidate_paths,device,class_label,expected_row_count,inserted_row_count,minimum_row_number,maximum_row_number,fingerprint_row_count,row_numbering,sample_column_count,sample_all_numeric,sample_all_finite,sample_sha256,status,error
1,Danmini_Doorbell/benign_traffic.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\benign_traffic.csv,exact_relative_path,0,,Danmini_Doorbell,benign,49548,49548,1,49548,49548,one_based,115,True,True,ec2e0f532283e989f21cf4ffee3121a0e7d27a38e62a274021b0330702a92c98,ok,
2,Danmini_Doorbell/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\combo.csv,exact_relative_path,0,,Danmini_Doorbell,gafgyt_combo,59718,59718,1,59718,59718,one_based,115,True,True,b5f529d81b711e8d836e95cd63a63e6cb29385cfffe97231071bf157586214bc,ok,
3,Danmini_Doorbell/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\junk.csv,exact_relative_path,0,,Danmini_Doorbell,gafgyt_junk,29068,29068,1,29068,29068,one_based,115,True,True,f096145badd57efe3a7234cbe76434e4bfefb1f8420b24c5b86cc77c79e424bd,ok,
4,Danmini_Doorbell/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\scan.csv,exact_relative_path,0,,Danmini_Doorbell,gafgyt_scan,29849,29849,1,29849,29849,one_based,115,True,True,e5c49b40baaf00b9c5e2568a1c06fbec629de3fa4686be60fd3a22bc653a3a3f,ok,
5,Danmini_Doorbell/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\tcp.csv,exact_relative_path,0,,Danmini_Doorbell,gafgyt_tcp,92141,92141,1,92141,92141,one_based,115,True,True,2ce18ab00c22ced6d9ae7c095db72c36b34066423557eb734dfa16aff649288f,ok,
6,Danmini_Doorbell/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\gafgyt_attacks\udp.csv,exact_relative_path,0,,Danmini_Doorbell,gafgyt_udp,105874,105874,1,105874,105874,one_based,115,True,True,4d0ff03a306e5fc098de9e32566e7eb97449b5ce4a1792bbef5455d65210b067,ok,
7,Danmini_Doorbell/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\ack.csv,exact_relative_path,0,,Danmini_Doorbell,mirai_ack,102195,102195,1,102195,102195,one_based,115,True,True,aa7c819f30e84b845321832933e08906e26bc5cc2668bea1e5665c7b8e2aa817,ok,
8,Danmini_Doorbell/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\scan.csv,exact_relative_path,0,,Danmini_Doorbell,mirai_scan,107685,107685,1,107685,107685,one_based,115,True,True,e423a2174e897158cf98a52b6c9d7615fdbffc173dcf8bcb7ad3fc659d3d667f,ok,
9,Danmini_Doorbell/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\syn.csv,exact_relative_path,0,,Danmini_Doorbell,mirai_syn,122573,122573,1,122573,122573,one_based,115,True,True,20694f5a712989b1c94f6c87cd9fd82f63b38807a2fd654d2a2037ca40482859,ok,
10,Danmini_Doorbell/mirai_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\udp.csv,exact_relative_path,0,,Danmini_Doorbell,mirai_udp,237665,237665,1,237665,237665,one_based,115,True,True,ae6e887c10ed748f89b08424fad5b4a6484b1fc0613d86e51350bf67ca179e1f,ok,
11,Danmini_Doorbell/mirai_attacks/udpplain.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Danmini_Doorbell\mirai_attacks\udpplain.csv,exact_relative_path,0,,Danmini_Doorbell,mirai_udpplain,81982,81982,1,81982,81982,one_based,115,True,True,25821cfbdd31263b967660bce52b3aa9d94b3184fad8808d15ad1410089b0a8a,ok,
12,Ecobee_Thermostat/benign_traffic.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\benign_traffic.csv,exact_relative_path,0,,Ecobee_Thermostat,benign,13113,13113,1,13113,13113,one_based,115,True,True,dac3ca4260fdae8ab70055a2f4d6372f59f2c52688440f4803e7f3d674dfa294,ok,
13,Ecobee_Thermostat/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\combo.csv,exact_relative_path,0,,Ecobee_Thermostat,gafgyt_combo,53012,53012,1,53012,53012,one_based,115,True,True,b5f529d81b711e8d836e95cd63a63e6cb29385cfffe97231071bf157586214bc,ok,
14,Ecobee_Thermostat/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\junk.csv,exact_relative_path,0,,Ecobee_Thermostat,gafgyt_junk,30312,30312,1,30312,30312,one_based,115,True,True,f096145badd57efe3a7234cbe76434e4bfefb1f8420b24c5b86cc77c79e424bd,ok,
15,Ecobee_Thermostat/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\scan.csv,exact_relative_path,0,,Ecobee_Thermostat,gafgyt_scan,27494,27494,1,27494,27494,one_based,115,True,True,e5c49b40baaf00b9c5e2568a1c06fbec629de3fa4686be60fd3a22bc653a3a3f,ok,
16,Ecobee_Thermostat/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\tcp.csv,exact_relative_path,0,,Ecobee_Thermostat,gafgyt_tcp,95021,95021,1,95021,95021,one_based,115,True,True,2ce18ab00c22ced6d9ae7c095db72c36b34066423557eb734dfa16aff649288f,ok,
17,Ecobee_Thermostat/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\gafgyt_attacks\udp.csv,exact_relative_path,0,,Ecobee_Thermostat,gafgyt_udp,104791,104791,1,104791,104791,one_based,115,True,True,4d0ff03a306e5fc098de9e32566e7eb97449b5ce4a1792bbef5455d65210b067,ok,
18,Ecobee_Thermostat/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\ack.csv,exact_relative_path,0,,Ecobee_Thermostat,mirai_ack,113285,113285,1,113285,113285,one_based,115,True,True,0b2460e5e6d8729933537ece3d03882f5edad4801324bbe693619414cc161f05,ok,
19,Ecobee_Thermostat/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\scan.csv,exact_relative_path,0,,Ecobee_Thermostat,mirai_scan,43192,43192,1,43192,43192,one_based,115,True,True,6c58ebcfd13f76a65aeadc271d24b6196929fff3737e6fb7bd5bbc1472b029ea,ok,
20,Ecobee_Thermostat/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ecobee_Thermostat\mirai_attacks\syn.csv,exact_relative_path,0,,Ecobee_Thermostat,mirai_syn,116807,116807,1,116807,116807,one_based,115,True,True,aa5a8543d62b7963f5d68d58c4a21d12288459c9d3337c4d1f1361599212a543,ok,
