relative_path,line_number,keywords,code
src\compression\__init__.py,1,TinyML,"""""""TinyML model sıkıştırma bileşenleri."""""""
src\compression\__init__.py,11,compact,"recreate_compact_model,"
src\compression\__init__.py,22,compact,"""recreate_compact_model"","
src\compression\structured_pruning.py,2,TinyML,TinyML IDS için fiziksel yapılandırılmış budama motoru.
src\compression\structured_pruning.py,5,tinyml,- tinyml_mlp
src\compression\structured_pruning.py,6,compact,- compact_dnn
src\compression\structured_pruning.py,32,tinyml,"""tinyml_mlp"","
src\compression\structured_pruning.py,33,compact,"""compact_dnn"","
src\compression\structured_pruning.py,56,compact,"compact_architecture: dict[str, Any]"
src\compression\structured_pruning.py,60,compact,compact_parameter_count: int
src\compression\structured_pruning.py,65,compact,compact_weight_layer_macs: int
src\compression\structured_pruning.py,70,compact,physical_compaction: bool
src\compression\structured_pruning.py,683,compact,"compact_architecture: dict[str, Any],"
src\compression\structured_pruning.py,686,compact,"compact_model: nn.Module,"
src\compression\structured_pruning.py,688,compact,"compact_macs: int,"
src\compression\structured_pruning.py,698,compact,compact_parameter_count = (
src\compression\structured_pruning.py,700,compact,compact_model
src\compression\structured_pruning.py,706,compact,- compact_parameter_count
src\compression\structured_pruning.py,711,compact,- compact_macs
src\compression\structured_pruning.py,741,compact,compact_architecture=(
src\compression\structured_pruning.py,742,compact,compact_architecture
src\compression\structured_pruning.py,750,compact,compact_parameter_count=int(
src\compression\structured_pruning.py,751,compact,compact_parameter_count
src\compression\structured_pruning.py,763,compact,compact_weight_layer_macs=int(
src\compression\structured_pruning.py,764,compact,compact_macs
src\compression\structured_pruning.py,776,compact,"physical_compaction=True,"
src\compression\structured_pruning.py,782,tinyml,def _prune_tinyml_mlp(
src\compression\structured_pruning.py,789,TinyML,"""""""TinyML-MLP gizli nöronlarını budar."""""""
src\compression\structured_pruning.py,807,TinyML,"""TinyML-MLP katman yapısı beklenen biçimde değil."""
src\compression\structured_pruning.py,845,compact,compact_hidden_units = (
src\compression\structured_pruning.py,850,compact,compact_model = create_model(
