relative_path,symbol_type,symbol_name,line_number,arguments,base_classes
src\compression\structured_pruning.py,function,count_model_parameters,128,model,
src\compression\structured_pruning.py,function,_prune_tinyml_mlp,782,original_model|pruning_ratio,
src\compression\structured_pruning.py,function,_prune_compact_dnn,914,original_model|pruning_ratio,
src\compression\structured_pruning.py,function,_prune_tiny_1d_cnn,1078,original_model|pruning_ratio,
src\compression\structured_pruning.py,function,physically_prune_model,1227,,
src\compression\structured_pruning.py,function,recreate_compact_model,1274,pruning_metadata,
src\data\nbaiot_pipeline.py,class,NBaiotParquetBatchDataset,488,,"IterableDataset[tuple[Tensor, Tensor]]"
src\data\nbaiot_pipeline.py,function,create_nbaiot_dataloader,912,assets|split_name|batch_size|shuffle|seed|epoch|num_workers|pin_memory|prefetch_factor,
src\models\nbaiot_models.py,class,ModelSpec,29,,
src\models\nbaiot_models.py,function,validate_model_dimensions,44,input_features|num_classes,
src\models\nbaiot_models.py,class,TinyMLMLP,86,,nn.Module
src\models\nbaiot_models.py,class,CompactDNN,184,,nn.Module
src\models\nbaiot_models.py,class,Tiny1DCNN,318,,nn.Module
src\models\nbaiot_models.py,function,list_registered_models,555,,
src\models\nbaiot_models.py,function,get_model_spec,563,model_name,
src\models\nbaiot_models.py,function,create_model,579,model_name|input_features|num_classes,
src\training\baseline_trainer.py,function,run_training,609,config_file,
scripts\14_fit_training_standardizer.py,function,fit_training_standardizer,345,train_file|feature_columns|batch_size,
scripts\18_validate_model_registry.py,function,validate_model,458,model_name|features|targets|feature_count|class_count|class_weights|seed,
scripts\22_lock_fp32_baseline_protocol.py,function,validate_model_registry,563,registry_file,
scripts\23_run_fp32_baseline_experiments.py,function,evaluate_test_once,604,,
scripts\26_run_pruning_experiments.py,function,train_pruned_model,1254,,
scripts\26_run_pruning_experiments.py,function,evaluate_pruned_test_once,1651,,
scripts\28_audit_quantization_capabilities.py,function,obtain_train_batches,553,,
scripts\28_audit_quantization_capabilities.py,function,export_model_to_onnx,614,,
scripts\28_audit_quantization_capabilities.py,function,validate_onnx_model,680,model_file,
scripts\28_audit_quantization_capabilities.py,function,run_ort_model,826,,
scripts\28_audit_quantization_capabilities.py,class,TrainOnlyCalibrationReader,978,,calibration_reader_base
scripts\29_validate_fx_qat_pipeline.py,function,create_model_from_checkpoint,461,,
scripts\29_validate_fx_qat_pipeline.py,function,get_train_batch,486,,
scripts\29_validate_fx_qat_pipeline.py,function,prepare_qat_model,767,,
scripts\29_validate_fx_qat_pipeline.py,function,convert_qat_model,862,,
scripts\29b_run_quantization_experiments.py,function,create_model_from_state,593,,
scripts\29b_run_quantization_experiments.py,function,prepare_qat_model,632,,
scripts\29b_run_quantization_experiments.py,function,convert_qat_model,682,,
scripts\29b_run_quantization_experiments.py,function,export_model_to_onnx,775,,
scripts\29b_run_quantization_experiments.py,function,validate_onnx_model,810,model_file,
scripts\29b_run_quantization_experiments.py,function,evaluate_onnx_split,1174,,
scripts\29b_run_quantization_experiments.py,function,train_qat_model,1418,,
scripts\29b_run_quantization_experiments.py,function,evaluate_qat_test_once,1654,,
scripts\29b_run_quantization_experiments.py,class,TrainOnlyCalibrationReader,962,,CalibrationDataReader
scripts\30_run_pruning_qat_experiments.py,function,create_compact_model_from_state,606,,
scripts\30_run_pruning_qat_experiments.py,function,create_compact_prepared_snapshot,626,,
scripts\30_run_pruning_qat_experiments.py,function,train_pruning_qat_model,688,,
scripts\30_run_pruning_qat_experiments.py,function,evaluate_pruning_qat_test_once,1109,,
scripts\31_profile_efficiency.py,function,load_fp32_model,983,,
scripts\31_profile_efficiency.py,function,create_baseline_resource_counts,1011,model_name,
scripts\36_run_leakage_ablation.py,class,MemmapDataset,246,,"Dataset[tuple[torch.Tensor, torch.Tensor]]"
scripts\36_run_leakage_ablation.py,function,evaluate,281,model|loader|criterion,
scripts\36_run_leakage_ablation.py,function,train_one,306,arm_dir|output|seed|cfg,
scripts\38_run_b0_matched_leakage_ablation.py,class,MemmapDataset,937,,"Dataset[tuple[torch.Tensor, torch.Tensor]]"
scripts\38_run_b0_matched_leakage_ablation.py,function,evaluate,1011,model|loader|criterion,
scripts\38_run_b0_matched_leakage_ablation.py,function,train_one,1079,arm_directory|run_directory|arm|seed|cfg|protocol_sha256|database_sha256|cache_manifest_sha256|stage38_script_sha256|restart_incomplete,
