feature_index,feature_name,pipeline_a_mean,pipeline_b_mean,absolute_mean_difference,pipeline_a_scale,pipeline_b_scale,absolute_scale_difference
0,MI_dir_L5_weight,84.33640998840721,84.33640999108452,2.6773108174893423e-09,64.86338949355586,64.86338949431668,7.608207397424849e-10
1,MI_dir_L5_mean,212.22986487811798,212.2298648913493,1.323132892139256e-08,171.4529582593326,171.4529582620987,2.7660860268952092e-09
2,MI_dir_L5_variance,20287.958994311288,20287.958993824173,4.871144483331591e-07,26353.59665391978,26353.59665535363,1.4338511391542852e-06
3,MI_dir_L3_weight,132.39912919330126,132.3991291908166,2.4846542601153487e-09,101.79144465887138,101.791444655249,3.6223894994691364e-09
4,MI_dir_L3_mean,212.4629935314261,212.46299353381985,2.3937616333569167e-09,164.88957939204613,164.88957939715857,5.112440248922212e-09
5,MI_dir_L3_variance,22487.587716211765,22487.58771556527,6.46494299871847e-07,27359.793749566954,27359.79374814894,1.418015017407015e-06
6,MI_dir_L1_weight,374.34044673134946,374.34044673315844,1.8089849618263543e-09,287.95978439729373,287.95978440252725,5.233516731095733e-09
7,MI_dir_L1_mean,213.06088104198054,213.06088102604357,1.59369619723293e-08,159.04101900569327,159.0410189949553,1.0737977618191508e-08
8,MI_dir_L1_variance,24418.28789059891,24418.287890006846,5.920628609601408e-07,28147.791849399986,28147.791848812343,5.876427167095244e-07
9,MI_dir_L0.1_weight,3528.412861796778,3528.4128617673805,2.939759724540636e-08,2722.717986139936,2722.7179861360887,3.8471625884994864e-09
10,MI_dir_L0.1_mean,213.9964231952646,213.9964231984851,3.2204923172685085e-09,155.23354255483943,155.2335425554961,6.566551746800542e-10
11,MI_dir_L0.1_variance,25838.356795037245,25838.356794540476,4.967696440871805e-07,28218.391686732208,28218.391685040915,1.6912927094381303e-06
12,MI_dir_L0.01_weight,22463.62479809019,22463.62479817702,8.6831278167665e-08,19909.305619411585,19909.30561950691,9.532595868222415e-08
13,MI_dir_L0.01_mean,213.7490099228928,213.74900992218085,7.119638212316204e-10,154.43298965545875,154.4329896570401,1.5813554909982486e-09
14,MI_dir_L0.01_variance,26449.532670433517,26449.532669802385,6.311311153694987e-07,27718.43178107553,27718.43178071132,3.6421261029317975e-07
15,H_L5_weight,84.33641217744953,84.33641218012687,2.6773392391987727e-09,64.86338671035813,64.8633867111188,7.606786311953329e-10
16,H_L5_mean,212.22987628711422,212.22987630033072,1.3216492789069889e-08,171.4529665249215,171.45296652767888,2.7573889838095056e-09
17,H_L5_variance,20287.96051164289,20287.96051115581,4.870817065238953e-07,26353.595529580052,26353.59553101363,1.4335782907437533e-06
18,H_L3_weight,132.39913237281726,132.39913237033238,2.484881633790792e-09,101.7914405923909,101.79144058876841,3.6224889754521428e-09
19,H_L3_mean,212.4630181497827,212.46301815214755,2.364856754866196e-09,164.88959903290194,164.8895990379944,5.092459787192638e-09
20,H_L3_variance,22487.591876801063,22487.59187615465,6.46414264338091e-07,27359.7906252767,27359.790623858607,1.4180914149619639e-06
21,H_L1_weight,374.34045298208605,374.3404529838948,1.808757588150911e-09,287.95977633197026,287.9597763372042,5.233914635027759e-09
22,H_L1_mean,213.06095734067517,213.0609573247718,1.5903367511782562e-08,159.04108644739406,159.04108643674013,1.0653934623405803e-08
23,H_L1_variance,24418.299842396682,24418.299841804863,5.918191163800657e-07,28147.7832277182,28147.783227130443,5.877554940525442e-07
24,H_L0.1_weight,3528.412902427298,3528.412902397901,2.9397142498055473e-08,2722.7179335218834,2722.717933518042,3.841250872937962e-09
25,H_L0.1_mean,213.99670928441103,213.99670928762592,3.214893240510719e-09,155.2336688247019,155.2336688253797,6.778009264962748e-10
26,H_L0.1_variance,25838.40600534498,25838.40600484791,4.97067958349362e-07,28218.35672685156,28218.35672516042,1.6911399143282324e-06
27,H_L0.01_weight,22463.625159155155,22463.625159241972,8.681672625243664e-08,19909.3052120921,19909.3052121874,9.530049283057451e-08
28,H_L0.01_mean,213.7494241755724,213.74942417456896,1.0034284514404135e-09,154.43274674280764,154.43274674418086,1.3732233128394e-09
29,H_L0.01_variance,26449.681358406786,26449.681357775666,6.311202014330775e-07,27718.31925037345,27718.31925000929,3.6416167858988047e-07
30,HH_L5_weight,38.992620868109825,38.99262086653596,1.5738663705633371e-09,51.59375489724127,51.593754896129376,1.1118928000541928e-09
31,HH_L5_mean,213.19533069561345,213.19533062071918,7.489427389373304e-08,221.09096461138748,221.0909644950709,1.1631658480837359e-07
32,HH_L5_std,4.910210241290913,4.910210240769733,5.211795439663547e-10,30.514709949333586,30.51470994495376,4.379824503075724e-09
33,HH_L5_magnitude,226.88491790173566,226.88491756539614,3.3633952511991083e-07,222.95181420466872,222.9518140697644,1.3490432593243895e-07
34,HH_L5_radius,3451.2337208565323,3451.2337217702975,9.13765234145103e-07,29048.75269515475,29048.752709787223,1.4632470993092284e-05
35,HH_L5_covariance,-187.97154201550995,-187.97154198062475,3.4885204058809904e-08,3399.4432602965153,3399.4432584209503,1.8755649762169924e-06
36,HH_L5_pcc,-0.0009519179407007596,-0.0009519179409530624,2.5230273599519126e-13,0.055662014825436076,0.05566201483429525,8.859170341768419e-12
37,HH_L3_weight,62.467226975547185,62.467226976323154,7.759695108688902e-10,83.09094493081565,83.09094493044613,3.695248551593977e-10
38,HH_L3_mean,213.23045367579041,213.23045357426565,1.015247619307047e-07,220.94955550025315,220.94955535186662,1.483865332829737e-07
39,HH_L3_std,5.208111524267555,5.208111523978683,2.8887203740168843e-10,30.72474141384056,30.72474141581696,1.9763994885124703e-09
40,HH_L3_magnitude,227.01095726507972,227.01095691883873,3.462409949861467e-07,222.80458614448176,222.8045859673026,1.771791744431539e-07
41,HH_L3_radius,3592.9052134652634,3592.9052137995614,3.342979653098155e-07,29739.886944882164,29739.886943357527,1.5246369002852589e-06
42,HH_L3_covariance,-226.3223729782527,-226.3223731639412,1.856884921380697e-07,3667.5749563146333,3667.574959759278,3.4446447898517363e-06
43,HH_L3_pcc,-0.0012112508523580928,-0.001211250852620475,2.6238212991192e-13,0.058997007070373475,0.05899700709190613,2.1532657601408545e-11
44,HH_L1_weight,178.0228949902863,178.02289499238947,2.103178076140466e-09,238.42151706349185,238.4215170611705,2.3213431177282473e-09
45,HH_L1_mean,213.29068531385,213.2906850919189,2.2193108861756627e-07,220.75908760693713,220.75908727796153,3.289756023150403e-07
46,HH_L1_std,6.132080961668229,6.132080962499228,8.309992693966706e-10,31.374419824909992,31.374419831747645,6.8376522222024505e-09
47,HH_L1_magnitude,227.0152829697633,227.01528255415465,4.1560863905942824e-07,222.46107654971198,222.46107617964262,3.700693582686654e-07
48,HH_L1_radius,3726.7458634088894,3726.745863579577,1.7068759916583076e-07,29837.09645625948,29837.096456078834,1.806474756449461e-07
49,HH_L1_covariance,-270.10153782723734,-270.1015378459776,1.8740252016868908e-08,3854.907883802093,3854.907886552534,2.7504411264089867e-06
50,HH_L1_pcc,-0.0011873287145012718,-0.0011873287141008898,4.0038198451108897e-13,0.06690237376610216,0.06690237378381177,1.7709611555005722e-11
51,HH_L0.1_weight,1638.957215427306,1638.9572154016582,2.5647750589996576e-08,2185.280637544991,2185.280637491349,5.364199751056731e-08
52,HH_L0.1_mean,213.4958390661895,213.4958390687735,2.584016556284041e-09,220.55117109995263,220.55117110517307,5.220442744757747e-09
53,HH_L0.1_std,9.25467134565161,9.254671345772085,1.2047429720496439e-10,34.81446883004515,34.81446883087427,8.291181075037457e-10
54,HH_L0.1_magnitude,226.42633068155828,226.42633056395326,1.176050261619821e-07,221.20705288482833,221.20705281572594,6.910238425916759e-08
55,HH_L0.1_radius,3799.515192524833,3799.5151924228016,1.0203120837104507e-07,27448.83147729185,27448.83147582843,1.4634206308983266e-06
56,HH_L0.1_covariance,-237.9119886551595,-237.91198867112593,1.596643528500863e-08,3360.897251520386,3360.89725326399,1.7436041162000038e-06
57,HH_L0.1_pcc,0.006054944868780755,0.006054944869049716,2.6896106869456204e-13,0.09391880962033303,0.09391880962308176,2.748731797730386e-12
58,HH_L0.01_weight,9783.110076358826,9783.110076448202,8.937604434322566e-08,14000.421857365132,14000.421857451336,8.620372682344168e-08
59,HH_L0.01_mean,213.63228988173177,213.63228987756122,4.170544798398623e-09,220.5257938441169,220.5257938370034,7.113499123079237e-09
60,HH_L0.01_std,11.66566250503811,11.665662504231596,8.065139667223775e-10,38.4987298158029,38.49872980899275,6.810154218328535e-09
61,HH_L0.01_magnitude,226.04626496031233,226.04626483765114,1.226611914262321e-07,220.1978808973676,220.19788082256804,7.479957275791094e-08
62,HH_L0.01_radius,3985.4132388045346,3985.4132386784386,1.2609598343260586e-07,24469.472047411346,24469.472047499745,8.839924703352153e-08
63,HH_L0.01_covariance,8.066755583129785,8.066755596602018,1.3472233106881504e-08,2277.64808915318,2277.6480891808183,2.763817974482663e-08
64,HH_L0.01_pcc,0.017081218977088624,0.017081218974631367,2.457256620402859e-12,0.11708927867656001,0.11708927864953686,2.702314760849589e-11
65,HH_jit_L5_weight,38.992620868109825,38.99262086653596,1.5738663705633371e-09,51.59375489724127,51.59375489612936,1.111907010908908e-09
66,HH_jit_L5_mean,572423686.7040082,572423684.9482588,1.7557494640350342,731454609.8673033,731454607.6273375,2.239965796470642
67,HH_jit_L5_variance,96391267859868.78,96391267989138.36,129269.578125,5722477666540024.0,5722477674454249.0,7914225.0
68,HH_jit_L3_weight,62.467226975547185,62.467226976323154,7.759695108688902e-10,83.09094493081565,83.09094493044614,3.695106443046825e-10
69,HH_jit_L3_mean,572458095.0274112,572458093.27136,1.7560511827468872,731434175.2250911,731434172.985161,2.2399301528930664
70,HH_jit_L3_variance,138837305674416.31,138837305812608.06,138191.75,6496240397777471.0,6496240403082731.0,5305260.0
71,HH_jit_L1_weight,178.0228949902863,178.0228949923896,2.103320184687618e-09,238.42151706349185,238.42151706117076,2.3210873223433737e-09
72,HH_jit_L1_mean,573138850.9463028,573138849.1906705,1.7556322813034058,730989121.4637738,730989119.2239662,2.239807605743408
73,HH_jit_L1_variance,1035270311506045.1,1035270311014600.1,491445.0,1.5825771584699246e+16,1.5825771575080398e+16,9618848.0
74,HH_jit_L0.1_weight,1638.957215427306,1638.9572154016607,2.56452494795667e-08,2185.280637544991,2185.280637491356,5.3634721552953124e-08
75,HH_jit_L0.1_mean,576592542.4324487,576592540.6759574,1.7564913034439087,729743664.9459603,729743662.7105896,2.235370635986328
76,HH_jit_L0.1_variance,4085162929336984.0,4085162929116375.0,220609.0,4.39825634347158e+16,4.3982563431387176e+16,3328624.0
77,HH_jit_L0.01_weight,9783.110076358826,9783.11007644817,8.934512152336538e-08,14000.421857365132,14000.421857451294,8.616189006716013e-08
78,HH_jit_L0.01_mean,577675796.9230821,577675795.1672829,1.7557991743087769,729487492.2371105,729487490.0039161,2.233194351196289
79,HH_jit_L0.01_variance,4840647377475619.0,4840647377879257.0,403638.0,4.853887071037089e+16,4.8538870712045304e+16,1674416.0
80,HpHp_L5_weight,4.665681028624818,4.665681027926113,6.987050937823369e-10,16.339604414225494,16.33960441091793,3.30756577682223e-09
