architecture,variant,seed,run_id,model_symbol,best_epoch,epochs_completed,checkpoint_path,checkpoint_size_bytes,checkpoint_sha256,run_manifest_path,run_manifest_sha256,metrics_path,metrics_sha256,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,parameter_count,linear_macs_per_sample,raw_tensor_bytes,serialized_checkpoint_bytes,test_evaluation_count,fragility_gate_triggered,source_lock_path,source_lock_sha256,status
compact_dnn,B0,42,compact_dnn__b0__seed_42,CompactDNN,7,11,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42\best_checkpoint.pt,313779,bfaa7bf463eb749ac96c61b2c1053ab23e9e96b7f6fbf23b35e18041a1a583f4,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42\run_manifest.json,16eb99464cfede47708a956f5010d259011ba990551dca2fb437d76996179247,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42\metrics.json,6c20ee09b417a39088ff6c67507928bb718cf223b8a1efa02ae9af966fb40186,0.9991788167632977,0.9995239324791014,0.9978999811020216,0.0022749164839218627,0.00023578961062187265,25283,25056,101132,313779,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_compact_dnn_b0_locked_v3_2.json,59ab4d0dd6d64ef99eab5d64488922d36d14326eddd1175051d2ef8a549c45d8,locked_B0_source_checkpoint
compact_dnn,B0,123,compact_dnn__b0__seed_123,CompactDNN,6,10,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123\best_checkpoint.pt,313779,846daa7d293dc3485b0343cd0f3b2f78b5e80872923162019cd3b68e21ace6de,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123\run_manifest.json,5792c3c54981e74f32da7c2b59aa45a825a4cefa8ff40eab9ecf321335aeb58a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123\metrics.json,5d299a852fdccec2efd51c4c8d10ebb90cbb0d6dd769cb695cdc5ee883faf5ce,0.9991193242420112,0.9994997256560049,0.9978829517551381,0.0022749164839218627,0.0002601816393069667,25283,25056,101132,313779,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_compact_dnn_b0_locked_v3_2.json,59ab4d0dd6d64ef99eab5d64488922d36d14326eddd1175051d2ef8a549c45d8,locked_B0_source_checkpoint
compact_dnn,B0,2026,compact_dnn__b0__seed_2026,CompactDNN,10,14,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\best_checkpoint.pt,313779,7404110900abe7bf20e384481f693da8abde7fb316436556b680f7786080da9a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\run_manifest.json,8aed32e4de9cb8ead08db49e01cc1253fcf355112b1f46b15ec50ab57d337014,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\metrics.json,1c5a19e21489523d4e8e20bd16772e6da8e2ce6c8ca4ce83dc91608220e5ea84,0.9993279232350282,0.999626139065509,0.9981271812773147,0.0020904637960362793,0.00013009081965342784,25283,25056,101132,313779,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_compact_dnn_b0_locked_v3_2.json,59ab4d0dd6d64ef99eab5d64488922d36d14326eddd1175051d2ef8a549c45d8,locked_B0_source_checkpoint
compact_dnn,B0,3407,compact_dnn__b0__seed_3407,CompactDNN,9,13,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407\best_checkpoint.pt,313779,79ac775ce6b798be6e1ecec074d116a2c3701fb8535ec48f03eac295a9445ea7,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407\run_manifest.json,49c2f80628a166302f82cf351920a9da0d93655d469ec846a1435c2c8f4f191e,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407\metrics.json,d172716ae355e8d048bdba6dc3ef727e0ea0760e637ccd2691151bd4b3d54c5d,0.9992595415641462,0.9995831047133374,0.9979208789428778,0.0023364007132170572,9.350277662589779e-05,25283,25056,101132,313779,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_compact_dnn_b0_locked_v3_2.json,59ab4d0dd6d64ef99eab5d64488922d36d14326eddd1175051d2ef8a549c45d8,locked_B0_source_checkpoint
compact_dnn,B0,8192,compact_dnn__b0__seed_8192,CompactDNN,11,15,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192\best_checkpoint.pt,313779,822635e009b505e48e0e03fc4944bcf087624692af90451888302a9528024fa8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192\run_manifest.json,be340812c8726ef41772bbd8b6f62938cb4a89dd342b6525ee14eedd29930a3b,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192\metrics.json,fef5c6cfe8933ab59be4c7c78a1f4a8d15245151105158d4cf144860476caa04,0.9993334614195072,0.9996342080065412,0.9981409927335266,0.0021109585391346775,0.00010976412908259015,25283,25056,101132,313779,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_compact_dnn_b0_locked_v3_2.json,59ab4d0dd6d64ef99eab5d64488922d36d14326eddd1175051d2ef8a549c45d8,locked_B0_source_checkpoint
tinyml_mlp,B0,42,tinyml_mlp__b0__seed_42,TinyMLMLP,7,11,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\best_checkpoint.pt,123467,5abfac0829d550c2e2f452f992e5cc4b53b79412f506e8ef38d2335285aefa1f,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\run_manifest.json,c8573613abfaa74d8c064a12609a390d6a7e412c49d5c29955ae123d18e86d89,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\metrics.json,e9c4ebb252559883f7d8380e3b2fd5e5c3e97a4cd1b856ea2cc8734af083b812,0.9992353322088411,0.9995615875372517,0.9979651127041994,0.00219293751152827,0.00018294021513765024,9603,9504,38412,123467,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_tinyml_mlp_b0_locked_v3_2.json,2809f62be96d21ba8ac393c5fc44d86d5d0db5013bad425f80a51772cd534599,locked_B0_source_checkpoint
tinyml_mlp,B0,123,tinyml_mlp__b0__seed_123,TinyMLMLP,7,11,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\best_checkpoint.pt,123467,eab045d2e16f00c850e93b72979e5e1e299c4e792944403cddd60df7c7fd371a,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\run_manifest.json,6a16b26e864558c3427136ff4a48522b6ca75e8a48c150d134c606141b791a39,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\metrics.json,4bcf80856a6751a83d415173646f86b4df4438a68209c622a5dbf5f17187994a,0.9993674466185191,0.9996476562415949,0.9984116161853219,0.0018445268788556124,8.943743851175245e-05,9603,9504,38412,123467,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_tinyml_mlp_b0_locked_v3_2.json,2809f62be96d21ba8ac393c5fc44d86d5d0db5013bad425f80a51772cd534599,locked_B0_source_checkpoint
tinyml_mlp,B0,2026,tinyml_mlp__b0__seed_2026,TinyMLMLP,8,12,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026\best_checkpoint.pt,123467,6b60c988f01ec53e91ea7d9288ebd06cb4fd825ed093476150986c96d4223fa9,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026\run_manifest.json,15064a8888fc84642e12607cf47d1550992df4eda7d27f8186e3cd86fdbc4cab,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026\metrics.json,5862981cf45eea35fc2f727441d84751626b387796a144c63ec345ae78685b1b,0.9992545342200568,0.9995696564782838,0.9980267703090027,0.0022749164839218627,0.00016261352456681255,9603,9504,38412,123467,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_tinyml_mlp_b0_locked_v3_2.json,2809f62be96d21ba8ac393c5fc44d86d5d0db5013bad425f80a51772cd534599,locked_B0_source_checkpoint
tinyml_mlp,B0,3407,tinyml_mlp__b0__seed_3407,TinyMLMLP,8,12,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407\best_checkpoint.pt,123467,d8e8c6350d2a580b0942dcdbb47f5c42850d52313f3eb8724244ca0b84ed5fb0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407\run_manifest.json,38419cfc8974f5272af06bd2ccaaba8e0aff7c9e30b1da2a03e5d63bcb93cd31,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407\metrics.json,d6d9a50ce93b81b215c6a7f74ce6ab96e26f208aa88ee6a494c5f54c6c4c3c1f,0.9991468801117707,0.9995373807141551,0.9980343309939695,0.002315905970118659,0.00010976412908259015,9603,9504,38412,123467,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_tinyml_mlp_b0_locked_v3_2.json,2809f62be96d21ba8ac393c5fc44d86d5d0db5013bad425f80a51772cd534599,locked_B0_source_checkpoint
tinyml_mlp,B0,8192,tinyml_mlp__b0__seed_8192,TinyMLMLP,10,14,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\best_checkpoint.pt,123467,cb2e01cfae3b36651853cbe4dab841cedabed53a57d25c508ef4b1e011ddb69b,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\run_manifest.json,967518e43c91c7df11fb098db0916339d6d4b4cdffd7941bc49eb99d147f7fa4,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\metrics.json,7372b6e849d060d796d1bf10a3874ea9e4b8112ccfdece50c163403a4d5ce48f,0.9992387364784919,0.9995831047133374,0.9979909995498901,0.002172442768429872,0.00011789480531099183,9603,9504,38412,123467,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\audit\phase5_tinyml_mlp_b0_locked_v3_2.json,2809f62be96d21ba8ac393c5fc44d86d5d0db5013bad425f80a51772cd534599,locked_B0_source_checkpoint
