architecture,seed,module_order,module_name,module_type,has_direct_parameters,parameter_count,input_shape,output_shape,supported_by_planned_engine
compact_dnn,42,1,network.0,Linear,True,14848,"[32,115]","[32,128]",True
compact_dnn,42,2,network.1,ReLU,False,0,"[32,128]","[32,128]",True
compact_dnn,42,3,network.2,Dropout,False,0,"[32,128]","[32,128]",True
compact_dnn,42,4,network.3,Linear,True,8256,"[32,128]","[32,64]",True
compact_dnn,42,5,network.4,ReLU,False,0,"[32,64]","[32,64]",True
compact_dnn,42,6,network.5,Dropout,False,0,"[32,64]","[32,64]",True
compact_dnn,42,7,network.6,Linear,True,2080,"[32,64]","[32,32]",True
compact_dnn,42,8,network.7,ReLU,False,0,"[32,32]","[32,32]",True
compact_dnn,42,9,network.8,Linear,True,99,"[32,32]","[32,3]",True
compact_dnn,123,1,network.0,Linear,True,14848,"[32,115]","[32,128]",True
compact_dnn,123,2,network.1,ReLU,False,0,"[32,128]","[32,128]",True
compact_dnn,123,3,network.2,Dropout,False,0,"[32,128]","[32,128]",True
compact_dnn,123,4,network.3,Linear,True,8256,"[32,128]","[32,64]",True
compact_dnn,123,5,network.4,ReLU,False,0,"[32,64]","[32,64]",True
compact_dnn,123,6,network.5,Dropout,False,0,"[32,64]","[32,64]",True
compact_dnn,123,7,network.6,Linear,True,2080,"[32,64]","[32,32]",True
compact_dnn,123,8,network.7,ReLU,False,0,"[32,32]","[32,32]",True
compact_dnn,123,9,network.8,Linear,True,99,"[32,32]","[32,3]",True
compact_dnn,2026,1,network.0,Linear,True,14848,"[32,115]","[32,128]",True
compact_dnn,2026,2,network.1,ReLU,False,0,"[32,128]","[32,128]",True
compact_dnn,2026,3,network.2,Dropout,False,0,"[32,128]","[32,128]",True
compact_dnn,2026,4,network.3,Linear,True,8256,"[32,128]","[32,64]",True
compact_dnn,2026,5,network.4,ReLU,False,0,"[32,64]","[32,64]",True
compact_dnn,2026,6,network.5,Dropout,False,0,"[32,64]","[32,64]",True
compact_dnn,2026,7,network.6,Linear,True,2080,"[32,64]","[32,32]",True
compact_dnn,2026,8,network.7,ReLU,False,0,"[32,32]","[32,32]",True
compact_dnn,2026,9,network.8,Linear,True,99,"[32,32]","[32,3]",True
compact_dnn,3407,1,network.0,Linear,True,14848,"[32,115]","[32,128]",True
compact_dnn,3407,2,network.1,ReLU,False,0,"[32,128]","[32,128]",True
compact_dnn,3407,3,network.2,Dropout,False,0,"[32,128]","[32,128]",True
compact_dnn,3407,4,network.3,Linear,True,8256,"[32,128]","[32,64]",True
compact_dnn,3407,5,network.4,ReLU,False,0,"[32,64]","[32,64]",True
compact_dnn,3407,6,network.5,Dropout,False,0,"[32,64]","[32,64]",True
compact_dnn,3407,7,network.6,Linear,True,2080,"[32,64]","[32,32]",True
compact_dnn,3407,8,network.7,ReLU,False,0,"[32,32]","[32,32]",True
compact_dnn,3407,9,network.8,Linear,True,99,"[32,32]","[32,3]",True
compact_dnn,8192,1,network.0,Linear,True,14848,"[32,115]","[32,128]",True
compact_dnn,8192,2,network.1,ReLU,False,0,"[32,128]","[32,128]",True
compact_dnn,8192,3,network.2,Dropout,False,0,"[32,128]","[32,128]",True
compact_dnn,8192,4,network.3,Linear,True,8256,"[32,128]","[32,64]",True
compact_dnn,8192,5,network.4,ReLU,False,0,"[32,64]","[32,64]",True
compact_dnn,8192,6,network.5,Dropout,False,0,"[32,64]","[32,64]",True
compact_dnn,8192,7,network.6,Linear,True,2080,"[32,64]","[32,32]",True
compact_dnn,8192,8,network.7,ReLU,False,0,"[32,32]","[32,32]",True
compact_dnn,8192,9,network.8,Linear,True,99,"[32,32]","[32,3]",True
tinyml_mlp,42,1,network.0,Linear,True,7424,"[32,115]","[32,64]",True
tinyml_mlp,42,2,network.1,ReLU,False,0,"[32,64]","[32,64]",True
tinyml_mlp,42,3,network.2,Linear,True,2080,"[32,64]","[32,32]",True
tinyml_mlp,42,4,network.3,ReLU,False,0,"[32,32]","[32,32]",True
tinyml_mlp,42,5,network.4,Linear,True,99,"[32,32]","[32,3]",True
tinyml_mlp,123,1,network.0,Linear,True,7424,"[32,115]","[32,64]",True
tinyml_mlp,123,2,network.1,ReLU,False,0,"[32,64]","[32,64]",True
tinyml_mlp,123,3,network.2,Linear,True,2080,"[32,64]","[32,32]",True
tinyml_mlp,123,4,network.3,ReLU,False,0,"[32,32]","[32,32]",True
tinyml_mlp,123,5,network.4,Linear,True,99,"[32,32]","[32,3]",True
tinyml_mlp,2026,1,network.0,Linear,True,7424,"[32,115]","[32,64]",True
tinyml_mlp,2026,2,network.1,ReLU,False,0,"[32,64]","[32,64]",True
tinyml_mlp,2026,3,network.2,Linear,True,2080,"[32,64]","[32,32]",True
tinyml_mlp,2026,4,network.3,ReLU,False,0,"[32,32]","[32,32]",True
tinyml_mlp,2026,5,network.4,Linear,True,99,"[32,32]","[32,3]",True
tinyml_mlp,3407,1,network.0,Linear,True,7424,"[32,115]","[32,64]",True
tinyml_mlp,3407,2,network.1,ReLU,False,0,"[32,64]","[32,64]",True
tinyml_mlp,3407,3,network.2,Linear,True,2080,"[32,64]","[32,32]",True
tinyml_mlp,3407,4,network.3,ReLU,False,0,"[32,32]","[32,32]",True
tinyml_mlp,3407,5,network.4,Linear,True,99,"[32,32]","[32,3]",True
tinyml_mlp,8192,1,network.0,Linear,True,7424,"[32,115]","[32,64]",True
tinyml_mlp,8192,2,network.1,ReLU,False,0,"[32,64]","[32,64]",True
tinyml_mlp,8192,3,network.2,Linear,True,2080,"[32,64]","[32,32]",True
tinyml_mlp,8192,4,network.3,ReLU,False,0,"[32,32]","[32,32]",True
tinyml_mlp,8192,5,network.4,Linear,True,99,"[32,32]","[32,3]",True
