architecture,variant,seed,validation_fingerprint_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,float_parameter_count,float_linear_macs_per_sample,DQ_to_float_state_size_ratio,validation_repeat_seconds,test_evaluation_count,test_model_inference_repeated,fragility_gate_triggered,run_directory,DQ_checkpoint_sha256,metrics_sha256,run_manifest_sha256,all_checks_passed
compact_dnn,DQ,42,0.8549956165642317,0.8906515122783555,0.9319653788636779,0.8641916035306374,0.3710573237964462,0.002052995747656383,25283,25056,0.30701073785645183,0.40316009998787194,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_42,0910ee8d2ee9185f42f59b212db5bc044d656d4243d88e85295a60ce955be46a,0c6c80d456c88d2cc40b6bbd8723c154c28a7f65d1bf56fb472a230e82162015,15c3b19777115a409b66ce4b05027387197d8b9370250288494174b09b1e5367,True
compact_dnn,DQ,123,0.8591622150362346,0.8846472958800714,0.9294263520855522,0.8565621677219656,0.3939499518373537,0.0021627598767389733,25283,25056,0.30701073785645183,0.3650181000120938,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_123,9fad2134425f27697a9c299c4aa65040c332122133357b06201fdae937b11c6e,6dab6cb451e8bacf7943e19af01ef8831d082177a8934861cdc6bbd3e0821d24,4bd29afd97b920dd4855bae629a35b4a44c7e597c1442c8b12f3cd5c0caf6e0f,True
compact_dnn,DQ,2026,0.8750385869510652,0.9063863154973943,0.9422156236215559,0.8805222978974644,0.339884819543787,0.0006382580839248142,25283,25056,0.30701073785645183,0.3712174000684172,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_2026,a248363e1960796de66b7c8212c063d28045766add94f146760d18055e204fc4,fbdf24f7397166f4e0ceadd36e777af734385d5061e3148b54ceda487126387c,e03323c3d02b907bed39dcaf98dac3fb29213cc96c58b86ea466e335b8968ff7,True
compact_dnn,DQ,3407,0.9134529424325227,0.9194765404691835,0.9465540242498575,0.8990904318628936,0.2695468612300945,0.00047564455935800165,25283,25056,0.30701073785645183,0.371029399917461,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_3407,a3bc81716e0cbed0dcb2fa75f31cea5fd4837a8c23159f12c9f4dbaebf4ab54a,4236ec0f3b3567a689180a2f7b10e97ce7d4791177d74a669428750c33ee6e05,4dc0e835a9244864a09064211d9c1306daac26f1bb12223a55d216059f8e9935,True
compact_dnn,DQ,8192,0.9285511193931191,0.9258648629482226,0.9499026347782117,0.9078729791719408,0.24232984239542554,0.0005691473359838994,25283,25056,0.30701073785645183,0.39079279999714345,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\dq\seed_8192,0c395ae039907f5f34e6fa44f19f2f059b8d1b87793e0e882dee9a420815fdc6,ed07a1dfbe9580fbd5b17452dd19fa11ad0c6ea9717362948c6a6c6737f197bb,5d77ead23ba111b50eccfb91e65bfff96590ad1cc7e9f97a9315edcb95657bc8,True
tinyml_mlp,DQ,42,0.7807173903779061,0.8602286269760326,0.9155208770400972,0.8287883870034118,0.4529953067038305,0.002004211690286306,9603,9504,0.35749156000291454,0.3453494000714272,1,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_42,589710bc76a5bec2f7187c10b874e6f45582688ae55805e47194a2e7b443f16a,ae6bae41e2802d6e72b294e5afc98aed5caba3403b601274fe2db0ebc54fc736,259700bb61a809f79d65988e8a7900e98c11b40ea8ecb97bf4584a776f473219,True
tinyml_mlp,DQ,123,0.7879197504661661,0.8471992281373693,0.9130544707312612,0.8105290745756281,0.5144795359990162,0.0004309258401020699,9603,9504,0.35749156000291454,0.3503599000396207,1,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_123,015cc19945466cb6809a3441653441f6f2d5fb9c8bd1801558085c5b2d4a2a9b,7e7e392e2fd33ebfdcd54e1eed391290e1afef5fdc1fa85f5556e5bc2794d041,d5de4b425ca799b63260ebe9de48c1e1ef8de3f1323b0d67704a49dca0314ae2,True
tinyml_mlp,DQ,2026,0.7480064751643432,0.8338431958486828,0.9047273235860526,0.7964424149021712,0.5361014899678233,0.0002073322438227443,9603,9504,0.35749156000291454,0.3616919000633061,1,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_2026,a986ed06226292b1fee86ab3421e32fa3a54e98cd3c7f50931b4cc96d65c166c,c94fad6c42797cc15b6e6952c6b9cb50b5338c784b574b9de471659a6f6feb3e,865f7a7ec7375f51f8a043b1ab993eec7bc359cd7831e76e2a611de60d5a7b3b,True
tinyml_mlp,DQ,3407,0.7329363433202641,0.8306201277207298,0.9016934017579533,0.7952719744976205,0.5347693316664275,0.00017480953890935957,9603,9504,0.35749156000291454,0.3517691999441013,1,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_3407,2967dc75adfab5f8240e09c31825e7f9efca8e5688128d061cbebf366d163670,be7ea69ef4704cbd1605c2a0efdb322f63a7f08562141257b3700a66ed667ef5,8018dd752daf50ebedfed32a73a295982d92c417b7daa6911073899e0c50d57d,True
tinyml_mlp,DQ,8192,0.7466310431117206,0.8308553045422413,0.9037187059570302,0.7928471171153259,0.5457955034533641,0.000239854948736129,9603,9504,0.35749156000291454,0.3461915999650955,1,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_8192,93be889103599da34137cf815d1d260244e66c0641e85b31f28f316e4ecc7574,5fd9078d0425469d9ec049b21c31cf2b862a35e334345c0c7fa8ef92a2a992d9,b1cdf5d340bd966ba96cf21c0741c04f4febdf6a1019d889c3c0c9df7ac5e2e7,True
