seed,calibration_size,array_key,benign_count,gafgyt_count,mirai_count,minimum_index,maximum_index,unique_index_count,nested_with_previous
42,4096,seed_42_size_4096,959,73,3064,151,1534286,4096,True
42,16384,seed_42_size_16384,3837,291,12256,145,1534286,16384,True
42,65536,seed_42_size_65536,15350,1163,49023,7,1534534,65536,True
42,262144,seed_42_size_262144,61401,4650,196093,7,1534581,262144,True
123,4096,seed_123_size_4096,959,73,3064,546,1534094,4096,True
123,16384,seed_123_size_16384,3837,291,12256,484,1534410,16384,True
123,65536,seed_123_size_65536,15350,1163,49023,30,1534548,65536,True
123,262144,seed_123_size_262144,61401,4650,196093,0,1534580,262144,True
2026,4096,seed_2026_size_4096,959,73,3064,339,1533684,4096,True
2026,16384,seed_2026_size_16384,3837,291,12256,96,1534425,16384,True
2026,65536,seed_2026_size_65536,15350,1163,49023,0,1534558,65536,True
2026,262144,seed_2026_size_262144,61401,4650,196093,0,1534577,262144,True
3407,4096,seed_3407_size_4096,959,73,3064,178,1533830,4096,True
3407,16384,seed_3407_size_16384,3837,291,12256,9,1534356,16384,True
3407,65536,seed_3407_size_65536,15350,1163,49023,9,1534490,65536,True
3407,262144,seed_3407_size_262144,61401,4650,196093,5,1534578,262144,True
8192,4096,seed_8192_size_4096,959,73,3064,142,1534404,4096,True
8192,16384,seed_8192_size_16384,3837,291,12256,142,1534518,16384,True
8192,65536,seed_8192_size_65536,15350,1163,49023,47,1534518,65536,True
8192,262144,seed_8192_size_262144,61401,4650,196093,2,1534559,262144,True
