architecture,variant,source_variant,seed,model_symbol,source_checkpoint_path,source_checkpoint_sha256,QAT_backend,QAT_learning_rate,float_linear_count,QAT_linear_count,fake_quantizer_count,converted_quantized_linear_count,quantized_weight_dtypes,float_state_bytes,quantized_state_bytes,quantized_to_float_state_size_ratio,roundtrip_file_size_bytes,smoke_loss,deterministic_QAT_conversion,serialization_roundtrip_exact,source_model_unchanged,train_smoke_rows_used,validation_access_count,test_access_count,all_checks_passed
compact_dnn,P25-QAT,P25-noFT,42,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_42\source_checkpoint.pt,e24df211106f2e5302cb532bc693d64a9e7faf5e9f4818327a54961216d5af35,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",71501,29013,0.40577054866365503,29589,0.034349068999290466,True,True,True,257,0,0,True
compact_dnn,P25-QAT,P25-noFT,123,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_123\source_checkpoint.pt,e787eac6b14cba10b3c32f9e8fc60f47d27259c95738e9f2e9eb78c375d6fa45,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",71501,29013,0.40577054866365503,29589,0.12320663034915924,True,True,True,257,0,0,True
compact_dnn,P25-QAT,P25-noFT,2026,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_2026\source_checkpoint.pt,2562fdb7e985f3f22e221fad4cc5c0d0111367dc28d695fe120d7bad9e4523d1,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",71501,29013,0.40577054866365503,29589,0.07630700618028641,True,True,True,257,0,0,True
compact_dnn,P25-QAT,P25-noFT,3407,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_3407\source_checkpoint.pt,86907e6c8c4decb66d5259e05523aa597ec33d1ee00f642e1b96c70f9ada41cb,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",71501,29013,0.40577054866365503,29589,0.13384132087230682,True,True,True,257,0,0,True
compact_dnn,P25-QAT,P25-noFT,8192,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_8192\source_checkpoint.pt,a2d3bb7c77327c8f77ca82df062669a9a72471dd7232502ce974aebaaaa86720,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",71501,29013,0.40577054866365503,29589,0.08261461555957794,True,True,True,257,0,0,True
compact_dnn,P50-QAT,P50-noFT,42,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_42\source_checkpoint.pt,7a5b322104a456bf22c856a9bb2772cd5104bdce30e1cb7398f937d50aa0353d,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",43597,20949,0.48051471431520515,21589,0.6752448678016663,True,True,True,257,0,0,True
compact_dnn,P50-QAT,P50-noFT,123,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_123\source_checkpoint.pt,815eeff70d8c0424165b28842a3e7f638a38ccf791fbd72784518bc73fd28351,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",43597,20949,0.48051471431520515,21589,0.6245120763778687,True,True,True,257,0,0,True
compact_dnn,P50-QAT,P50-noFT,2026,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_2026\source_checkpoint.pt,8ef577919cdc8340779b0ce4e38aa6a50dbb50c382c5c25a98c50ca739dc2c00,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",43597,20949,0.48051471431520515,21589,0.3760950267314911,True,True,True,257,0,0,True
compact_dnn,P50-QAT,P50-noFT,3407,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_3407\source_checkpoint.pt,a6d4d5ddb3b56c9721b4e93d0878b73cc8128e141b114643249e133d73d32f36,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",43597,20949,0.48051471431520515,21589,0.9257831573486328,True,True,True,257,0,0,True
compact_dnn,P50-QAT,P50-noFT,8192,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_8192\source_checkpoint.pt,f393cc86ba1b5f66a67c92078fa661f4b134c834b2c2daaadbee40703dc639e2,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",43597,20949,0.48051471431520515,21589,0.2976840138435364,True,True,True,257,0,0,True
compact_dnn,QAT,B0,42,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42\best_checkpoint.pt,bfaa7bf463eb749ac96c61b2c1053ab23e9e96b7f6fbf23b35e18041a1a583f4,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",104397,38293,0.3668017280190044,38933,0.010609030723571777,True,True,True,257,0,0,True
compact_dnn,QAT,B0,123,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123\best_checkpoint.pt,846daa7d293dc3485b0343cd0f3b2f78b5e80872923162019cd3b68e21ace6de,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",104397,38293,0.3668017280190044,38933,0.012826086953282356,True,True,True,257,0,0,True
compact_dnn,QAT,B0,2026,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\best_checkpoint.pt,7404110900abe7bf20e384481f693da8abde7fb316436556b680f7786080da9a,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",104397,38293,0.3668017280190044,38933,0.007788496557623148,True,True,True,257,0,0,True
compact_dnn,QAT,B0,3407,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407\best_checkpoint.pt,79ac775ce6b798be6e1ecec074d116a2c3701fb8535ec48f03eac295a9445ea7,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",104397,38293,0.3668017280190044,38933,0.008532910607755184,True,True,True,257,0,0,True
compact_dnn,QAT,B0,8192,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192\best_checkpoint.pt,822635e009b505e48e0e03fc4944bcf087624692af90451888302a9528024fa8,onednn,0.0001,4,4,9,4,"[""torch.qint8"",""torch.qint8"",""torch.qint8"",""torch.qint8""]",104397,38293,0.3668017280190044,38933,0.008061246015131474,True,True,True,257,0,0,True
tinyml_mlp,P25-QAT,P25-noFT,42,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_42\source_checkpoint.pt,cafb49c20b2ab0cd904aaab3f460f9a50b55dffd71c906fda33f4f2a77c06a70,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",30101,15207,0.505199162818511,15711,0.025726161897182465,True,True,True,257,0,0,True
tinyml_mlp,P25-QAT,P25-noFT,123,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_123\source_checkpoint.pt,3b927a24613c5aaae06a74bfbf8b3916b9837b1dc480d4bc611539b55482e567,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",30101,15207,0.505199162818511,15711,0.024212438613176346,True,True,True,257,0,0,True
tinyml_mlp,P25-QAT,P25-noFT,2026,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_2026\source_checkpoint.pt,5edae6d61c5daba921660e8ab4b03e8bf99d6fb8c87a9088e50b272ac77b270a,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",30101,15207,0.505199162818511,15711,0.03820931538939476,True,True,True,257,0,0,True
tinyml_mlp,P25-QAT,P25-noFT,3407,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_3407\source_checkpoint.pt,e0f5c4a9d589951759e1daab4d97d55fc72e0c6e8aa574b73a1b988b4c68f8e9,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",30101,15207,0.505199162818511,15711,0.12716011703014374,True,True,True,257,0,0,True
tinyml_mlp,P25-QAT,P25-noFT,8192,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p25_noft\seed_8192\source_checkpoint.pt,d0506816d759ba94935bd62321f2b2f4f2b471151907155dab4c86ffec2cfcc6,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",30101,15207,0.505199162818511,15711,0.04359877482056618,True,True,True,257,0,0,True
tinyml_mlp,P50-QAT,P50-noFT,42,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_42\source_checkpoint.pt,7ffd983fec8d9bdaa43d46bb030771c4ba1b50ad50bab6193848c0e98d638e4f,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",19925,12199,0.612245922208281,12703,0.4147806763648987,True,True,True,257,0,0,True
tinyml_mlp,P50-QAT,P50-noFT,123,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_123\source_checkpoint.pt,12bf406592c783b74d8a066ce1ec8676aacdd3a36f76b5044341b550a9de455d,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",19925,12199,0.612245922208281,12703,0.7929385900497437,True,True,True,257,0,0,True
tinyml_mlp,P50-QAT,P50-noFT,2026,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_2026\source_checkpoint.pt,fa5f955c224305819349730df21763cbf67d68b8ec8b2e8fde1c172fb593a7ee,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",19925,12199,0.612245922208281,12703,0.6249133944511414,True,True,True,257,0,0,True
tinyml_mlp,P50-QAT,P50-noFT,3407,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_3407\source_checkpoint.pt,f67ba7aefa07631971c2dd05f91d10bdca646237f43f79f362c35a1fbb70dd5c,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",19925,12199,0.612245922208281,12703,0.23823142051696777,True,True,True,257,0,0,True
tinyml_mlp,P50-QAT,P50-noFT,8192,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_8192\source_checkpoint.pt,d93a1e63059780042c6784294693c0e7a1657952b435fd4d2d78b7bf88f10def,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",19925,12199,0.612245922208281,12703,0.06792203336954117,True,True,True,257,0,0,True
tinyml_mlp,QAT,B0,42,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\best_checkpoint.pt,5abfac0829d550c2e2f452f992e5cc4b53b79412f506e8ef38d2335285aefa1f,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",41173,18407,0.4470648240351687,18975,0.004478441551327705,True,True,True,257,0,0,True
tinyml_mlp,QAT,B0,123,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\best_checkpoint.pt,eab045d2e16f00c850e93b72979e5e1e299c4e792944403cddd60df7c7fd371a,onednn,0.00030000000000000003,3,3,7,3,"[""torch.qint8"",""torch.qint8"",""torch.qint8""]",41173,18407,0.4470648240351687,18975,0.001775719691067934,True,True,True,257,0,0,True
