architecture,seed,source_variant,source_checkpoint_path,source_checkpoint_sha256,pruning_variant,pruning_ratio,original_linear_widths,compacted_linear_widths,original_parameter_count,expected_compacted_parameter_count,expected_parameter_reduction_fraction,original_linear_macs_per_sample,expected_compacted_linear_macs_per_sample,expected_mac_reduction_fraction,selection_criterion,source_is_independent_direct_B0,status
tinyml_mlp,42,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\best_checkpoint.pt,5abfac0829d550c2e2f452f992e5cc4b53b79412f506e8ef38d2335285aefa1f,P25-noFT,0.25,"[[115,64],[64,32],[32,3]]","[[115,48],[48,24],[24,3]]",9603,6819,0.2899094033114652,9504,6744,0.29040404040404044,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,123,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\best_checkpoint.pt,eab045d2e16f00c850e93b72979e5e1e299c4e792944403cddd60df7c7fd371a,P25-noFT,0.25,"[[115,64],[64,32],[32,3]]","[[115,48],[48,24],[24,3]]",9603,6819,0.2899094033114652,9504,6744,0.29040404040404044,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,2026,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026\best_checkpoint.pt,6b60c988f01ec53e91ea7d9288ebd06cb4fd825ed093476150986c96d4223fa9,P25-noFT,0.25,"[[115,64],[64,32],[32,3]]","[[115,48],[48,24],[24,3]]",9603,6819,0.2899094033114652,9504,6744,0.29040404040404044,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,3407,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407\best_checkpoint.pt,d8e8c6350d2a580b0942dcdbb47f5c42850d52313f3eb8724244ca0b84ed5fb0,P25-noFT,0.25,"[[115,64],[64,32],[32,3]]","[[115,48],[48,24],[24,3]]",9603,6819,0.2899094033114652,9504,6744,0.29040404040404044,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,8192,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\best_checkpoint.pt,cb2e01cfae3b36651853cbe4dab841cedabed53a57d25c508ef4b1e011ddb69b,P25-noFT,0.25,"[[115,64],[64,32],[32,3]]","[[115,48],[48,24],[24,3]]",9603,6819,0.2899094033114652,9504,6744,0.29040404040404044,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,42,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\best_checkpoint.pt,5abfac0829d550c2e2f452f992e5cc4b53b79412f506e8ef38d2335285aefa1f,P50-noFT,0.5,"[[115,64],[64,32],[32,3]]","[[115,32],[32,16],[16,3]]",9603,4291,0.5531604706862439,9504,4240,0.5538720538720538,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,123,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\best_checkpoint.pt,eab045d2e16f00c850e93b72979e5e1e299c4e792944403cddd60df7c7fd371a,P50-noFT,0.5,"[[115,64],[64,32],[32,3]]","[[115,32],[32,16],[16,3]]",9603,4291,0.5531604706862439,9504,4240,0.5538720538720538,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,2026,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026\best_checkpoint.pt,6b60c988f01ec53e91ea7d9288ebd06cb4fd825ed093476150986c96d4223fa9,P50-noFT,0.5,"[[115,64],[64,32],[32,3]]","[[115,32],[32,16],[16,3]]",9603,4291,0.5531604706862439,9504,4240,0.5538720538720538,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,3407,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407\best_checkpoint.pt,d8e8c6350d2a580b0942dcdbb47f5c42850d52313f3eb8724244ca0b84ed5fb0,P50-noFT,0.5,"[[115,64],[64,32],[32,3]]","[[115,32],[32,16],[16,3]]",9603,4291,0.5531604706862439,9504,4240,0.5538720538720538,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
tinyml_mlp,8192,B0,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\best_checkpoint.pt,cb2e01cfae3b36651853cbe4dab841cedabed53a57d25c508ef4b1e011ddb69b,P50-noFT,0.5,"[[115,64],[64,32],[32,3]]","[[115,32],[32,16],[16,3]]",9603,4291,0.5531604706862439,9504,4240,0.5538720538720538,deterministic_hidden_unit_importance_to_be_locked_in_engine_step,True,planned_engine_not_yet_built
