comparison_id,architecture,left_variant,right_variant,purpose,family,priority,paired_seeds,analysis_unit,primary_endpoint,safety_endpoints,test_isolation_required,status
C01,tinyml_mlp,QAT,FP32-FT,Separate fake-quantization effect from equal additional training.,equal_budget_quantization,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C01,compact_dnn,QAT,FP32-FT,Separate fake-quantization effect from equal additional training.,equal_budget_quantization,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C02,tinyml_mlp,P25,FP32-FT,Estimate P25 structured-pruning effect under an equal FP32 update budget.,equal_budget_pruning,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C02,compact_dnn,P25,FP32-FT,Estimate P25 structured-pruning effect under an equal FP32 update budget.,equal_budget_pruning,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C03,tinyml_mlp,P50,FP32-FT,Estimate P50 structured-pruning effect under an equal FP32 update budget.,equal_budget_pruning,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C03,compact_dnn,P50,FP32-FT,Estimate P50 structured-pruning effect under an equal FP32 update budget.,equal_budget_pruning,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C04,tinyml_mlp,P25-QAT,P25,Compare QAT with FP32 fine-tuning from the identical P25-noFT source.,equal_budget_pruning_qat,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C04,compact_dnn,P25-QAT,P25,Compare QAT with FP32 fine-tuning from the identical P25-noFT source.,equal_budget_pruning_qat,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C05,tinyml_mlp,P50-QAT,P50,Compare QAT with FP32 fine-tuning from the identical P50-noFT source.,equal_budget_pruning_qat,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C05,compact_dnn,P50-QAT,P50,Compare QAT with FP32 fine-tuning from the identical P50-noFT source.,equal_budget_pruning_qat,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C06,tinyml_mlp,P25-noFT,P25,Measure recovery attributable to post-pruning FP32 fine-tuning.,fine_tuning_ablation,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C06,compact_dnn,P25-noFT,P25,Measure recovery attributable to post-pruning FP32 fine-tuning.,fine_tuning_ablation,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C07,tinyml_mlp,P50-noFT,P50,Measure recovery attributable to post-pruning FP32 fine-tuning.,fine_tuning_ablation,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C07,compact_dnn,P50-noFT,P50,Measure recovery attributable to post-pruning FP32 fine-tuning.,fine_tuning_ablation,primary,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C08,tinyml_mlp,DQ,B0,Measure standalone dynamic quantization effect.,standalone_quantization,secondary_locked,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C08,compact_dnn,DQ,B0,Measure standalone dynamic quantization effect.,standalone_quantization,secondary_locked,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked
C09,tinyml_mlp,PTQ,B0,Measure standalone PTQ effect only after Phase 6 calibration selection.,standalone_quantization,secondary_locked_deferred,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked_deferred_phase6
C09,compact_dnn,PTQ,B0,Measure standalone PTQ effect only after Phase 6 calibration selection.,standalone_quantization,secondary_locked_deferred,42;123;2026;3407;8192,paired_training_seed,test_fingerprint_macro_f1,gafgyt_fnr;mirai_fnr;benign_misclassification,True,locked_deferred_phase6
