run_id,architecture,variant,seed,pruning_ratio,compacted_linear_widths,parameter_count,linear_macs_per_sample,serialized_source_checkpoint_bytes,validation_fingerprint_macro_f1,validation_raw_weighted_macro_f1,test_fingerprint_accuracy,test_fingerprint_macro_f1,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,validation_inference_seconds,test_inference_seconds,test_evaluation_count,test_used_for_selection,fine_tuning_performed,fragility_gate_triggered,source_checkpoint_path,source_checkpoint_sha256,output_directory,metrics_sha256,run_manifest_sha256,status
compact_dnn__p25_noft__seed_42,compact_dnn,P25-noFT,42,0.25,"[[115,96],[96,48],[48,24],[24,3]]",17043,16872,77699,0.999095145205619,0.9979304502187731,0.9995051049500263,0.9991157795614173,0.9979624194480636,0.002049474309839483,0.00021546292005103496,0.6357100000604987,0.5527790000196546,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_42\source_checkpoint.pt,e24df211106f2e5302cb532bc693d64a9e7faf5e9f4818327a54961216d5af35,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_42,b08e2e979b176deb045cf62a0068539f9659cf255b1360c7042aecdfa9decda2,db6121971eeb01e95710b14debd5ccb88a749c808dc89f634210d5e2d6ad20f1,completed
compact_dnn__p25_noft__seed_123,compact_dnn,P25-noFT,123,0.25,"[[115,96],[96,48],[48,24],[24,3]]",17043,16872,77699,0.9982259208824728,0.997818118943754,0.9990882096633638,0.9984160110085498,0.9980292462294127,0.0015985899616748345,0.000756152889235806,0.6109848000342026,0.5948978998931125,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_123\source_checkpoint.pt,e787eac6b14cba10b3c32f9e8fc60f47d27259c95738e9f2e9eb78c375d6fa45,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_123,1f85cc75b74fb405dfe7d02a5b7190ef5cb9d4170a6553d888f117e6385cd2a3,eb787ea0c5a37a90091fa958e00ec7a37455ca334a322421ac9a4e05883e6e4e,completed
compact_dnn__p25_noft__seed_2026,compact_dnn,P25-noFT,2026,0.25,"[[115,96],[96,48],[48,24],[24,3]]",17043,16872,77699,0.9991244384698986,0.9982642974825238,0.999488967067962,0.9990736126813013,0.9981945585442805,0.0017420531633636216,0.00027644299176365905,0.5661509999772534,0.5854125999612734,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_2026\source_checkpoint.pt,2562fdb7e985f3f22e221fad4cc5c0d0111367dc28d695fe120d7bad9e4523d1,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_2026,ddf2db58dcb6dc61ce8603cfdcfbb1cadd774903f934ca49e613fe908044dd33,a0939c05f279144580ef050e8ce36536e3e21139a9dc30f8658c6e5492e09eae,completed
compact_dnn__p25_noft__seed_3407,compact_dnn,P25-noFT,3407,0.25,"[[115,96],[96,48],[48,24],[24,3]]",17043,16872,77699,0.9988149022401921,0.998163111958385,0.9994028983636187,0.9988651935590536,0.9980650478663299,0.0017625479064620198,0.00010163345285429948,0.6136605000356212,0.5693759999703616,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_3407\source_checkpoint.pt,86907e6c8c4decb66d5259e05523aa597ec33d1ee00f642e1b96c70f9ada41cb,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_3407,6dadb2cb351977f6e68247a985e000a1d9bedac9a2e01d31d89e35027bbc1711,4a2ba38e07803e7568bc647f8c9db96b5c58abebdef3be967d77237b1fb557ae,completed
compact_dnn__p25_noft__seed_8192,compact_dnn,P25-noFT,8192,0.25,"[[115,96],[96,48],[48,24],[24,3]]",17043,16872,77699,0.9984457690310067,0.9982833878541352,0.9992200023668893,0.9985989382000634,0.9985641264222763,0.0009427581825262044,0.000504101926157241,1.0957679999992251,1.0973032000474632,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p25_noft\seed_8192\source_checkpoint.pt,a2d3bb7c77327c8f77ca82df062669a9a72471dd7232502ce974aebaaaa86720,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_8192,0d6bcdc81e24fad4f9b166baae1d39bc27d1d6e2f9bfd31a8812ae176ea4d4d3,049f6628ef511f763ae1d6e5a64a5b03ce5690679124a0be0db610e08bd5c188,completed
compact_dnn__p50_noft__seed_42,compact_dnn,P50-noFT,42,0.5,"[[115,64],[64,32],[32,16],[16,3]]",10083,9968,49091,0.9948643789733334,0.9961694587588275,0.9972538704020484,0.9950565551069036,0.9963450514777034,0.0011886950997068713,0.00128464684407803,1.0146945000160486,1.0019322999287397,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_42\source_checkpoint.pt,7a5b322104a456bf22c856a9bb2772cd5104bdce30e1cb7398f937d50aa0353d,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_42,18eeeb127dcf914c5f9bb4709a41d7c3f75b762edfc6d3e05f0b779251fb5bcb,5cd9fe7b07bf5041b59ffdd68d9fecc6b3a4d34ec86ed2686d8c8baaff288f91,completed
compact_dnn__p50_noft__seed_123,compact_dnn,P50-noFT,123,0.5,"[[115,64],[64,32],[32,16],[16,3]]",10083,9968,49091,0.9305842586388678,0.9690018926848424,0.9530468321337507,0.9300817610689759,0.9689032292111825,0.0009632529256246025,0.05157287931637278,1.1079729999182746,0.996727199992165,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_123\source_checkpoint.pt,815eeff70d8c0424165b28842a3e7f638a38ccf791fbd72784518bc73fd28351,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_123,21e8519559ddd9a01aff055fb4d5e3573c4d52e61b7f869d7c5407b107e74435,1dbc158bda8f463c348b6145c7fd6e44a1d9645efad9ff9091f0f3f442268b13,completed
compact_dnn__p50_noft__seed_2026,compact_dnn,P50-noFT,2026,0.5,"[[115,64],[64,32],[32,16],[16,3]]",10083,9968,49091,0.995031687912339,0.9967991252240149,0.9969472506428256,0.9950542547365536,0.9967720027554137,0.0011272108704117878,0.003467733411387841,1.0261031000409275,1.0028514000587165,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_2026\source_checkpoint.pt,8ef577919cdc8340779b0ce4e38aa6a50dbb50c382c5c25a98c50ca739dc2c00,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_2026,c89d4d8baf8c37a78cff40f1d872eea0a099465ce6f73d61d2965a09ad688cd9,1d12d9f7666738ec743ca13208a1b7d4d9bd650e5ab395ac196229e17124675f,completed
compact_dnn__p50_noft__seed_3407,compact_dnn,P50-noFT,3407,0.5,"[[115,64],[64,32],[32,16],[16,3]]",10083,9968,49091,0.676345686859415,0.775887882438861,0.8452027455916685,0.6777391690694655,0.7764288173510887,0.0004508843481646485,0.00013009081965342784,1.067045500036329,1.058256100048311,1,False,False,True,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_3407\source_checkpoint.pt,a6d4d5ddb3b56c9721b4e93d0878b73cc8128e141b114643249e133d73d32f36,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_3407,0d688ac591f8db56b64e3c8f85ea827dd3e17f786b6decdb91e3511104418b68,1318e3ac33d0604166723606441572eaa4ce49d8e0e58280db8f25ff6e2f0234,completed
compact_dnn__p50_noft__seed_8192,compact_dnn,P50-noFT,8192,0.5,"[[115,64],[64,32],[32,16],[16,3]]",10083,9968,49091,0.9931016478445761,0.9923577041278092,0.9946476024486547,0.9932159861094995,0.9924070777369406,0.0011272108704117878,0.0072159751526534865,1.0897451000055298,1.0587977999821305,1,False,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\pruning_sources\p50_noft\seed_8192\source_checkpoint.pt,f393cc86ba1b5f66a67c92078fa661f4b134c834b2c2daaadbee40703dc639e2,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_8192,c008da579c84c462d698a8e1a03623114413aaa2c3ec01c85f0728df68e53659,e8bc7d20de5a0ba33a22b45b40b528155d23dcf52e84adac8b325f7d53471981,completed
