measurement_order,architecture,variant,seed,expected_representation,loaded_representation,checkpoint_path,checkpoint_sha256,checkpoint_file_bytes,serialized_state_dict_bytes,model_class,quantized_linear_count,load_elapsed_seconds,batch_1_output_shape,batch_1_output_sha256,batch_1_smoke_seconds,batch_32_output_shape,batch_32_output_sha256,batch_32_smoke_seconds,train_data_access,validation_data_access,test_data_access,strict_state_loading,all_checks_passed
1,compact_dnn,P25-QAT,123,static_int8,static_int8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_qat\seed_123\best_int8_checkpoint.pt,ede547a384ebcce20caf2f6f0d9aaccd16e3380d068fd7e8957d53e3198b4802,30997,29013,QATModelWrapper,4,0.037122400011867285,"[1,3]",dc76a46fe175d1f9410ea7e0e84517c7323403d0d501cc6192e441c5ed3031e8,0.0018497999990358949,"[32,3]",e0e9b3ad8c962056fef4bd63ebb03b0ba4d7d0e28c6ca0b5a98450706f979b60,0.001845099963247776,True,False,False,True,True
2,tinyml_mlp,P50-FP32-FT,3407,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_3407\best_checkpoint.pt,4da6b1306939c1421cf08fb3044f4c33d48f5b53b1e4d6dc14da30e2e0b59847,60773,19925,TinyMLMLP,0,0.011536299949511886,"[1,3]",84f0cfb915ea146c9c04d6e8da46b8ab12092c7e63bb59c5e1e36fd4c1b326a1,0.0017577999969944358,"[32,3]",ce57607773c352fd058b250b029dea95c1b01829750f467e199ea372434dba0c,4.680000711232424e-05,True,False,False,True,True
3,compact_dnn,B0,2026,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\best_checkpoint.pt,7404110900abe7bf20e384481f693da8abde7fb316436556b680f7786080da9a,313779,104397,CompactDNN,0,0.011383499950170517,"[1,3]",2ed7afa6298c75f1cb76335b506c73fafca7cc778ccbb41825610fbc52dc12d8,0.00010409997776150703,"[32,3]",4d5d4e6521f3c7c645b46d9427de2abc8cd2f340c4e0485e90cc391695c5abdd,6.939994636923075e-05,True,False,False,True,True
4,tinyml_mlp,P25-FP32-FT,2026,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p25\seed_2026\best_checkpoint.pt,a528b7ac2616511006e235ce8db00279285939272103945622113a2df2680c1a,90917,30101,TinyMLMLP,0,0.010890500037930906,"[1,3]",02aee9ce01bc8f6f3e4ab9f98da69e5b643854ee005740dd435dcfc189db38fd,6.750004831701517e-05,"[32,3]",05b3427baed9996ddcfaf97f6ddac693b3df549c2ab1988f8b76569911509e29,4.269997589290142e-05,True,False,False,True,True
5,tinyml_mlp,P50-noFT,2026,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\pruning_sources\p50_noft\seed_2026\source_checkpoint.pt,fa5f955c224305819349730df21763cbf67d68b8ec8b2e8fde1c172fb593a7ee,23921,19925,TinyMLMLP,0,0.010564600001089275,"[1,3]",8edae9c4bb9b3305caea3b5e35f16719426702e4fbd920527339f56ad973cfa9,6.900005973875523e-05,"[32,3]",9c7c1b8ee0b55fc76093eabe7b510a64f138af44535fa6e091d420119cf36c86,4.3899985030293465e-05,True,False,False,True,True
6,tinyml_mlp,B0,8192,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\best_checkpoint.pt,cb2e01cfae3b36651853cbe4dab841cedabed53a57d25c508ef4b1e011ddb69b,123467,41173,TinyMLMLP,0,0.009990699938498437,"[1,3]",246be137f1539f486cc89ea0b7ee80015657d67fc32ec59aa376893ca96c4804,9.159999899566174e-05,"[32,3]",66077c08d2ef7294687ba8c384e46747105c052c06f8b4e91eff003b425d1a68,7.399998139590025e-05,True,False,False,True,True
7,tinyml_mlp,QAT,8192,static_int8,static_int8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_8192\best_int8_checkpoint.pt,2a0c101aeb7796d47698da392d078ad9458113eafc99eca35eda3e6cace74ac4,20167,18407,QATModelWrapper,3,0.026513699907809496,"[1,3]",819f59e89fc764466d09a4424883379d7e6c4d7a7ba8b04f4b7ad71d77316590,0.0016144999535754323,"[32,3]",3a37d3ae35477972423f76117552bec7a83198b858033465c61df8299c6f7fd0,0.001653200015425682,True,False,False,True,True
8,compact_dnn,P25-FP32-FT,8192,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_8192\best_checkpoint.pt,9c9fc9d8d2338473835632b1ab3c3da8dd3f5ac14dac056a606f4a3a7da063f2,215781,71501,CompactDNN,0,0.011422399897128344,"[1,3]",55590cce53938b950c3d311858c6fc84c0abb1e707a7d3844a4566700265338c,0.00011399993672966957,"[32,3]",eecef4da3837af92756015b94b0c544e113365c2370497bd598482751bfc8997,6.38000201433897e-05,True,False,False,True,True
9,tinyml_mlp,QAT,123,static_int8,static_int8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_123\best_int8_checkpoint.pt,08c4cb7288103e8a842f8afb0067296967a68490ab67b69ddca660ab549bf01f,20167,18407,QATModelWrapper,3,0.02611460001207888,"[1,3]",98f7dfc7f1db5b0736b8964c4ab220908c38fa89d66ad40f2dbde6763bb62334,0.00034899997990578413,"[32,3]",3fc56d21e171995b9822543486c0b8da65ecd9719cc9324e08a96c61fde1d4e1,0.00023250002413988113,True,False,False,True,True
10,tinyml_mlp,DQ,8192,dynamic_int8,dynamic_int8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\dq\seed_8192\dq_checkpoint.pt,93be889103599da34137cf815d1d260244e66c0641e85b31f28f316e4ecc7574,16225,14719,TinyMLMLP,3,0.013333400012925267,"[1,3]",efa79bb04c004901a9e12cbed84491b02a0d96fca1a042d85ec157bc3c65a60e,0.0015614000149071217,"[32,3]",a27ae80500c6cf59c87826500531f6297940f2d1079621741e4a5c6894419546,0.0014395000180229545,True,False,False,True,True
11,tinyml_mlp,P50-FP32-FT,42,float32,float32,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50\seed_42\best_checkpoint.pt,cc5e1c341f9ae30527d692d36870ada10a8dc34b28248a59da8661510d5f94cc,60709,19925,TinyMLMLP,0,0.010913400095887482,"[1,3]",98abe6a2823a9a4cdacfaf0968e279b32557bace0e99b6893a92c23074e73b74,7.159996312111616e-05,"[32,3]",e05e41103a16c29b9a0a6f093464c375dedd90e5fdfc3a5d876a10a6710f5981,4.579999949783087e-05,True,False,False,True,True
12,tinyml_mlp,QAT,42,static_int8,static_int8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\qat\seed_42\best_int8_checkpoint.pt,db441879e4296a001741c4c17817414c40735f2621b86981698a34f8e78ab3fa,20167,18407,QATModelWrapper,3,0.026415899978019297,"[1,3]",073430c232b447ab031889817b95eb8e8b0cef1109e58e9c19d7199bdffe3997,0.0004007000243291259,"[32,3]",4c0e9109645fcac88e559e48106a7354df5273737989c834bfca380e2dfc0c99,0.00033199996687471867,True,False,False,True,True
13,tinyml_mlp,P50-QAT,8192,static_int8,static_int8,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\p50_qat\seed_8192\best_int8_checkpoint.pt,3d1c0c08340eb403e0725429d670897e8d586c996b9c3ca13618f9b124c5f08e,14023,12199,QATModelWrapper,3,0.026358300005085766,"[1,3]",98682e2198541c9fe34b6c1fdc64241d742f79ca9e91eb7a93631fc4ae698684,0.0013431999832391739,"[32,3]",b322c43a754a3b24c6288806173c47eda80e369404732292f854d0ab91cac3d2,0.0012189000844955444,True,False,False,True,True
