analysis_type,endpoint_class,family_id,architecture,metric,metric_domain,direction,unit,reference_variant,candidate_variant,paired_seed_count,test,two_sided,multiplicity_adjustment,alpha
omnibus,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,,,5,friedman_rank_statistic_with_within_seed_monte_carlo_permutation,True,none_for_omnibus,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,FP32-FT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P25-noFT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P25-FP32-FT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P50-noFT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P50-FP32-FT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,DQ,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,QAT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P25-QAT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
posthoc_vs_B0,confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P50-QAT,5,exact_two_sided_paired_sign_flip_on_mean_raw_delta,True,holm_within_architecture_metric_family,0.05
