endpoint_class,architecture,metric,metric_domain,direction,unit,variant,seed_count,mean,median,std_population,minimum,maximum
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,5,0.9992485859275358,0.9992387364784919,7.03988518529849e-05,0.9991468801117707,0.9993674466185191
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,FP32-FT,5,0.9993869819740098,0.9993836172531619,3.4968645322849514e-05,0.9993424665082218,0.9994444073042175
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P25-noFT,5,0.9569461644366667,0.9809354066752993,0.044038458309919655,0.8890132410593958,0.9989448667867439
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P25-FP32-FT,5,0.9992690763931465,0.9993119398715598,9.594321658620924e-05,0.999124216570524,0.9993905048097456
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P50-noFT,5,0.7824954690714307,0.8202819954756585,0.10602417208368228,0.6560429259769186,0.9052896347896766
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P50-FP32-FT,5,0.9989536146407785,0.9989290248659578,0.00016067119478705008,0.9987456314068774,0.9992350655004856
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,DQ,5,0.8405492966450112,0.8338431958486828,0.011567465560238441,0.8306201277207298,0.8602286269760326
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,QAT,5,0.9982103802573974,0.9981036024972098,0.0003876923018597152,0.9977151375596214,0.9988494120065642
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P25-QAT,5,0.9980622942844194,0.9981434899604608,0.00024594799585758454,0.9976165757765143,0.998335351575974
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P50-QAT,5,0.9978555453698199,0.9981008378540057,0.0004956603432279483,0.9970080708948338,0.998321844873542
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,PTQ,5,0.9938503114007465,0.997164543928243,0.006775609061374789,0.9803717233673384,0.9983673355552791
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,5,0.02838,0.0298,0.005283616185909042,0.021449999999999997,0.0366
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,FP32-FT,5,0.0267,0.0266,0.0019493588689617927,0.0234,0.0292
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,P25-noFT,5,0.02631,0.0269,0.0019985995096567,0.0232,0.0292
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,P25-FP32-FT,5,0.02706,0.0269,0.0036479309203985752,0.0221,0.03315
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,P50-noFT,5,0.02722,0.03,0.004900775448844805,0.0196,0.0326
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,P50-FP32-FT,5,0.02541,0.0236,0.004709607202304668,0.0203,0.0339
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,DQ,5,0.11377999999999999,0.113,0.0042102969016448236,0.108,0.12025
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,QAT,5,0.10343,0.1018,0.008392889847960593,0.09425,0.11815
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,P25-QAT,5,0.10096000000000001,0.10255,0.004301092884372531,0.0929,0.10505
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,P50-QAT,5,0.10766,0.1017,0.012193334244578061,0.09914999999999999,0.1318
confirmatory,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,PTQ,5,0.10937,0.10485,0.012934434661012437,0.0997,0.1349
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,5,901145.111378992,913294.1377932531,76125.25320485994,777576.6338221536,1003953.0651942022
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,FP32-FT,5,943871.4823726129,992032.7370803236,99442.89249515865,754547.9196878057,1032541.1806463061
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P25-noFT,5,1087208.0098179034,1094353.818268869,32958.60928483765,1051766.6392769103,1140068.0478116036
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P25-FP32-FT,5,1017574.6801011199,1037378.0270366648,64192.60201621975,900634.6659911907,1078548.6779352534
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P50-noFT,5,1193413.86087045,1194141.2445190784,84683.14705707575,1074095.829487287,1329041.6363825146
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P50-FP32-FT,5,1186343.754977041,1178008.0619926741,116738.73491316792,992094.2489536506,1353408.8986635087
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,DQ,5,184982.40524081374,185425.01441389762,2834.474429408917,180346.71656259155,188744.9053621248
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,QAT,5,171992.6788425923,174304.7555239628,5175.663417482841,164395.94763989068,177607.07764204402
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P25-QAT,5,169674.26636355594,171967.65933206686,9398.51910476633,153858.35895635953,179938.0338395965
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,P50-QAT,5,168078.67334476035,169418.840433924,8938.601936460534,156924.2840329541,182678.1183012077
confirmatory,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,PTQ,5,167364.55012861296,168630.50947492674,9847.429465826319,149800.11047758147,178794.92222420883
