endpoint_class,family_id,architecture,metric,metric_domain,direction,unit,reference_variant,candidate_variant,paired_seed_count,reference_mean,candidate_mean,mean_raw_delta_candidate_minus_B0,median_raw_delta_candidate_minus_B0,mean_improvement_delta,median_improvement_delta,bootstrap_95_CI_raw_delta_lower,bootstrap_95_CI_raw_delta_upper,paired_rank_biserial_improvement,improvement_wins,improvement_ties,improvement_losses,exact_sign_flip_assignments,exact_sign_flip_exceedances,exact_two_sided_p_raw,Holm_adjusted_p,Holm_reject_alpha_0_05,omnibus_monte_carlo_p,final_model_selection_used
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,FP32-FT,5,0.9992485859275358,0.9993869819740098,0.00013839604647383207,0.00012908303310510405,0.00013839604647383207,0.00012908303310510405,9.945460065265976e-05,0.00018343049910671816,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P25-noFT,5,0.9992485859275358,0.9569461644366667,-0.04230242149086923,-0.018211473436471337,-0.04230242149086923,-0.018211473436471337,-0.08269787012948975,-0.005479000256275413,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P25-FP32-FT,5,0.9992485859275358,0.9992690763931465,2.0490465610656373e-05,4.817552149694038e-05,2.0490465610656373e-05,4.817552149694038e-05,-4.739917439149366e-05,6.704992983230795e-05,0.3333333333333333,4,0,1,32,20,0.625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P50-noFT,5,0.9992485859275358,0.7824954690714307,-0.21675311685610515,-0.1789533367331826,-0.21675311685610515,-0.1789533367331826,-0.30966301842470734,-0.12384321528750304,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P50-FP32-FT,5,0.9992485859275358,0.9989536146407785,-0.00029497128675743945,-0.000374375710798569,-0.00029497128675743945,-0.000374375710798569,-0.0004461241639696745,-0.00012362437540753836,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,DQ,5,0.9992485859275358,0.8405492966450112,-0.15869928928252475,-0.165411338371374,-0.15869928928252475,-0.165411338371374,-0.1678463414051914,-0.14751435322316514,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,QAT,5,0.9992485859275358,0.9982103802573974,-0.0010382056701386145,-0.0012540010596968632,-0.0010382056701386145,-0.0012540010596968632,-0.0013720965246372784,-0.0006207782845095711,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P25-QAT,5,0.9992485859275358,0.9980622942844194,-0.001186291643116455,-0.0011110442595960723,-0.001186291643116455,-0.0011110442595960723,-0.001430908383624363,-0.000960684144882018,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,P50-QAT,5,0.9992485859275358,0.9978555453698199,-0.001393040557716052,-0.0011344943548353692,-0.001393040557716052,-0.0011344943548353692,-0.0018997199691924704,-0.0009493425002155886,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,PTQ,5,0.9992485859275358,0.9938503114007465,-0.0053982745267894035,-0.0020899902918137814,-0.0053982745267894035,-0.0020899902918137814,-0.012101090163384898,-0.001627640782280748,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,FP32-FT,5,0.02838,0.0267,-0.0016799999999999996,-0.0005999999999999998,0.0016799999999999996,0.0005999999999999998,-0.00642,0.0022600000000000016,0.2,3,0,2,32,20,0.625,1.0,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,P25-noFT,5,0.02838,0.02631,-0.00207,-0.0029,0.00207,0.0029,-0.0048000000000000004,0.000690000000000001,0.6,3,0,2,32,10,0.3125,1.0,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,P25-FP32-FT,5,0.02838,0.02706,-0.0013199999999999996,0.0030999999999999986,0.0013199999999999996,-0.0030999999999999986,-0.0076300000000000005,0.00442,0.2,2,0,3,32,24,0.75,1.0,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,P50-noFT,5,0.02838,0.02722,-0.0011600000000000007,0.0025499999999999967,0.0011600000000000007,-0.0025499999999999967,-0.00885,0.006529999999999999,0.2,2,0,3,32,26,0.8125,1.0,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,P50-FP32-FT,5,0.02838,0.02541,-0.0029700000000000004,-0.006200000000000001,0.0029700000000000004,0.006200000000000001,-0.008200000000000002,0.0037199999999999998,0.4666666666666667,4,0,1,32,14,0.4375,1.0,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,DQ,5,0.02838,0.11377999999999999,0.0854,0.08729999999999999,-0.0854,-0.08729999999999999,0.07776,0.09162,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,QAT,5,0.02838,0.10343,0.07505,0.07594999999999999,-0.07505,-0.07594999999999999,0.06525,0.08339,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,P25-QAT,5,0.02838,0.10096000000000001,0.07258,0.07145,-0.07258,-0.07145,0.06865000000000002,0.07721000000000001,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,P50-QAT,5,0.02838,0.10766,0.07928,0.07164999999999999,-0.07928,-0.07164999999999999,0.06925,0.09522,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,PTQ,5,0.02838,0.10937,0.08098999999999998,0.0779,-0.08098999999999998,-0.0779,0.07083999999999999,0.09369999999999999,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,FP32-FT,5,901145.111378992,943871.4823726129,42726.37099362102,71136.36577074998,42726.37099362102,71136.36577074998,-70650.68411050612,147842.8594796395,0.3333333333333333,3,0,2,32,18,0.5625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,P25-noFT,5,901145.111378992,1087208.0098179034,186062.8984389116,150484.5441633328,186062.8984389116,150484.5441633328,104805.01546511687,274316.06843407534,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,P25-FP32-FT,5,901145.111378992,1017574.6801011199,116429.56872212786,134679.40382971708,116429.56872212786,134679.40382971708,-3793.950367922406,213177.87880966347,0.7333333333333333,4,0,1,32,6,0.1875,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,P50-noFT,5,901145.111378992,1193413.86087045,292268.7494914581,310836.53815640474,292268.7494914581,310836.53815640474,189790.22593233737,394204.2974689845,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,P50-FP32-FT,5,901145.111378992,1186343.754977041,285198.643598049,234138.78788713785,285198.643598049,234138.78788713785,146422.406300737,450554.232008629,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,DQ,5,901145.111378992,184982.40524081374,-716162.7061381781,-727869.1233793554,-716162.7061381781,-727869.1233793554,-780488.5054180326,-645701.749056377,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,QAT,5,901145.111378992,171992.6788425923,-729152.4325363997,-735687.060151209,-729152.4325363997,-735687.060151209,-790890.0905712622,-657785.3496551747,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,P25-QAT,5,901145.111378992,169674.26636355594,-731470.845015436,-735842.1815240695,-731470.845015436,-735842.1815240695,-788745.8914223912,-668986.7123860184,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,P50-QAT,5,901145.111378992,168078.67334476035,-733066.4380342317,-730616.0194920454,-733066.4380342317,-730616.0194920454,-798196.1409245797,-661085.8175605366,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,B0,PTQ,5,901145.111378992,167364.55012861296,-733780.561250379,-739480.2815699023,-733780.561250379,-739480.2815699023,-795597.0854479661,-670151.7712407614,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,FP32-FT,5,41173.0,41173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,32,32,1.0,1.0,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,P25-noFT,5,41173.0,30101.0,-11072.0,-11072.0,11072.0,11072.0,-11072.0,-11072.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,P25-FP32-FT,5,41173.0,30101.0,-11072.0,-11072.0,11072.0,11072.0,-11072.0,-11072.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,P50-noFT,5,41173.0,19925.0,-21248.0,-21248.0,21248.0,21248.0,-21248.0,-21248.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,P50-FP32-FT,5,41173.0,19925.0,-21248.0,-21248.0,21248.0,21248.0,-21248.0,-21248.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,DQ,5,41173.0,14719.0,-26454.0,-26454.0,26454.0,26454.0,-26454.0,-26454.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,QAT,5,41173.0,18407.0,-22766.0,-22766.0,22766.0,22766.0,-22766.0,-22766.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,P25-QAT,5,41173.0,15207.0,-25966.0,-25966.0,25966.0,25966.0,-25966.0,-25966.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,P50-QAT,5,41173.0,12199.0,-28974.0,-28974.0,28974.0,28974.0,-28974.0,-28974.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,B0,PTQ,5,41173.0,18407.0,-22766.0,-22766.0,22766.0,22766.0,-22766.0,-22766.0,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,FP32-FT,5,0.9980857659484768,0.9983273614759355,0.0002415955274587489,0.0003089144741971195,0.0002415955274587489,0.0003089144741971195,0.00012253561290029858,0.0003347455539803645,1.0,5,0,0,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,P25-noFT,5,0.9980857659484768,0.9736578643286569,-0.02442790161981987,-0.025167772625250828,-0.02442790161981987,-0.025167772625250828,-0.0432956196969597,-0.005560183542680041,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,P25-FP32-FT,5,0.9980857659484768,0.9981093262902749,2.3560341798312125e-05,5.239398945056095e-05,2.3560341798312125e-05,5.239398945056095e-05,-0.00013743412407036805,0.0001626094982222881,0.2,3,0,2,32,24,0.75,0.75,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,P50-noFT,5,0.9980857659484768,0.8234172420647475,-0.1746685238837291,-0.16771077841029958,-0.1746685238837291,-0.16771077841029958,-0.22891383766864673,-0.12042321009881149,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,P50-FP32-FT,5,0.9980857659484768,0.997539435245098,-0.0005463307033787501,-0.0007036971442897499,-0.0005463307033787501,-0.0007036971442897499,-0.0007860123222931392,-0.0002910158819842357,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,DQ,5,0.9980857659484768,0.8047757936188316,-0.19330997232964525,-0.2015843554068315,-0.19330997232964525,-0.2015843554068315,-0.20347936665373162,-0.18011132022932416,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,QAT,5,0.9980857659484768,0.9970950606241722,-0.0009907053243046304,-0.0011224176181783285,-0.0009907053243046304,-0.0011224176181783285,-0.001386269899238135,-0.0005895317535103528,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,P25-QAT,5,0.9980857659484768,0.9966948606225075,-0.001390905325969305,-0.0013281778694306245,-0.001390905325969305,-0.0013281778694306245,-0.0016350689183225464,-0.0011467417336160635,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,P50-QAT,5,0.9980857659484768,0.9965766930824035,-0.0015090728660733133,-0.0012047518931153078,-0.0015090728660733133,-0.0012047518931153078,-0.002020608985784711,-0.0010194403541344155,-1.0,0,0,5,32,2,0.0625,0.625,False,9.99990000099999e-06,False
