profile,architecture,variant,eligible,deployment_improvement_count,failed_gates,all_checks_passed
strict,tinyml_mlp,B0,False,0,candidate_role;deployment_improvement,True
strict,tinyml_mlp,FP32-FT,False,2,candidate_role,True
strict,tinyml_mlp,P25-noFT,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
strict,tinyml_mlp,P25-FP32-FT,True,3,,True
strict,tinyml_mlp,P50-noFT,False,3,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
strict,tinyml_mlp,P50-FP32-FT,True,3,,True
strict,tinyml_mlp,DQ,False,1,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
strict,tinyml_mlp,QAT,False,1,mean_macro_f1_loss,True
strict,tinyml_mlp,P25-QAT,False,1,mean_macro_f1_loss,True
strict,tinyml_mlp,P50-QAT,False,1,mean_macro_f1_loss,True
strict,tinyml_mlp,PTQ,False,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
strict,compact_dnn,B0,False,0,candidate_role;deployment_improvement,True
strict,compact_dnn,FP32-FT,False,0,candidate_role;deployment_improvement,True
strict,compact_dnn,P25-noFT,True,2,,True
strict,compact_dnn,P25-FP32-FT,True,2,,True
strict,compact_dnn,P50-noFT,False,2,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
strict,compact_dnn,P50-FP32-FT,True,3,,True
strict,compact_dnn,DQ,False,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
strict,compact_dnn,QAT,False,1,mean_macro_f1_loss,True
strict,compact_dnn,P25-QAT,False,1,mean_macro_f1_loss,True
strict,compact_dnn,P50-QAT,False,1,mean_macro_f1_loss,True
strict,compact_dnn,PTQ,False,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
balanced,tinyml_mlp,B0,False,0,candidate_role;deployment_improvement,True
balanced,tinyml_mlp,FP32-FT,False,2,candidate_role,True
balanced,tinyml_mlp,P25-noFT,False,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
balanced,tinyml_mlp,P25-FP32-FT,True,3,,True
balanced,tinyml_mlp,P50-noFT,False,3,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
balanced,tinyml_mlp,P50-FP32-FT,True,3,,True
balanced,tinyml_mlp,DQ,False,1,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,True
balanced,tinyml_mlp,QAT,True,1,,True
balanced,tinyml_mlp,P25-QAT,True,1,,True
balanced,tinyml_mlp,P50-QAT,True,1,,True
