profile,primary_profile,architecture,variant,representation,eligible,Pareto_nondominated,dominated_by_count,dominated_by,mean_test_fingerprint_macro_f1,mean_serialized_state_dict_bytes,mean_batch_1_median_ms,mean_batch_32_samples_per_second,deployment_improvement_count,failed_gates
strict,False,tinyml_mlp,P25-noFT,float32,False,False,0,,0.9569461644366667,30101.0,0.02631,1087208.0098179034,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
strict,False,tinyml_mlp,P25-FP32-FT,float32,True,True,0,,0.9992690763931465,30101.0,0.02706,1017574.6801011197,3,
strict,False,tinyml_mlp,P50-noFT,float32,False,False,0,,0.7824954690714307,19925.0,0.02722,1193413.86087045,3,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
strict,False,tinyml_mlp,P50-FP32-FT,float32,True,True,0,,0.9989536146407785,19925.0,0.02541,1186343.7549770407,3,
strict,False,tinyml_mlp,DQ,dynamic_int8,False,False,0,,0.8405492966450112,14719.0,0.11377999999999999,184982.40524081374,1,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
strict,False,tinyml_mlp,QAT,static_int8,False,False,0,,0.9982103802573974,18407.0,0.10343,171992.6788425923,1,mean_macro_f1_loss
strict,False,tinyml_mlp,P25-QAT,static_int8,False,False,0,,0.9980622942844194,15207.0,0.10096000000000001,169674.26636355594,1,mean_macro_f1_loss
strict,False,tinyml_mlp,P50-QAT,static_int8,False,False,0,,0.9978555453698199,12199.0,0.10766,168078.67334476035,1,mean_macro_f1_loss
strict,False,tinyml_mlp,PTQ,static_int8,False,False,0,,0.9938503114007465,18407.0,0.10937,167364.55012861296,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
strict,False,compact_dnn,P25-noFT,float32,True,False,3,compact_dnn::P25-FP32-FT;tinyml_mlp::P25-FP32-FT;tinyml_mlp::P50-FP32-FT,0.9988139070020772,71501.0,0.04132,581034.4864529131,2,
strict,False,compact_dnn,P25-FP32-FT,float32,True,False,1,tinyml_mlp::P25-FP32-FT,0.9991604849327598,71501.0,0.0407,588555.9458143262,2,
strict,False,compact_dnn,P50-noFT,float32,False,False,0,,0.9182295452182796,43597.0,0.04007,656150.7296020035,2,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
strict,False,compact_dnn,P50-FP32-FT,float32,True,False,2,tinyml_mlp::P25-FP32-FT;tinyml_mlp::P50-FP32-FT,0.998786993887449,43597.0,0.03866000000000001,680229.5377788424,3,
strict,False,compact_dnn,DQ,dynamic_int8,False,False,0,,0.9054053054146456,32051.0,0.16024,129247.62388063656,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
strict,False,compact_dnn,QAT,static_int8,False,False,0,,0.9980903197215032,38293.0,0.13618999999999998,124785.87654495964,1,mean_macro_f1_loss
strict,False,compact_dnn,P25-QAT,static_int8,False,False,0,,0.9982271247954844,29013.0,0.13628,131572.78763373004,1,mean_macro_f1_loss
strict,False,compact_dnn,P50-QAT,static_int8,False,False,0,,0.9976074501406412,20949.0,0.14221,130032.86360280805,1,mean_macro_f1_loss
strict,False,compact_dnn,PTQ,static_int8,False,False,0,,0.9953797075666587,38293.0,0.13831000000000002,127916.53885021154,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,tinyml_mlp,P25-noFT,float32,False,False,0,,0.9569461644366667,30101.0,0.02631,1087208.0098179034,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,tinyml_mlp,P25-FP32-FT,float32,True,True,0,,0.9992690763931465,30101.0,0.02706,1017574.6801011197,3,
balanced,True,tinyml_mlp,P50-noFT,float32,False,False,0,,0.7824954690714307,19925.0,0.02722,1193413.86087045,3,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,tinyml_mlp,P50-FP32-FT,float32,True,True,0,,0.9989536146407785,19925.0,0.02541,1186343.7549770407,3,
balanced,True,tinyml_mlp,DQ,dynamic_int8,False,False,0,,0.8405492966450112,14719.0,0.11377999999999999,184982.40524081374,1,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,tinyml_mlp,QAT,static_int8,True,True,0,,0.9982103802573974,18407.0,0.10343,171992.6788425923,1,
balanced,True,tinyml_mlp,P25-QAT,static_int8,True,True,0,,0.9980622942844194,15207.0,0.10096000000000001,169674.26636355594,1,
balanced,True,tinyml_mlp,P50-QAT,static_int8,True,True,0,,0.9978555453698199,12199.0,0.10766,168078.67334476035,1,
balanced,True,tinyml_mlp,PTQ,static_int8,False,False,0,,0.9938503114007465,18407.0,0.10937,167364.55012861296,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,compact_dnn,P25-noFT,float32,True,False,3,compact_dnn::P25-FP32-FT;tinyml_mlp::P25-FP32-FT;tinyml_mlp::P50-FP32-FT,0.9988139070020772,71501.0,0.04132,581034.4864529131,2,
balanced,True,compact_dnn,P25-FP32-FT,float32,True,False,1,tinyml_mlp::P25-FP32-FT,0.9991604849327598,71501.0,0.0407,588555.9458143262,2,
balanced,True,compact_dnn,P50-noFT,float32,False,False,0,,0.9182295452182796,43597.0,0.04007,656150.7296020035,2,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,compact_dnn,P50-FP32-FT,float32,True,False,2,tinyml_mlp::P25-FP32-FT;tinyml_mlp::P50-FP32-FT,0.998786993887449,43597.0,0.03866000000000001,680229.5377788424,3,
balanced,True,compact_dnn,DQ,dynamic_int8,False,False,0,,0.9054053054146456,32051.0,0.16024,129247.62388063656,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
balanced,True,compact_dnn,QAT,static_int8,True,False,3,tinyml_mlp::P25-FP32-FT;tinyml_mlp::P50-FP32-FT;tinyml_mlp::QAT,0.9980903197215032,38293.0,0.13618999999999998,124785.87654495964,1,
balanced,True,compact_dnn,P25-QAT,static_int8,True,False,1,tinyml_mlp::P50-FP32-FT,0.9982271247954844,29013.0,0.13628,131572.78763373004,1,
balanced,True,compact_dnn,P50-QAT,static_int8,True,False,4,tinyml_mlp::P25-QAT;tinyml_mlp::P50-FP32-FT;tinyml_mlp::P50-QAT;tinyml_mlp::QAT,0.9976074501406412,20949.0,0.14221,130032.86360280805,1,
balanced,True,compact_dnn,PTQ,static_int8,False,False,0,,0.9953797075666587,38293.0,0.13831000000000002,127916.53885021154,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,P25-noFT,float32,False,False,0,,0.9569461644366667,30101.0,0.02631,1087208.0098179034,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,P25-FP32-FT,float32,True,True,0,,0.9992690763931465,30101.0,0.02706,1017574.6801011197,3,
relaxed,False,tinyml_mlp,P50-noFT,float32,False,False,0,,0.7824954690714307,19925.0,0.02722,1193413.86087045,3,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss
relaxed,False,tinyml_mlp,P50-FP32-FT,float32,True,True,0,,0.9989536146407785,19925.0,0.02541,1186343.7549770407,3,
