component_number,scaled_hash_forward,scaled_hash_reverse,family,split_span,source_fingerprint_count,source_raw_row_count,train_fingerprint_count,validation_fingerprint_count,test_fingerprint_count,train_raw_row_count,validation_raw_row_count,test_raw_row_count,destination_split_code,destination_split,moved_fingerprint_count,moved_raw_row_count
1,-9205736708017799952,-7207452292555254093,0,2,2,2,1,1,0,1,1,0,0,train,1,1
2,-9165940565441057809,8913064274366670427,0,2,2,2,1,0,1,1,0,1,2,test,1,1
3,-9156926247941051163,4655504025213174771,0,2,6,6,3,0,3,3,0,3,0,train,3,3
4,-9112667945215056465,182588333233863222,0,2,3,3,2,0,1,2,0,1,0,train,1,1
5,-9041026678111196777,6049622086851646943,0,2,2,2,0,1,1,0,1,1,1,validation,1,1
6,-9032758301714112228,-5458540152472681306,0,2,6,6,4,2,0,4,2,0,0,train,2,2
7,-8947847266945784081,-3359262639589030652,0,2,3,3,2,0,1,2,0,1,0,train,1,1
8,-8936848053471752985,2185030035681457155,0,2,2,2,1,0,1,1,0,1,2,test,1,1
9,-8891921604166392589,7117328859310145283,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
10,-8812210585705309515,8972346221151060832,0,2,2,2,1,0,1,1,0,1,2,test,1,1
11,-8681257606008758499,-3214186614778712525,0,2,2,2,1,0,1,1,0,1,2,test,1,1
12,-8655972113046992744,117410068521519691,0,2,3,3,2,0,1,2,0,1,0,train,1,1
13,-8569696999966584434,-3563860987478796316,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
14,-8568377720988034091,-915323630599541947,0,2,3,3,2,1,0,2,1,0,0,train,1,1
15,-8544503020395736802,-6028835190826630323,0,2,2,2,1,0,1,1,0,1,2,test,1,1
16,-8483731611311530801,34502735737721495,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
17,-8429577588900208553,6213364109080164149,0,2,3,3,2,0,1,2,0,1,0,train,1,1
18,-8429456177907704875,-5449383854909282588,0,3,4,4,2,1,1,2,1,1,0,train,2,2
19,-8347621340636189803,126597695760156032,0,3,5,5,1,3,1,1,3,1,1,validation,2,2
20,-8225655780427937979,-3590368351404455847,0,2,4,4,2,0,2,2,0,2,2,test,2,2
21,-8185366072546570419,-505305722301306756,0,2,2,2,1,1,0,1,1,0,0,train,1,1
22,-8154530865470749832,4097847027592307829,0,2,3,3,1,0,2,1,0,2,2,test,1,1
23,-8017632825665335835,1492094606799093119,0,2,6,6,3,3,0,3,3,0,1,validation,3,3
24,-7980643115253944698,-8620807534781508244,0,2,3,3,0,2,1,0,2,1,1,validation,1,1
25,-7968042198723076691,2947059518281515779,0,2,2,2,1,1,0,1,1,0,0,train,1,1
26,-7907469582671389153,4014904089523595619,0,2,2,2,1,0,1,1,0,1,2,test,1,1
27,-7902342722163211613,-9179842042257834924,0,2,4,4,3,0,1,3,0,1,0,train,1,1
28,-7747099299766028001,-5490294633483420420,0,2,2,2,1,1,0,1,1,0,0,train,1,1
29,-7642417790022571621,7293684766502495846,0,2,2,2,1,1,0,1,1,0,0,train,1,1
30,-7640824825568338297,2383392067251301573,0,2,4,4,3,1,0,3,1,0,0,train,1,1
31,-7638296317071362295,-915310435682947763,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
32,-7563350837806663860,-3904052800756045641,0,2,4,4,3,0,1,3,0,1,0,train,1,1
33,-7398229164578370586,-607815597126555959,0,2,3,3,2,0,1,2,0,1,0,train,1,1
34,-7395952486660560910,-2072004043191126605,0,2,4,4,3,0,1,3,0,1,0,train,1,1
35,-7299697250546554932,2352163028062961116,0,2,2,2,1,1,0,1,1,0,0,train,1,1
36,-7297644868459541491,-8704892625938368513,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
37,-7277490929162970269,2280446497764434103,0,2,8,8,7,0,1,7,0,1,0,train,1,1
38,-7197572299762043196,-7431699207603749372,0,2,10,10,6,4,0,6,4,0,0,train,4,4
39,-7162739894669832434,-3637589366560255508,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
40,-6963415970116823058,-2671814158265115326,0,3,5,5,2,1,2,2,1,2,2,test,3,3
41,-6924717226711335827,6106596207967366280,0,2,3,3,0,1,2,0,1,2,2,test,1,1
42,-6854758687414449958,-3228913764102178769,0,2,4,4,2,0,2,2,0,2,2,test,2,2
43,-6658457938917634396,-729427600713187304,0,2,7,7,4,0,3,4,0,3,0,train,3,3
44,-6647405598331632120,-3964220279101376530,0,2,2,2,1,0,1,1,0,1,2,test,1,1
45,-6602032412564624065,5731643183509148247,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
46,-6354902709668188477,1671463572298595226,0,2,6,6,2,0,4,2,0,4,2,test,2,2
47,-6143372693028064753,3651903701905023695,0,2,2,2,0,1,1,0,1,1,1,validation,1,1
48,-6087841237275851502,-7276606942350001308,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
49,-6066716953852258545,-4246670133562647825,0,2,2,2,1,0,1,1,0,1,2,test,1,1
50,-5936258297305216703,3010743213977982898,0,2,2,2,1,0,1,1,0,1,2,test,1,1
51,-5916630001883998710,8846700036925804891,0,2,3,3,2,0,1,2,0,1,0,train,1,1
52,-5898629080251284166,1164937486824139006,0,2,4,4,3,0,1,3,0,1,0,train,1,1
53,-5873932041175321441,2624865170514292961,0,2,3,3,2,0,1,2,0,1,0,train,1,1
54,-5864086608784574484,9109956732341544622,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
