component_number,scaled_hash_forward,scaled_hash_reverse,family,source_split_code,source_split,destination_split_code,destination_split,source_row_index,raw_row_count,original_hash_forward,original_hash_reverse
1,-9205736708017799952,-7207452292555254093,0,1,validation,0,train,345092,1,-6764278487962225966,-4194719020996297722
2,-9165940565441057809,8913064274366670427,0,0,train,2,test,896070,1,-2709218663825485249,-8438969741507848704
3,-9156926247941051163,4655504025213174771,0,2,test,0,train,232882,1,2780980181193600078,-1406686666559334244
3,-9156926247941051163,4655504025213174771,0,2,test,0,train,235754,1,2649562529558547209,-1563071830017261615
3,-9156926247941051163,4655504025213174771,0,2,test,0,train,343002,1,8307575286284021649,2654933014432648274
4,-9112667945215056465,182588333233863222,0,2,test,0,train,234667,1,612764545894175263,-3768310047405579497
5,-9041026678111196777,6049622086851646943,0,2,test,1,validation,152443,1,-2369149750369636522,2824395943916656063
6,-9032758301714112228,-5458540152472681306,0,1,validation,0,train,231958,1,3841935672649839966,3403028819587652432
6,-9032758301714112228,-5458540152472681306,0,1,validation,0,train,348451,1,3459706096128227926,-7567670057262171727
7,-8947847266945784081,-3359262639589030652,0,2,test,0,train,345564,1,-287174862104167662,-5196471975782214289
8,-8936848053471752985,2185030035681457155,0,0,train,2,test,1456559,1,-2095682807163511149,8132890269989102516
9,-8891921604166392589,7117328859310145283,0,0,train,1,validation,1402370,1,-1781895547845384515,-8870775571828810720
10,-8812210585705309515,8972346221151060832,0,0,train,2,test,1439628,1,8971360482567436946,-1251676211510644103
11,-8681257606008758499,-3214186614778712525,0,0,train,2,test,1393605,1,3494096435708319651,6620993972019235610
12,-8655972113046992744,117410068521519691,0,2,test,0,train,341731,1,-3408139538883062779,7340221094738442849
13,-8569696999966584434,-3563860987478796316,0,0,train,1,validation,1394564,1,-154238391640737629,1335581246374637006
14,-8568377720988034091,-915323630599541947,0,1,validation,0,train,235877,1,4056071611277183197,-4904021903728335613
15,-8544503020395736802,-6028835190826630323,0,0,train,2,test,1440019,1,7795396711864408744,-3813007252597386136
16,-8483731611311530801,34502735737721495,0,0,train,1,validation,878577,1,2962325969228858009,607244875720401700
17,-8429577588900208553,6213364109080164149,0,2,test,0,train,233466,1,-9006286511199678031,8317913990311849568
18,-8429456177907704875,-5449383854909282588,0,1,validation,0,train,344962,1,3290686820230742198,8718623555272138736
18,-8429456177907704875,-5449383854909282588,0,2,test,0,train,235456,1,-3671539918294805376,3119400251602289088
19,-8347621340636189803,126597695760156032,0,0,train,1,validation,895407,1,-407089975724061782,2049498282819600753
19,-8347621340636189803,126597695760156032,0,2,test,1,validation,234327,1,436617632035226235,-2460498190054619612
