relative_path,size_bytes,sha256
results\v2\audit\task_aware_device_audit_summary_v2.json,1870,b55bcf6139504da91c83bc9f05ed8692060638fd14e897754778c3055fc48e01
results\v2\audit\task_aware_conflict_summary_v2.csv,285,f048cdce054dafc4ec2746ce11a6a02df55dfcfbf8c96917ec786b746b2dfbe7
results\v2\audit\task_aware_conflict_details_v2.csv,135,8f54428a95109d1b111cff6ff38d11192a1848c604dbb688ddcceddebc4bd768
results\v2\audit\device_fingerprint_lodo_feasibility_v2.csv,1642,992d325ae037ed3f6107d41e76bd9a62e6bbe4c56d35759f54451500fea57162
results\v2\audit\device_class_support_v2.csv,4846,e1095ecb2605a6461d1a95974eeecc1b3ed510e72b22c2b36363e41f4c11345a
results\v2\audit\device_pair_fingerprint_overlap_v2.csv,2933,28a958cffa8d84dd015c2c2dc4f2f6ceec7cb7ac4089ff7b5e73cf4e9a8a6c5a
results\v2\audit\device_count_distribution_v2.csv,198,af8eb3cea64ecc1ac3877dd6d5926423128e568389feef56c8e486e4a5ad27c1
results\v2\audit\device_lodo_compact_summary_v2.csv,1288,ed0b0dcda3625426de25ea8a5f912be8dd1b323f37e4bf58fa6f28923a138f04
results\v2\audit\device_family_support_v2.csv,1168,577d75850c1c362da636f393704cc1048f9d8bf4f49dfd201a6854687a5b0c7c
results\v2\audit\top_device_pair_overlap_v2.csv,1934,a43b8168d68106d9b53457c4ef75c1353afebecd6ffa7be29be223365edb8f52
docs\v2\PHASE_1C_TASK_DEVICE_AUDIT_COMPLETE.md,2575,98b31ec7ff096b9b4b89ec30ac2f022511c53396cbcaeb59038ec901f3eca003
results\v2\audit\task_aware_device_audit_run_v2.log,4436,4044fc75cf08a4ab72fe7cfb868abb14fde4a005d4c63ca7f6a87ca6714e5b3a
