rank,device_a_id,device_a,device_b_id,device_b,shared_fingerprint_count,device_a_occurrences_on_shared,device_b_occurrences_on_shared
1,D01,Danmini_Doorbell,D04,Philips_B120N10_Baby_Monitor,902163,914509,914509
2,D02,Ecobee_Thermostat,D08,SimpleHome_XCS7_1002_WHT_Security_Camera,785272,797475,797475
3,D08,SimpleHome_XCS7_1002_WHT_Security_Camera,D09,SimpleHome_XCS7_1003_WHT_Security_Camera,775717,787534,787534
4,D02,Ecobee_Thermostat,D09,SimpleHome_XCS7_1003_WHT_Security_Camera,771512,783682,783682
5,D05,Provision_PT_737E_Security_Camera,D06,Provision_PT_838_Security_Camera,718026,730307,730306
6,D05,Provision_PT_737E_Security_Camera,D07,Samsung_SNH_1011_N_Webcam,303406,316322,316322
7,D03,Ennio_Doorbell,D05,Provision_PT_737E_Security_Camera,302120,315317,315317
8,D01,Danmini_Doorbell,D05,Provision_PT_737E_Security_Camera,299372,311794,311794
9,D05,Provision_PT_737E_Security_Camera,D09,SimpleHome_XCS7_1003_WHT_Security_Camera,298571,311287,311287
10,D04,Philips_B120N10_Baby_Monitor,D05,Provision_PT_737E_Security_Camera,298095,310618,310619
11,D03,Ennio_Doorbell,D07,Samsung_SNH_1011_N_Webcam,297723,310630,310630
12,D01,Danmini_Doorbell,D07,Samsung_SNH_1011_N_Webcam,295491,307933,307933
13,D01,Danmini_Doorbell,D09,SimpleHome_XCS7_1003_WHT_Security_Camera,294735,307176,307176
14,D06,Provision_PT_838_Security_Camera,D07,Samsung_SNH_1011_N_Webcam,294065,306365,306366
15,D04,Philips_B120N10_Baby_Monitor,D06,Provision_PT_838_Security_Camera,293987,306281,306282
16,D01,Danmini_Doorbell,D06,Provision_PT_838_Security_Camera,293578,305837,305836
17,D04,Philips_B120N10_Baby_Monitor,D09,SimpleHome_XCS7_1003_WHT_Security_Camera,293571,306007,306007
18,D02,Ecobee_Thermostat,D07,Samsung_SNH_1011_N_Webcam,293543,306171,306171
19,D02,Ecobee_Thermostat,D05,Provision_PT_737E_Security_Camera,293467,305977,305977
20,D04,Philips_B120N10_Baby_Monitor,D07,Samsung_SNH_1011_N_Webcam,292529,304854,304855
