scaled_hash_forward,scaled_hash_reverse,original_hash_forward,original_hash_reverse,family_label,class_name,raw_row_count,old_grouped_split_code,old_grouped_split,new_grouped_split_code,new_grouped_split,rows_moved,file_ids
2056722487165413581,5504730397978389955,-2003079307561740695,-7088075442340766739,0,benign,1,1,validation,0,train,1,62
2056722487165413581,5504730397978389955,359227997053242077,-5395365170188730650,0,benign,1,0,train,0,train,0,62
2056722487165413581,5504730397978389955,2207261875384244580,1908711776525288321,0,benign,1,0,train,0,train,0,62
2056722487165413581,5504730397978389955,7131520230801522943,-9005754758500924528,0,benign,1,0,train,0,train,0,62
3523364117743781204,-6422469987024111597,-8543179102630577725,-3241175470186803238,0,benign,1,2,test,0,train,1,51
3523364117743781204,-6422469987024111597,-3015239694040264810,4055438246330898503,0,benign,1,0,train,0,train,0,23
3523364117743781204,-6422469987024111597,22937123318056680,2186047396573342890,0,benign,1,0,train,0,train,0,23
3523364117743781204,-6422469987024111597,952966617657157235,1002907687349598500,0,benign,1,0,train,0,train,0,23
5730499262892691218,-8694618433497398637,-4555569231941122922,3992151903913132565,0,benign,1,2,test,2,test,0,51
5730499262892691218,-8694618433497398637,1643798329412584464,-4118475608408856155,0,benign,1,0,train,2,test,1,51
8628560122242969651,-6039271514244150800,-5806155193413129448,8014636862949045483,0,benign,1,1,validation,1,validation,0,23
8628560122242969651,-6039271514244150800,-1960491411039911532,5321120157243440278,0,benign,1,0,train,1,validation,1,51
