hash_forward,hash_reverse,exact_scaled_row_sha256,split_signature,total_raw_rows,train_rows,validation_rows,test_rows,benign_rows,gafgyt_rows,mirai_rows,class_names,label_conflict
-9213394505299837696,-6834264097907828785,34d4daaf77ea9f91ad74c6c3c83479f57f4a19115513545d4346231a93d5a85b,train|test,3,2,0,1,3,0,0,benign,False
-9160395400199057388,-7005972129515166415,270b503f9ba5715020b371b17132ff895673baf198b82bfdfcc3d1bab5c655ef,validation|test,3,0,2,1,3,0,0,benign,False
-9147699221050008870,3289709754299046669,46d44652295eb63d5fe0f6afac5a6184e65fcbf1ce51e31f126b868aa022ed9a,train|test,2,1,0,1,2,0,0,benign,False
-9063529385135273490,1871290549217406990,8916f30617548f84adfbfdd419d7c1bf84ea21764df870ce794a24ea7327b244,train|validation,2,1,1,0,2,0,0,benign,False
-9052982912672357182,-8130952027132417218,01f7f460adac007e16a6b312f269092c1a51a42876c489b972c242e3a411a212,train|validation|test,4,2,1,1,4,0,0,benign,False
-9047558144946802343,3124668456651035519,739427a1386055e1e78cdf85c6061c0f37b39785567f620e9bb234fc44543593,train|validation,2,1,1,0,2,0,0,benign,False
-8983165119275289323,8244531709658105962,12fd780d36e510b452e2fc0f03252632ab08a1988803bee334ab604a4c74b7bf,train|validation,5,4,1,0,5,0,0,benign,False
-8948315669206181992,4929789829473540651,0b2b76d185fb5e0e02a119159ef28a7f3ef827b8aa9847fd12f9ead06f2f7575,train|validation|test,3,1,1,1,3,0,0,benign,False
-8793867354144076653,-4399420362419626503,75b348fb2b7858fc0bdc8c7c59a27d3e4a9045d6e20d0af26b378b7781f8a79e,train|test,3,2,0,1,3,0,0,benign,False
-8774712778846215240,2665111418892016611,87061d6e2a46ceaa36bc97a666eb35ef95ef142b6b01b47aca992064a314234c,train|validation,4,2,2,0,4,0,0,benign,False
-8706433487903546899,-690266077489828114,f80ac9e8db5674e266736264b09a9bc5c801dade625f64a674c58ca833282a43,train|validation,3,2,1,0,3,0,0,benign,False
-8678958261824238239,-7376887643808633808,73959d6daa7625d4ad0082ca6d9a85c40fe13f0c1f459dcd9f0a09185158d189,train|validation|test,3,1,1,1,3,0,0,benign,False
-8612204577689947007,-96679432190468693,868c4cfeaaadd42475cfccd00def02c8aef25cad18adec27c4de5686e196a4d4,train|test,4,3,0,1,4,0,0,benign,False
-8585666679295132102,-4298090227751724197,ed56e746a7ff36c6d4b610a93879e21bc40d08360ab1ff3d04c8fd21d1e314a1,train|test,2,1,0,1,2,0,0,benign,False
-8583453634083370586,-1875699319078042255,3593a7dc8ff9f2459870aca4522856d3695b1fc70d7f22d6a24bbb76ac43fe30,train|validation,2,1,1,0,2,0,0,benign,False
-8515737040399017988,2735898507879412481,7c7c1513c0f5acae153a30f16ee116ca3b557af6209f3b831161cab720be6e69,train|validation,2,1,1,0,2,0,0,benign,False
-8511243486617344871,-887193326145992492,bd4afc30d23ad7d62933d0aa2a81a31bd8f5e97b1141a9fa826dd73d1ec0df67,train|test,4,3,0,1,4,0,0,benign,False
-8501412961558604825,5686038445410455063,d7e4463094581aecf0db0ea0f0ac7ee702702ffcbcf755500769a778d11d182a,train|validation,2,1,1,0,2,0,0,benign,False
