scaled_hash_forward,scaled_hash_reverse,original_group_count,raw_row_count,old_train_rows,old_validation_rows,old_test_rows,new_grouped_split_code,new_grouped_split
-9213394505299837696,-6834264097907828785,3,3,2,0,1,0,train
-9160395400199057388,-7005972129515166415,3,3,0,2,1,1,validation
-9147699221050008870,3289709754299046669,2,2,1,0,1,2,test
-9063529385135273490,1871290549217406990,2,2,1,1,0,1,validation
-9052982912672357182,-8130952027132417218,4,4,2,1,1,0,train
-9047558144946802343,3124668456651035519,2,2,1,1,0,1,validation
-8983165119275289323,8244531709658105962,5,5,4,1,0,0,train
-8948315669206181992,4929789829473540651,3,3,1,1,1,2,test
-8793867354144076653,-4399420362419626503,3,3,2,0,1,0,train
-8774712778846215240,2665111418892016611,4,4,2,2,0,1,validation
-8706433487903546899,-690266077489828114,3,3,2,1,0,0,train
-8678958261824238239,-7376887643808633808,3,3,1,1,1,2,test
-8612204577689947007,-96679432190468693,4,4,3,0,1,0,train
-8585666679295132102,-4298090227751724197,2,2,1,0,1,2,test
-8583453634083370586,-1875699319078042255,2,2,1,1,0,1,validation
-8515737040399017988,2735898507879412481,2,2,1,1,0,1,validation
-8511243486617344871,-887193326145992492,4,4,3,0,1,0,train
-8501412961558604825,5686038445410455063,2,2,1,1,0,1,validation
-8376408047792081421,-4947615222909233620,2,2,0,1,1,2,test
-8370844627202464888,-7332250528181823941,2,2,1,1,0,1,validation
-8303524020028425571,-5720348129199287568,2,2,1,0,1,2,test
-8245914633302933703,-1723144718182820717,2,2,1,0,1,2,test
-8159370588301640025,5124743804223581594,4,4,2,0,2,2,test
-8106390282313255820,-3825455049553781994,2,2,1,0,1,2,test
-8098418706741059578,8909954725936220899,2,2,1,0,1,2,test
-8088760479071342733,2842777015338142648,2,2,1,0,1,2,test
-8074425081181623041,8442308762932329033,2,2,1,0,1,2,test
-7965223503763456434,-1376326222911159960,3,3,2,0,1,0,train
-7932418801189549252,-973492051468658887,5,5,4,0,1,0,train
-7764388072391430861,-3863795483543789187,4,4,3,1,0,0,train
-7738491500005211810,-157229704906999818,3,3,2,0,1,0,train
-7613170883450305267,4921598615668790924,2,2,0,1,1,2,test
-7610781991741689231,-7494963045847593653,3,3,2,0,1,0,train
-7502919579736792063,1512260460603743888,4,4,3,1,0,0,train
-7465903924219014437,2199343521317320369,2,2,1,0,1,2,test
-7329611788730853132,8054129771927191490,7,7,5,0,2,0,train
-7243291098986038968,3657807225094051859,2,2,1,0,1,2,test
-7203622482145243152,-8869755785102301297,2,2,1,0,1,2,test
-7196651940912920038,7550019780706364860,3,3,2,0,1,0,train
-7170126393729603389,2546940023737452434,5,5,3,1,1,0,train
-7127356947780670221,6192766684985077998,2,2,1,0,1,2,test
-7115303315281717288,2225875870612568346,7,7,6,1,0,0,train
-7075024236021052038,2274869037123449408,3,3,2,0,1,0,train
-6985442337293940009,751083020769153689,2,2,1,0,1,2,test
-6983698819320495641,7625325797777460887,2,2,1,0,1,2,test
-6791894536423469779,7050304083328906884,2,2,1,1,0,1,validation
-6682314822028905336,-6673592153648030592,6,6,3,1,2,0,train
