scaled_hash_forward,scaled_hash_reverse,original_hash_forward,original_hash_reverse,family_label,class_name,raw_row_count,old_grouped_split_code,old_grouped_split,new_grouped_split_code,new_grouped_split,rows_moved,file_ids
-9213394505299837696,-6834264097907828785,-5741751476285114201,-331635361357168030,0,benign,1,2,test,0,train,1,51
-9213394505299837696,-6834264097907828785,3420297492825406436,2405493446584234285,0,benign,1,0,train,0,train,0,23
-9213394505299837696,-6834264097907828785,3661831331817264115,-7104228671391032084,0,benign,1,0,train,0,train,0,23
-9160395400199057388,-7005972129515166415,-6930340750596604321,7726351781138580599,0,benign,1,2,test,1,validation,1,51
-9160395400199057388,-7005972129515166415,-6924794340533282560,-3529739334886429034,0,benign,1,1,validation,1,validation,0,51
-9160395400199057388,-7005972129515166415,4725827037489739141,-8583639962672418845,0,benign,1,1,validation,1,validation,0,23
-9147699221050008870,3289709754299046669,4266236303940692229,2119497438147217536,0,benign,1,0,train,2,test,1,62
-9147699221050008870,3289709754299046669,6084035581364304943,-2700812737549184154,0,benign,1,2,test,2,test,0,62
-9063529385135273490,1871290549217406990,-6099734215133995754,2367846053171198758,0,benign,1,0,train,1,validation,1,23
-9063529385135273490,1871290549217406990,-3929059453376077268,1201012714015681426,0,benign,1,1,validation,1,validation,0,23
-9052982912672357182,-8130952027132417218,-6638084237336518098,927438647205627052,0,benign,1,0,train,0,train,0,23
-9052982912672357182,-8130952027132417218,-5152934188076456658,4870739452205680071,0,benign,1,2,test,0,train,1,51
-9052982912672357182,-8130952027132417218,-3587285546699617238,-7230486946846704398,0,benign,1,0,train,0,train,0,51
-9052982912672357182,-8130952027132417218,-3323536168596097809,7713648660172584492,0,benign,1,1,validation,0,train,1,23
-9047558144946802343,3124668456651035519,-8856584338606493993,5560239887903434559,0,benign,1,1,validation,1,validation,0,23
-9047558144946802343,3124668456651035519,-7644269343886360045,1151653669289847123,0,benign,1,0,train,1,validation,1,23
-8983165119275289323,8244531709658105962,-8088219894102646646,-6073066424512717545,0,benign,1,1,validation,0,train,1,23
-8983165119275289323,8244531709658105962,-7921675277276473943,-5309982110375376211,0,benign,1,0,train,0,train,0,51
-8983165119275289323,8244531709658105962,2043977545226855974,7145082360347550150,0,benign,1,0,train,0,train,0,23
-8983165119275289323,8244531709658105962,3309428057053654542,7099694348990862176,0,benign,1,0,train,0,train,0,23
-8983165119275289323,8244531709658105962,4611979308658683918,761717772602360917,0,benign,1,0,train,0,train,0,23
-8948315669206181992,4929789829473540651,-7396294738008976861,6524922006050809815,0,benign,1,1,validation,2,test,1,23
-8948315669206181992,4929789829473540651,7033616437486774092,6118853698992289973,0,benign,1,2,test,2,test,0,23
-8948315669206181992,4929789829473540651,7585242853174147512,2163945794873070499,0,benign,1,0,train,2,test,1,23
-8793867354144076653,-4399420362419626503,3048741713146929819,6867555467841441285,0,benign,1,0,train,0,train,0,23
-8793867354144076653,-4399420362419626503,5366773824374585473,7845778689082532925,0,benign,1,2,test,0,train,1,23
-8793867354144076653,-4399420362419626503,6446370524471386692,210427122253839842,0,benign,1,0,train,0,train,0,23
-8774712778846215240,2665111418892016611,-7043105445453065622,-3005687521040015764,0,benign,1,1,validation,1,validation,0,51
-8774712778846215240,2665111418892016611,-4619785309317434484,7127510474749354030,0,benign,1,1,validation,1,validation,0,23
-8774712778846215240,2665111418892016611,-4250703997476471769,116478882581010716,0,benign,1,0,train,1,validation,1,51
-8774712778846215240,2665111418892016611,8247034021972711690,-601191339460613434,0,benign,1,0,train,1,validation,1,23
-8706433487903546899,-690266077489828114,8226658391387329717,985126164211140228,0,benign,1,1,validation,0,train,1,51
-8706433487903546899,-690266077489828114,8329041866433058383,2282380198259187403,0,benign,1,0,train,0,train,0,51
-8706433487903546899,-690266077489828114,8431454578916396019,-5665009237874460407,0,benign,1,0,train,0,train,0,23
-8678958261824238239,-7376887643808633808,-598858928662433214,-6775510253579065034,0,benign,1,0,train,2,test,1,23
-8678958261824238239,-7376887643808633808,2037006889949867545,-1222339652031282668,0,benign,1,2,test,2,test,0,51
-8678958261824238239,-7376887643808633808,8523762176813234171,-5408527448122949949,0,benign,1,1,validation,2,test,1,23
-8612204577689947007,-96679432190468693,-6823569079928674059,-2265681464654713443,0,benign,1,0,train,0,train,0,23
-8612204577689947007,-96679432190468693,-3276396568190713931,5129806456760290257,0,benign,1,2,test,0,train,1,51
-8612204577689947007,-96679432190468693,4339980090266662596,3443025834180756321,0,benign,1,0,train,0,train,0,23
-8612204577689947007,-96679432190468693,6077789666135770239,5355682089085337621,0,benign,1,0,train,0,train,0,23
-8585666679295132102,-4298090227751724197,285532518212811044,1404882176834463565,0,benign,1,0,train,2,test,1,23
-8585666679295132102,-4298090227751724197,6508886830255707471,3258610962654226855,0,benign,1,2,test,2,test,0,23
-8583453634083370586,-1875699319078042255,-477501398525163199,784146006002317206,0,benign,1,1,validation,1,validation,0,51
-8583453634083370586,-1875699319078042255,2060713942798149221,7313574612822644942,0,benign,1,0,train,1,validation,1,23
-8515737040399017988,2735898507879412481,1543933715576888221,-6182995083593434925,0,benign,1,0,train,1,validation,1,23
-8515737040399017988,2735898507879412481,1815148355586477549,4132275698551903352,0,benign,1,1,validation,1,validation,0,23
-8511243486617344871,-887193326145992492,-4617902167275318986,5720328768193517591,0,benign,1,0,train,0,train,0,23
-8511243486617344871,-887193326145992492,-3332602103685042849,-1268411172144724117,0,benign,1,2,test,0,train,1,23
-8511243486617344871,-887193326145992492,4608813538890689598,3134711664429951613,0,benign,1,0,train,0,train,0,23
-8511243486617344871,-887193326145992492,9062569061837063916,8095807814464500493,0,benign,1,0,train,0,train,0,23
-8501412961558604825,5686038445410455063,1962440435083979011,2830341992930421290,0,benign,1,1,validation,1,validation,0,23
-8501412961558604825,5686038445410455063,8371021262331675348,-4515270727069535026,0,benign,1,0,train,1,validation,1,23
-8376408047792081421,-4947615222909233620,-9049092539847006297,3298254152873389580,0,benign,1,2,test,2,test,0,23
-8376408047792081421,-4947615222909233620,5927930994923111258,-6695993690918802176,0,benign,1,1,validation,2,test,1,51
-8370844627202464888,-7332250528181823941,-1122089180452859386,-2772963550219251702,0,benign,1,1,validation,1,validation,0,23
-8370844627202464888,-7332250528181823941,-568423224384457930,-43727458432439489,0,benign,1,0,train,1,validation,1,23
-8303524020028425571,-5720348129199287568,-3789399350143504626,6657817339516860817,0,benign,1,0,train,2,test,1,62
-8303524020028425571,-5720348129199287568,7341941972769015308,3702177269303446218,0,benign,1,2,test,2,test,0,62
-8245914633302933703,-1723144718182820717,-7733833625587372679,5173095715251296896,0,benign,1,0,train,2,test,1,23
-8245914633302933703,-1723144718182820717,990980716650601561,6204112111538122984,0,benign,1,2,test,2,test,0,23
-8159370588301640025,5124743804223581594,-8087179920691252674,-8626773890533545414,0,benign,1,2,test,2,test,0,23
-8159370588301640025,5124743804223581594,-5338799404467782869,3196506109431775802,0,benign,1,0,train,2,test,1,51
-8159370588301640025,5124743804223581594,-3666365866448383090,7207479089881324109,0,benign,1,2,test,2,test,0,51
-8159370588301640025,5124743804223581594,6330199010397717549,-3338115412502364342,0,benign,1,0,train,2,test,1,51
-8106390282313255820,-3825455049553781994,-295493278052331112,8144585901695407497,0,benign,1,0,train,2,test,1,23
-8106390282313255820,-3825455049553781994,6609565649374695287,-5800344681479995190,0,benign,1,2,test,2,test,0,23
-8098418706741059578,8909954725936220899,-1173346801970830827,-1507775118716197474,0,benign,1,0,train,2,test,1,23
-8098418706741059578,8909954725936220899,5101508978247881255,-8601901801279062675,0,benign,1,2,test,2,test,0,51
-8088760479071342733,2842777015338142648,-5222600118024814774,-443410918704567107,0,benign,1,2,test,2,test,0,51
-8088760479071342733,2842777015338142648,2980363268583409519,5167818704180154554,0,benign,1,0,train,2,test,1,51
-8074425081181623041,8442308762932329033,1870501917162929030,1148752348702054991,0,benign,1,0,train,2,test,1,51
-8074425081181623041,8442308762932329033,3726088346699239635,-5744213039946217502,0,benign,1,2,test,2,test,0,51
-7965223503763456434,-1376326222911159960,-6464050522675022863,1116141624130699444,0,benign,1,0,train,0,train,0,51
-7965223503763456434,-1376326222911159960,5993882399362270892,-6550991443806446510,0,benign,1,0,train,0,train,0,51
-7965223503763456434,-1376326222911159960,8355184873266680325,7459069548863881903,0,benign,1,2,test,0,train,1,51
-7932418801189549252,-973492051468658887,-8272464237808244354,591114690002203008,0,benign,1,0,train,0,train,0,23
-7932418801189549252,-973492051468658887,2402787116776286026,-7663574045480640416,0,benign,1,0,train,0,train,0,51
-7932418801189549252,-973492051468658887,3174024158782396854,-9214922127653806428,0,benign,1,0,train,0,train,0,23
-7932418801189549252,-973492051468658887,6960295947898217109,-3190124671316707395,0,benign,1,0,train,0,train,0,23
-7932418801189549252,-973492051468658887,8580656058021201860,335636801518962254,0,benign,1,2,test,0,train,1,51
-7764388072391430861,-3863795483543789187,-4964626087632921551,-1114742334460588275,0,benign,1,1,validation,0,train,1,23
-7764388072391430861,-3863795483543789187,-166647862438172342,4703681446134283850,0,benign,1,0,train,0,train,0,23
-7764388072391430861,-3863795483543789187,3239505321530789983,-33302390505537825,0,benign,1,0,train,0,train,0,23
-7764388072391430861,-3863795483543789187,7982853459891995931,-418028885064467542,0,benign,1,0,train,0,train,0,23
-7738491500005211810,-157229704906999818,-7939199950506391759,2848925518753271417,0,benign,1,2,test,0,train,1,51
-7738491500005211810,-157229704906999818,-4619994182230876108,-6724286366748900429,0,benign,1,0,train,0,train,0,51
-7738491500005211810,-157229704906999818,7302836033555655967,-9060580148255797427,0,benign,1,0,train,0,train,0,51
-7613170883450305267,4921598615668790924,-8127352992845550031,1857516689315895700,0,benign,1,1,validation,2,test,1,62
-7613170883450305267,4921598615668790924,1343214617928407785,763146132358595851,0,benign,1,2,test,2,test,0,62
-7610781991741689231,-7494963045847593653,-6449040119285502343,-2052014522495248241,0,benign,1,0,train,0,train,0,51
-7610781991741689231,-7494963045847593653,-3368078820022052102,-4899592281518878883,0,benign,1,0,train,0,train,0,23
-7610781991741689231,-7494963045847593653,8095162294089954977,-2751402535820443709,0,benign,1,2,test,0,train,1,51
-7502919579736792063,1512260460603743888,-3424802479119162436,-3081735735928445766,0,benign,1,1,validation,0,train,1,23
-7502919579736792063,1512260460603743888,-1329839229189540633,2393237642111276163,0,benign,1,0,train,0,train,0,23
-7502919579736792063,1512260460603743888,6854534821337850401,7576268098194415809,0,benign,1,0,train,0,train,0,23
-7502919579736792063,1512260460603743888,7111678436227919307,-6236568211228404404,0,benign,1,0,train,0,train,0,51
-7465903924219014437,2199343521317320369,-6102989633812336695,8277612710687569290,0,benign,1,2,test,2,test,0,51
-7465903924219014437,2199343521317320369,-3638030544814726483,8245153409994841095,0,benign,1,0,train,2,test,1,23
-7329611788730853132,8054129771927191490,-5367966622233578299,6607305063659706676,0,benign,1,0,train,0,train,0,51
-7329611788730853132,8054129771927191490,-2394322646387914655,-4636707489958890860,0,benign,1,0,train,0,train,0,23
-7329611788730853132,8054129771927191490,1132703082892884816,4420642588245239864,0,benign,1,2,test,0,train,1,51
-7329611788730853132,8054129771927191490,3027841114587493841,-3502313493265884435,0,benign,1,2,test,0,train,1,23
-7329611788730853132,8054129771927191490,3543855403628204193,474169872342271512,0,benign,1,0,train,0,train,0,51
-7329611788730853132,8054129771927191490,4404432351075720025,-1949426355371791294,0,benign,1,0,train,0,train,0,23
-7329611788730853132,8054129771927191490,6395165514362544423,-5792181015645027594,0,benign,1,0,train,0,train,0,51
-7243291098986038968,3657807225094051859,-4326298972156739721,6627538658072045308,0,benign,1,2,test,2,test,0,51
-7243291098986038968,3657807225094051859,4135603921793755104,3811483525737789661,0,benign,1,0,train,2,test,1,51
-7203622482145243152,-8869755785102301297,6255486299034007401,8856550424374968849,0,benign,1,0,train,2,test,1,23
-7203622482145243152,-8869755785102301297,9154627655729881755,7798363859026780388,0,benign,1,2,test,2,test,0,23
-7196651940912920038,7550019780706364860,3828631327674904829,-221172887588821999,0,benign,1,0,train,0,train,0,23
-7196651940912920038,7550019780706364860,8394036643825915287,7141881423969457329,0,benign,1,0,train,0,train,0,51
-7196651940912920038,7550019780706364860,8657463027120844939,-3236626698156540931,0,benign,1,2,test,0,train,1,23
-7170126393729603389,2546940023737452434,-2105450191220632618,-7238704184165629442,0,benign,1,1,validation,0,train,1,23
-7170126393729603389,2546940023737452434,-1466561996584559096,-168844920271774103,0,benign,1,2,test,0,train,1,51
-7170126393729603389,2546940023737452434,1749238628323024833,3156204966935309990,0,benign,1,0,train,0,train,0,23
-7170126393729603389,2546940023737452434,5718419646964621925,6615890252859786832,0,benign,1,0,train,0,train,0,51
-7170126393729603389,2546940023737452434,9020778438482892075,-22908112917604979,0,benign,1,0,train,0,train,0,23
-7127356947780670221,6192766684985077998,-9053043210865088387,8339881838906082576,0,benign,1,0,train,2,test,1,23
-7127356947780670221,6192766684985077998,9066887558675605981,-6281537860769262746,0,benign,1,2,test,2,test,0,23
-7115303315281717288,2225875870612568346,-3829236185763454955,4623613944200731901,0,benign,1,0,train,0,train,0,23
-7115303315281717288,2225875870612568346,-2438187862177990783,-3667369217347853206,0,benign,1,0,train,0,train,0,51
-7115303315281717288,2225875870612568346,-2036735247239871545,-7471203247927005788,0,benign,1,0,train,0,train,0,51
-7115303315281717288,2225875870612568346,1058115790858126433,-121696924074546748,0,benign,1,0,train,0,train,0,23
-7115303315281717288,2225875870612568346,1058449659485434812,-1680317518554535554,0,benign,1,0,train,0,train,0,23
-7115303315281717288,2225875870612568346,5350203235835107153,7203705110190831497,0,benign,1,1,validation,0,train,1,51
-7115303315281717288,2225875870612568346,6204385912602925845,-8426847172155611267,0,benign,1,0,train,0,train,0,51
-7075024236021052038,2274869037123449408,-7390848033768451854,5146547705919886381,0,benign,1,0,train,0,train,0,23
-7075024236021052038,2274869037123449408,-1329718715252358586,-2865829245178563801,0,benign,1,0,train,0,train,0,23
-7075024236021052038,2274869037123449408,7667901079734737903,-6156281809041267891,0,benign,1,2,test,0,train,1,23
-6985442337293940009,751083020769153689,-3649255039696676555,8809199603155198606,0,benign,1,0,train,2,test,1,23
-6985442337293940009,751083020769153689,8235964024902112641,7613374669538346590,0,benign,1,2,test,2,test,0,23
-6983698819320495641,7625325797777460887,728532511404001430,1032852511835358917,0,benign,1,0,train,2,test,1,23
-6983698819320495641,7625325797777460887,923937073049695237,1005790647066150745,0,benign,1,2,test,2,test,0,51
-6791894536423469779,7050304083328906884,-7107144787045393611,2635959412761202688,0,benign,1,0,train,1,validation,1,23
-6791894536423469779,7050304083328906884,-2631369072978961592,3704734013370884125,0,benign,1,1,validation,1,validation,0,23
-6682314822028905336,-6673592153648030592,-5582500338727715320,-8354815517579235628,0,benign,1,2,test,0,train,1,51
-6682314822028905336,-6673592153648030592,-5009409183938493137,1156600215668067619,0,benign,1,0,train,0,train,0,23
-6682314822028905336,-6673592153648030592,-4680057133453333508,797962657644457106,0,benign,1,1,validation,0,train,1,23
-6682314822028905336,-6673592153648030592,6163633213606121360,-8421166875098100896,0,benign,1,2,test,0,train,1,23
-6682314822028905336,-6673592153648030592,8109285141741428879,-4894676819638504236,0,benign,1,0,train,0,train,0,23
-6682314822028905336,-6673592153648030592,9157482237624150575,-1981515249530416035,0,benign,1,0,train,0,train,0,51
-6635622275446217611,294852485714087901,-6025389209741477242,-7928567509109974295,0,benign,1,1,validation,0,train,1,62
-6635622275446217611,294852485714087901,-4226235048622428043,-1626674087667548033,0,benign,1,0,train,0,train,0,62
-6635622275446217611,294852485714087901,5287346070113669931,-6438927302485248770,0,benign,1,0,train,0,train,0,62
-6631534881733298883,1294100716991375129,6235928157681631420,483316702197396914,0,benign,1,2,test,2,test,0,51
-6631534881733298883,1294100716991375129,8378320510678064230,6690549864143418982,0,benign,1,0,train,2,test,1,23
-6592347287506831344,222089808003253951,-6691442948704407015,719250305481504211,0,benign,1,0,train,2,test,1,23
-6592347287506831344,222089808003253951,-5670706537242760809,3902394770213222354,0,benign,1,2,test,2,test,0,23
-6592347287506831344,222089808003253951,1191240045959404980,1626155166329104037,0,benign,1,2,test,2,test,0,23
-6592347287506831344,222089808003253951,5648749882890986516,-7045999028531977032,0,benign,1,0,train,2,test,1,23
-6470756520861052393,-3855318261998124849,-1502905080618638029,-5320701766252024504,0,benign,1,2,test,2,test,0,23
-6470756520861052393,-3855318261998124849,9077048381382111372,3556635322599481285,0,benign,1,1,validation,2,test,1,51
-6453389729706512767,-8316645819162307475,-5774649136529184170,3580064341294471145,0,benign,1,0,train,0,train,0,23
-6453389729706512767,-8316645819162307475,939738220308062054,5507535643400595430,0,benign,1,0,train,0,train,0,51
-6453389729706512767,-8316645819162307475,8313438063947613292,-4188934308234820149,0,benign,1,1,validation,0,train,1,51
-6426681728151063229,7029553947285930953,-8846048626060339320,8492727944110230595,0,benign,1,0,train,2,test,1,51
-6426681728151063229,7029553947285930953,8288945617469596163,-667660229880762374,0,benign,1,2,test,2,test,0,23
-6411266859599272957,8547860340034121936,1520014331029815140,-8465029321258033386,0,benign,1,2,test,2,test,0,23
-6411266859599272957,8547860340034121936,4806094800689457888,7897575030860319281,0,benign,1,0,train,2,test,1,23
-6323813365801449777,1570042273588164081,-7283555302510480447,8686101985626101381,0,benign,1,2,test,2,test,0,23
-6323813365801449777,1570042273588164081,5441037121714074464,7350316006340380851,0,benign,1,0,train,2,test,1,51
-6302750286910485208,806070160851839328,5570408765407009737,-3673880360149486086,0,benign,1,0,train,1,validation,1,23
-6302750286910485208,806070160851839328,8372984458598628526,-3366877437603927417,0,benign,1,1,validation,1,validation,0,51
-6223274391672036201,-5083975071569259317,-5467765506526981399,-230579552558842543,0,benign,1,1,validation,2,test,1,62
-6223274391672036201,-5083975071569259317,1467224238013327111,524902328857236375,0,benign,1,2,test,2,test,0,62
-6139574574560413785,7933578146447362048,173993748374249742,4553977176971523720,0,benign,1,0,train,0,train,0,51
-6139574574560413785,7933578146447362048,2196547874631370937,-3599287444117392507,0,benign,1,0,train,0,train,0,23
-6139574574560413785,7933578146447362048,3471496699049159283,8813014629702941521,0,benign,1,0,train,0,train,0,51
-6139574574560413785,7933578146447362048,4960013499514064692,7808817622074041123,0,benign,1,0,train,0,train,0,51
-6139574574560413785,7933578146447362048,7565677890893130108,-108874377320671095,0,benign,1,2,test,0,train,1,23
-6125837202702471622,-102218895637482554,-8480476193571662548,-6776135385502042235,0,benign,1,1,validation,1,validation,0,51
-6125837202702471622,-102218895637482554,-4597153850159811932,-1150747338656711379,0,benign,1,0,train,1,validation,1,23
-6053094857704361073,9184502512584739558,-4938029781927197997,-2081253272320181257,0,benign,1,0,train,0,train,0,23
-6053094857704361073,9184502512584739558,-1250268764098013391,-3225196737146878197,0,benign,1,0,train,0,train,0,23
-6053094857704361073,9184502512584739558,2360431960695144219,6915215187751400897,0,benign,1,1,validation,0,train,1,23
-6053094857704361073,9184502512584739558,5544793902896238573,-4062134510493097148,0,benign,1,0,train,0,train,0,51
