run_id,status,locked_at,held_out_device,model_id,seed,completed_epoch,best_epoch,stopped_early,best_validation_macro_f1,validation_macro_f1,validation_selection_use,completed_iterations,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_record_weighted_macro_f1,benign_fnr,gafgyt_fnr,mirai_fnr,local_severe_signal,model_artifact_type,result_file,lock_summary_file
early_lodo_00_compact_dnn_b0_seed2026,locked,2026-08-05T19:33:03.430137+00:00,Danmini_Doorbell,compact_dnn_b0,2026,11,7,True,0.996835374715337,0.996835374715337,True,,0.9757062761238801,0.9739729202770789,0.9768157921925065,0.0004951107810372571,0.08512912604754574,5.213924244747738e-05,False,torch,results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_00_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_00_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T19:49:50.170821+00:00,Danmini_Doorbell,hist_gradient_boosting_b0,2026,,,,,1.0,False,100,0.984940616885373,0.9825054513671818,0.9855049635085997,0.0,0.05734038494428438,0.0,False,joblib,results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_00_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_00_tinyml_mlp_b0_seed2026,locked,2026-08-05T19:26:35.666613+00:00,Danmini_Doorbell,tinyml_mlp_b0,2026,11,7,True,0.9971723195056136,0.9971723195056136,True,,0.9816576446931068,0.9799887410327143,0.982494739497556,0.00017328877336304,0.06543131915117549,6.287379236313449e-05,False,torch,results\v2\early_lodo\runs\early_lodo_00_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_00_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_01_compact_dnn_b0_seed2026,locked,2026-08-05T20:12:58.759665+00:00,Ecobee_Thermostat,compact_dnn_b0,2026,13,13,True,0.9985249483144153,0.9985249483144153,True,,0.990265033171612,0.9934239139678351,0.9903905513553813,0.0005339028296849973,0.01446842794320051,0.002140069083616951,False,torch,results\v2\early_lodo\runs\early_lodo_01_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_01_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_01_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T21:13:26.689000+00:00,Ecobee_Thermostat,hist_gradient_boosting_b0,2026,,,,,0.9999967833981671,False,100,0.9922769394519403,0.9926621910891786,0.9924180964723944,0.0,0.020175232468360803,5.857853331068297e-05,False,joblib,results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_01_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_01_tinyml_mlp_b0_seed2026,locked,2026-08-05T20:07:39.774786+00:00,Ecobee_Thermostat,tinyml_mlp_b0,2026,15,13,False,0.9985481110039491,0.9985481110039491,True,,0.9881467652490058,0.9918980384724723,0.9883014871336723,0.0003813591640607124,0.016465809527006613,0.0034346546697830447,False,torch,results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_01_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_02_compact_dnn_b0_seed2026,locked,2026-08-05T21:27:22.125848+00:00,Ennio_Doorbell,compact_dnn_b0,2026,15,12,True,0.9966195866524757,0.9966195866524757,True,,0.9932445684276212,0.9858298459239395,0.9934782548560437,0.0005648121999435188,0.015759146934750272,,False,torch,results\v2\early_lodo\runs\early_lodo_02_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_02_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_02_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T21:30:21.681403+00:00,Ennio_Doorbell,hist_gradient_boosting_b0,2026,,,,,0.9999567236163017,False,100,0.9033496516659376,0.713631759101474,0.8999015507662298,0.0,0.3198137135582096,,False,joblib,results\v2\early_lodo\runs\early_lodo_02_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_02_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_02_tinyml_mlp_b0_seed2026,locked,2026-08-05T21:22:14.679441+00:00,Ennio_Doorbell,tinyml_mlp_b0,2026,15,14,False,0.9968873835709843,0.9968873835709843,True,,0.99244543529751,0.9823951045336814,0.9927041584095851,0.0006495340299350466,0.01958514326047449,,False,torch,results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_02_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_03_compact_dnn_b0_seed2026,locked,2026-08-05T21:41:38.760365+00:00,Philips_B120N10_Baby_Monitor,compact_dnn_b0,2026,15,15,False,0.9981882504851126,0.9981882504851126,True,,0.9932630097346817,0.9935674612616364,0.9932216015582517,0.007763063079429094,0.018664960460675617,6.22222513320474e-05,False,torch,results\v2\early_lodo\runs\early_lodo_03_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_03_compact_dnn_b0_seed2026\lock_summary.json
