held_out_device,model_id,run_id,seed,test_present_class_count,test_class_counts,validation_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_record_weighted_macro_f1,validation_test_macro_f1_drop,benign_fnr,gafgyt_fnr,mirai_fnr,maximum_eligible_attack_fnr,local_severe_signal,meaningful_validation_test_drop,parameter_count,completed_epoch,best_epoch,stopped_early,completed_iterations,total_seconds,lock_summary_file,run_result_file
Danmini_Doorbell,tinyml_mlp_b0,early_lodo_00_tinyml_mlp_b0_seed2026,2026,3,40395|304044|652100,0.9971723195056136,0.9816576446931068,0.9799887410327143,0.982494739497556,0.01551467481250679,0.00017328877336304,0.06543131915117549,6.287379236313449e-05,0.06543131915117549,False,False,9603,11,7,True,,24.239044799935073,results\v2\early_lodo\locks\early_lodo_00_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_00_tinyml_mlp_b0_seed2026\run_result.json
Danmini_Doorbell,compact_dnn_b0,early_lodo_00_compact_dnn_b0_seed2026,2026,3,40395|304044|652100,0.996835374715337,0.9757062761238801,0.9739729202770789,0.9768157921925065,0.021129098591456952,0.0004951107810372571,0.08512912604754574,5.213924244747738e-05,0.08512912604754574,False,False,25283,11,7,True,,49.49428220000118,results\v2\early_lodo\locks\early_lodo_00_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\run_result.json
Danmini_Doorbell,hist_gradient_boosting_b0,early_lodo_00_hist_gradient_boosting_b0_seed2026,2026,3,40395|304044|652100,1.0,0.984940616885373,0.9825054513671818,0.9855049635085997,0.015059383114626956,0.0,0.05734038494428438,0.0,0.05734038494428438,False,False,,,,,100,41.007595500093885,results\v2\early_lodo\locks\early_lodo_00_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\run_result.json
Ecobee_Thermostat,tinyml_mlp_b0,early_lodo_01_tinyml_mlp_b0_seed2026,2026,3,13111|297890|512133,0.9985481110039491,0.9881467652490058,0.9918980384724723,0.9883014871336723,0.010401345754943336,0.0003813591640607124,0.016465809527006613,0.0034346546697830447,0.016465809527006613,False,False,9603,15,13,False,,34.59764059993904,results\v2\early_lodo\locks\early_lodo_01_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\run_result.json
Ecobee_Thermostat,compact_dnn_b0,early_lodo_01_compact_dnn_b0_seed2026,2026,3,13111|297890|512133,0.9985249483144153,0.990265033171612,0.9934239139678351,0.9903905513553813,0.008259915142803331,0.0005339028296849973,0.01446842794320051,0.002140069083616951,0.01446842794320051,False,False,25283,13,13,True,,62.90533979993779,results\v2\early_lodo\locks\early_lodo_01_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_01_compact_dnn_b0_seed2026\run_result.json
Ecobee_Thermostat,hist_gradient_boosting_b0,early_lodo_01_hist_gradient_boosting_b0_seed2026,2026,3,13111|297890|512133,0.9999967833981671,0.9922769394519403,0.9926621910891786,0.9924180964723944,0.007719843946226823,0.0,0.020175232468360803,5.857853331068297e-05,0.020175232468360803,False,False,,,,,100,40.41566499997862,results\v2\early_lodo\locks\early_lodo_01_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\run_result.json
Ennio_Doorbell,tinyml_mlp_b0,early_lodo_02_tinyml_mlp_b0_seed2026,2026,2,35410|303189|0,0.9968873835709843,0.99244543529751,0.9823951045336814,0.9927041584095851,0.004441948273474328,0.0006495340299350466,0.01958514326047449,,0.01958514326047449,False,False,9603,15,14,False,,55.63220500003081,results\v2\early_lodo\locks\early_lodo_02_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\run_result.json
Ennio_Doorbell,compact_dnn_b0,early_lodo_02_compact_dnn_b0_seed2026,2026,2,35410|303189|0,0.9966195866524757,0.9932445684276212,0.9858298459239395,0.9934782548560437,0.0033750182248545313,0.0005648121999435188,0.015759146934750272,,0.015759146934750272,False,False,25283,15,12,True,,124.9276856998913,results\v2\early_lodo\locks\early_lodo_02_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_02_compact_dnn_b0_seed2026\run_result.json
Ennio_Doorbell,hist_gradient_boosting_b0,early_lodo_02_hist_gradient_boosting_b0_seed2026,2026,2,35410|303189|0,0.9999567236163017,0.9033496516659376,0.713631759101474,0.8999015507662298,0.09660707195036411,0.0,0.3198137135582096,,0.3198137135582096,False,False,,,,,100,40.55447630002163,results\v2\early_lodo\locks\early_lodo_02_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_02_hist_gradient_boosting_b0_seed2026\run_result.json
Philips_B120N10_Baby_Monitor,tinyml_mlp_b0,early_lodo_03_tinyml_mlp_b0_seed2026,2026,3,165141|300081|610714,0.998433410135385,0.9905334472979256,0.9906974020759599,0.9904251788402276,0.007899962837459418,0.008859096166306368,0.02835234486688594,6.22222513320474e-05,0.02835234486688594,False,False,9603,15,13,False,,36.500112700043246,results\v2\early_lodo\locks\early_lodo_03_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_03_tinyml_mlp_b0_seed2026\run_result.json
Philips_B120N10_Baby_Monitor,compact_dnn_b0,early_lodo_03_compact_dnn_b0_seed2026,2026,3,165141|300081|610714,0.9981882504851126,0.9932630097346817,0.9935674612616364,0.9932216015582517,0.0049252407504308815,0.007763063079429094,0.018664960460675617,6.22222513320474e-05,0.018664960460675617,False,False,25283,15,15,False,,75.49009450001176,results\v2\early_lodo\locks\early_lodo_03_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_03_compact_dnn_b0_seed2026\run_result.json
Philips_B120N10_Baby_Monitor,hist_gradient_boosting_b0,early_lodo_03_hist_gradient_boosting_b0_seed2026,2026,3,165141|300081|610714,1.0,0.9759641808326674,0.9738720518692562,0.9766696457153698,0.02403581916733255,7.266517703053754e-05,0.09364138349312352,0.0,0.09364138349312352,False,False,,,,,100,36.39483260002453,results\v2\early_lodo\locks\early_lodo_03_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_03_hist_gradient_boosting_b0_seed2026\run_result.json
Provision_PT_737E_Security_Camera,tinyml_mlp_b0,early_lodo_04_tinyml_mlp_b0_seed2026,2026,3,55169|316657|436010,0.9949094809971201,0.9629826302186023,0.9689937066434277,0.9651092233188162,0.03192685077851776,0.0006887926190433033,0.06293560540269123,0.011653402444898053,0.06293560540269123,False,False,9603,13,9,True,,38.49993579997681,results\v2\early_lodo\locks\early_lodo_04_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_04_tinyml_mlp_b0_seed2026\run_result.json
Provision_PT_737E_Security_Camera,compact_dnn_b0,early_lodo_04_compact_dnn_b0_seed2026,2026,3,55169|316657|436010,0.9952385470066684,0.9629626797663531,0.9601416624166291,0.9645338577096468,0.03227586724031528,0.0010150628070111837,0.09554186390952987,0.00433246943877434,0.09554186390952987,False,False,25283,15,12,False,,97.69958619994577,results\v2\early_lodo\locks\early_lodo_04_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\run_result.json
Provision_PT_737E_Security_Camera,hist_gradient_boosting_b0,early_lodo_04_hist_gradient_boosting_b0_seed2026,2026,3,55169|316657|436010,0.9999966424272578,0.9246779904980243,0.9207042023380984,0.9281901309077852,0.07531865192923348,0.0,0.200668230924944,0.0011811655695970276,0.200668230924944,False,False,,,,,100,34.285309899947606,results\v2\early_lodo\locks\early_lodo_04_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\run_result.json
Provision_PT_838_Security_Camera,tinyml_mlp_b0,early_lodo_05_tinyml_mlp_b0_seed2026,2026,3,93995|296710|429337,0.9978674908591066,0.9922041821242035,0.9912504481477779,0.9923667354130181,0.005663308734903172,0.0007553593276238097,0.023029220450945367,0.0006312057893915502,0.023029220450945367,False,False,9603,15,13,False,,33.67407130007632,results\v2\early_lodo\locks\early_lodo_05_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\run_result.json
Provision_PT_838_Security_Camera,compact_dnn_b0,early_lodo_05_compact_dnn_b0_seed2026,2026,3,93995|296710|429337,0.9980734137309993,0.9932380693493537,0.992367464105497,0.9933759805861958,0.004835344381645679,0.0005851375073142189,0.020400390954130296,0.0003517050708417863,0.020400390954130296,False,False,25283,15,15,False,,74.44730800006073,results\v2\early_lodo\locks\early_lodo_05_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\run_result.json
Provision_PT_838_Security_Camera,hist_gradient_boosting_b0,early_lodo_05_hist_gradient_boosting_b0_seed2026,2026,3,93995|296710|429337,1.0,0.9628108012492839,0.9537596854795242,0.9637973458955579,0.037189198750716135,0.0,0.12779818678170604,0.0,0.12779818678170604,False,False,,,,,100,38.21104669990018,results\v2\early_lodo\locks\early_lodo_05_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_05_hist_gradient_boosting_b0_seed2026\run_result.json
Samsung_SNH_1011_N_Webcam,tinyml_mlp_b0,early_lodo_06_tinyml_mlp_b0_seed2026,2026,2,49559|309809|0,0.9961937394237399,0.9934942493254222,0.9881124641036486,0.9937781278687865,0.002699490098317714,0.00034302548477572185,0.013734268533193032,,0.013734268533193032,False,False,9603,15,11,True,,39.75484800001141,results\v2\early_lodo\locks\early_lodo_06_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\run_result.json
Samsung_SNH_1011_N_Webcam,compact_dnn_b0,early_lodo_06_compact_dnn_b0_seed2026,2026,2,49559|309809|0,0.9958782680782772,0.9939969510495716,0.9860393802453196,0.9942363332978564,0.0018813170287055314,0.000504449242317238,0.01611315358817852,,0.01611315358817852,False,False,25283,15,11,True,,84.01861409994308,results\v2\early_lodo\locks\early_lodo_06_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\run_result.json
Samsung_SNH_1011_N_Webcam,hist_gradient_boosting_b0,early_lodo_06_hist_gradient_boosting_b0_seed2026,2026,2,49559|309809|0,1.0,0.9922067347450386,0.9772823401081899,0.9925397029207059,0.007793265254961379,0.0,0.02635171993066696,,0.02635171993066696,False,False,,,,,100,38.37944279995281,results\v2\early_lodo\locks\early_lodo_06_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_06_hist_gradient_boosting_b0_seed2026\run_result.json
SimpleHome_XCS7_1002_WHT_Security_Camera,tinyml_mlp_b0,early_lodo_07_tinyml_mlp_b0_seed2026,2026,3,42784|291015|513248,0.9984807616397835,0.9841023422799352,0.9882887254190146,0.9806511790196818,0.014378419359848293,0.017716903515332835,0.01753861484803189,0.00790650913398591,0.01753861484803189,False,False,9603,10,6,True,,19.780724499956705,results\v2\early_lodo\locks\early_lodo_07_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_07_tinyml_mlp_b0_seed2026\run_result.json
SimpleHome_XCS7_1002_WHT_Security_Camera,compact_dnn_b0,early_lodo_07_compact_dnn_b0_seed2026,2026,3,42784|291015|513248,0.998750574631191,0.9872262375976194,0.9901091674960185,0.9841525640192508,0.011524337033571586,0.017787023186237847,0.016885727539817534,0.0052664598790448285,0.016885727539817534,False,False,25283,12,8,True,,51.393729899893515,results\v2\early_lodo\locks\early_lodo_07_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_07_compact_dnn_b0_seed2026\run_result.json
SimpleHome_XCS7_1002_WHT_Security_Camera,hist_gradient_boosting_b0,early_lodo_07_hist_gradient_boosting_b0_seed2026,2026,3,42784|291015|513248,0.9999702840232064,0.9958891575760941,0.9955079234092087,0.9960389256865021,0.004081126447112338,0.0002337322363500374,0.012800027489991924,0.00013638630837333997,0.012800027489991924,False,False,,,,,100,34.616299999994226,results\v2\early_lodo\locks\early_lodo_07_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\run_result.json
SimpleHome_XCS7_1003_WHT_Security_Camera,tinyml_mlp_b0,early_lodo_08_tinyml_mlp_b0_seed2026,2026,3,17936|303530|514860,0.9984067875648025,0.9909815937837917,0.9933327434517162,0.9913178574797438,0.007425193781010808,0.0006690454950936663,0.011774783382202747,0.003865128384415181,0.011774783382202747,False,False,9603,15,11,True,,30.497816899907775,results\v2\early_lodo\locks\early_lodo_08_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_08_tinyml_mlp_b0_seed2026\run_result.json
