held_out_device,device_display_name,model_id,model_display_name,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_record_weighted_macro_f1,benign_fnr,gafgyt_fnr,mirai_fnr,maximum_eligible_attack_fnr,local_severe_signal
Danmini_Doorbell,Danmini Doorbell,tinyml_mlp_b0,TinyML-MLP,0.9816576446931068,0.9799887410327143,0.982494739497556,0.00017328877336304,0.06543131915117549,6.287379236313449e-05,0.06543131915117549,False
Danmini_Doorbell,Danmini Doorbell,compact_dnn_b0,Compact-DNN,0.9757062761238801,0.9739729202770789,0.9768157921925065,0.0004951107810372571,0.08512912604754574,5.213924244747738e-05,0.08512912604754574,False
Danmini_Doorbell,Danmini Doorbell,hist_gradient_boosting_b0,HGB,0.984940616885373,0.9825054513671818,0.9855049635085997,0.0,0.05734038494428438,0.0,0.05734038494428438,False
Ecobee_Thermostat,Ecobee Thermostat,tinyml_mlp_b0,TinyML-MLP,0.9881467652490058,0.9918980384724723,0.9883014871336723,0.0003813591640607124,0.016465809527006613,0.0034346546697830447,0.016465809527006613,False
Ecobee_Thermostat,Ecobee Thermostat,compact_dnn_b0,Compact-DNN,0.990265033171612,0.9934239139678351,0.9903905513553813,0.0005339028296849973,0.01446842794320051,0.002140069083616951,0.01446842794320051,False
Ecobee_Thermostat,Ecobee Thermostat,hist_gradient_boosting_b0,HGB,0.9922769394519403,0.9926621910891786,0.9924180964723944,0.0,0.020175232468360803,5.857853331068297e-05,0.020175232468360803,False
Ennio_Doorbell,Ennio Doorbell†,tinyml_mlp_b0,TinyML-MLP,0.99244543529751,0.9823951045336814,0.9927041584095851,0.0006495340299350466,0.01958514326047449,,0.01958514326047449,False
Ennio_Doorbell,Ennio Doorbell†,compact_dnn_b0,Compact-DNN,0.9932445684276212,0.9858298459239395,0.9934782548560437,0.0005648121999435188,0.015759146934750272,,0.015759146934750272,False
Ennio_Doorbell,Ennio Doorbell†,hist_gradient_boosting_b0,HGB,0.9033496516659376,0.713631759101474,0.8999015507662298,0.0,0.3198137135582096,,0.3198137135582096,False
Philips_B120N10_Baby_Monitor,Philips Baby Monitor,tinyml_mlp_b0,TinyML-MLP,0.9905334472979256,0.9906974020759599,0.9904251788402276,0.008859096166306368,0.02835234486688594,6.22222513320474e-05,0.02835234486688594,False
Philips_B120N10_Baby_Monitor,Philips Baby Monitor,compact_dnn_b0,Compact-DNN,0.9932630097346817,0.9935674612616364,0.9932216015582517,0.007763063079429094,0.018664960460675617,6.22222513320474e-05,0.018664960460675617,False
Philips_B120N10_Baby_Monitor,Philips Baby Monitor,hist_gradient_boosting_b0,HGB,0.9759641808326674,0.9738720518692562,0.9766696457153698,7.266517703053754e-05,0.09364138349312352,0.0,0.09364138349312352,False
Provision_PT_737E_Security_Camera,Provision PT-737E,tinyml_mlp_b0,TinyML-MLP,0.9629826302186023,0.9689937066434277,0.9651092233188162,0.0006887926190433033,0.06293560540269123,0.011653402444898053,0.06293560540269123,False
Provision_PT_737E_Security_Camera,Provision PT-737E,compact_dnn_b0,Compact-DNN,0.9629626797663531,0.9601416624166291,0.9645338577096468,0.0010150628070111837,0.09554186390952987,0.00433246943877434,0.09554186390952987,False
Provision_PT_737E_Security_Camera,Provision PT-737E,hist_gradient_boosting_b0,HGB,0.9246779904980243,0.9207042023380984,0.9281901309077852,0.0,0.200668230924944,0.0011811655695970276,0.200668230924944,False
Provision_PT_838_Security_Camera,Provision PT-838,tinyml_mlp_b0,TinyML-MLP,0.9922041821242035,0.9912504481477779,0.9923667354130181,0.0007553593276238097,0.023029220450945367,0.0006312057893915502,0.023029220450945367,False
Provision_PT_838_Security_Camera,Provision PT-838,compact_dnn_b0,Compact-DNN,0.9932380693493537,0.992367464105497,0.9933759805861958,0.0005851375073142189,0.020400390954130296,0.0003517050708417863,0.020400390954130296,False
Provision_PT_838_Security_Camera,Provision PT-838,hist_gradient_boosting_b0,HGB,0.9628108012492839,0.9537596854795242,0.9637973458955579,0.0,0.12779818678170604,0.0,0.12779818678170604,False
Samsung_SNH_1011_N_Webcam,Samsung Webcam†,tinyml_mlp_b0,TinyML-MLP,0.9934942493254222,0.9881124641036486,0.9937781278687865,0.00034302548477572185,0.013734268533193032,,0.013734268533193032,False
Samsung_SNH_1011_N_Webcam,Samsung Webcam†,compact_dnn_b0,Compact-DNN,0.9939969510495716,0.9860393802453196,0.9942363332978564,0.000504449242317238,0.01611315358817852,,0.01611315358817852,False
Samsung_SNH_1011_N_Webcam,Samsung Webcam†,hist_gradient_boosting_b0,HGB,0.9922067347450386,0.9772823401081899,0.9925397029207059,0.0,0.02635171993066696,,0.02635171993066696,False
SimpleHome_XCS7_1002_WHT_Security_Camera,SimpleHome 1002,tinyml_mlp_b0,TinyML-MLP,0.9841023422799352,0.9882887254190146,0.9806511790196818,0.017716903515332835,0.01753861484803189,0.00790650913398591,0.01753861484803189,False
SimpleHome_XCS7_1002_WHT_Security_Camera,SimpleHome 1002,compact_dnn_b0,Compact-DNN,0.9872262375976194,0.9901091674960185,0.9841525640192508,0.017787023186237847,0.016885727539817534,0.0052664598790448285,0.016885727539817534,False
SimpleHome_XCS7_1002_WHT_Security_Camera,SimpleHome 1002,hist_gradient_boosting_b0,HGB,0.9958891575760941,0.9955079234092087,0.9960389256865021,0.0002337322363500374,0.012800027489991924,0.00013638630837333997,0.012800027489991924,False
SimpleHome_XCS7_1003_WHT_Security_Camera,SimpleHome 1003,tinyml_mlp_b0,TinyML-MLP,0.9909815937837917,0.9933327434517162,0.9913178574797438,0.0006690454950936663,0.011774783382202747,0.003865128384415181,0.011774783382202747,False
SimpleHome_XCS7_1003_WHT_Security_Camera,SimpleHome 1003,compact_dnn_b0,Compact-DNN,0.9924872991345705,0.9946468243244859,0.9927537842053645,0.0006132917038358609,0.009214904622277864,0.0032416579264266015,0.009214904622277864,False
SimpleHome_XCS7_1003_WHT_Security_Camera,SimpleHome 1003,hist_gradient_boosting_b0,HGB,0.9745221579565461,0.9823944251404356,0.9758861041838826,0.0,0.048443316970315946,3.88455114011576e-05,0.048443316970315946,False
