profile,primary_profile,architecture,variant,candidate_id,representation,eligible,pareto_nondominated,dominated_by_count,deployment_improvement_count,failed_gates,mean_test_fingerprint_macro_f1,mean_serialized_state_dict_bytes,mean_state_size_kib,mean_batch_1_median_ms,mean_batch_32_samples_per_second
balanced,True,tinyml_mlp,P25-noFT,tinyml_mlp::P25-noFT,float32,False,False,0,3,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.9569461644366667,30101.0,29.3955078125,0.02631,1087208.0098179034
balanced,True,tinyml_mlp,P25-FP32-FT,tinyml_mlp::P25-FP32-FT,float32,True,True,0,3,,0.9992690763931465,30101.0,29.3955078125,0.02706,1017574.6801011197
balanced,True,tinyml_mlp,P50-noFT,tinyml_mlp::P50-noFT,float32,False,False,0,3,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.7824954690714307,19925.0,19.4580078125,0.02722,1193413.86087045
balanced,True,tinyml_mlp,P50-FP32-FT,tinyml_mlp::P50-FP32-FT,float32,True,True,0,3,,0.9989536146407785,19925.0,19.4580078125,0.02541,1186343.7549770407
balanced,True,tinyml_mlp,DQ,tinyml_mlp::DQ,dynamic_int8,False,False,0,1,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.8405492966450112,14719.0,14.3740234375,0.11377999999999999,184982.40524081374
balanced,True,tinyml_mlp,QAT,tinyml_mlp::QAT,static_int8,True,True,0,1,,0.9982103802573974,18407.0,17.9755859375,0.10343,171992.6788425923
balanced,True,tinyml_mlp,P25-QAT,tinyml_mlp::P25-QAT,static_int8,True,True,0,1,,0.9980622942844194,15207.0,14.8505859375,0.10096000000000001,169674.26636355594
balanced,True,tinyml_mlp,P50-QAT,tinyml_mlp::P50-QAT,static_int8,True,True,0,1,,0.9978555453698199,12199.0,11.9130859375,0.10766,168078.67334476035
balanced,True,tinyml_mlp,PTQ,tinyml_mlp::PTQ,static_int8,False,False,0,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.9938503114007465,18407.0,17.9755859375,0.10937,167364.55012861296
balanced,True,compact_dnn,P25-noFT,compact_dnn::P25-noFT,float32,True,False,3,2,,0.9988139070020772,71501.0,69.8251953125,0.04132,581034.4864529131
balanced,True,compact_dnn,P25-FP32-FT,compact_dnn::P25-FP32-FT,float32,True,False,1,2,,0.9991604849327598,71501.0,69.8251953125,0.0407,588555.9458143262
balanced,True,compact_dnn,P50-noFT,compact_dnn::P50-noFT,float32,False,False,0,2,fragility;mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.9182295452182796,43597.0,42.5751953125,0.04007,656150.7296020035
balanced,True,compact_dnn,P50-FP32-FT,compact_dnn::P50-FP32-FT,float32,True,False,2,3,,0.998786993887449,43597.0,42.5751953125,0.03866000000000001,680229.5377788424
balanced,True,compact_dnn,DQ,compact_dnn::DQ,dynamic_int8,False,False,0,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.9054053054146456,32051.0,31.2998046875,0.16024,129247.62388063656
balanced,True,compact_dnn,QAT,compact_dnn::QAT,static_int8,True,False,3,1,,0.9980903197215032,38293.0,37.3955078125,0.13618999999999998,124785.87654495964
balanced,True,compact_dnn,P25-QAT,compact_dnn::P25-QAT,static_int8,True,False,1,1,,0.9982271247954844,29013.0,28.3330078125,0.13628,131572.78763373004
balanced,True,compact_dnn,P50-QAT,compact_dnn::P50-QAT,static_int8,True,False,4,1,,0.9976074501406412,20949.0,20.4580078125,0.14221,130032.86360280805
balanced,True,compact_dnn,PTQ,compact_dnn::PTQ,static_int8,False,False,0,1,mean_macro_f1_loss;worst_seed_macro_f1_loss;mean_raw_weighted_macro_f1_loss,0.9953797075666587,38293.0,37.3955078125,0.13831000000000002,127916.53885021154
