endpoint_class,family_id,architecture,metric,metric_domain,direction,unit,block_count,variant_count,friedman_statistic,kendalls_W,monte_carlo_permutations,monte_carlo_random_seed,monte_carlo_exceedances,monte_carlo_p_plus_one,scipy_asymptotic_statistic,scipy_asymptotic_p,nominal_alpha,monte_carlo_reject_nominal,sensitivity_only_scipy
confirmatory,confirmatory__tinyml_mlp__test_fingerprint_macro_f1,tinyml_mlp,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,5,11,46.327272727272714,0.9265454545454542,100000,2026,0,9.99990000099999e-06,46.327272727272714,1.2511044185047553e-06,0.05,True,True
confirmatory,confirmatory__tinyml_mlp__batch_1_median_ms,tinyml_mlp,batch_1_median_ms,deployment,lower_is_better,milliseconds,5,11,39.599999999999994,0.7919999999999999,100000,2126,0,9.99990000099999e-06,39.599999999999994,1.992480755946178e-05,0.05,True,True
confirmatory,confirmatory__tinyml_mlp__batch_32_samples_per_second,tinyml_mlp,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,5,11,45.74545454545452,0.9149090909090904,100000,2226,0,9.99990000099999e-06,45.74545454545452,1.5948159334011e-06,0.05,True,True
confirmatory,confirmatory__tinyml_mlp__serialized_state_dict_bytes,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,5,11,49.09090909090909,0.9818181818181819,100000,2326,0,9.99990000099999e-06,50.0,2.669083424904495e-07,0.05,True,True
exploratory,exploratory__tinyml_mlp__test_raw_weighted_macro_f1,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,5,11,45.5272727272727,0.9105454545454541,100000,2426,0,9.99990000099999e-06,45.5272727272727,1.7465334820948195e-06,0.05,True,True
exploratory,exploratory__tinyml_mlp__batch_1_p95_ms,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,5,11,39.636363636363626,0.7927272727272725,100000,2526,0,9.99990000099999e-06,39.636363636363626,1.9633796747363713e-05,0.05,True,True
exploratory,exploratory__tinyml_mlp__batch_32_p95_ms,tinyml_mlp,batch_32_p95_ms,deployment,lower_is_better,milliseconds,5,11,43.78181818181818,0.8756363636363637,100000,2626,0,9.99990000099999e-06,43.78181818181818,3.6023415668281577e-06,0.05,True,True
exploratory,exploratory__tinyml_mlp__peak_inference_RSS_delta_bytes,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,5,11,46.48181818181817,0.9296363636363634,100000,2726,0,9.99990000099999e-06,46.566484517304175,1.132086763703736e-06,0.05,True,True
confirmatory,confirmatory__compact_dnn__test_fingerprint_macro_f1,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,5,11,47.49090909090907,0.9498181818181815,100000,12026,0,9.99990000099999e-06,47.49090909090907,7.686394584973966e-07,0.05,True,True
confirmatory,confirmatory__compact_dnn__batch_1_median_ms,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,5,11,40.836363636363615,0.8167272727272723,100000,12126,0,9.99990000099999e-06,40.836363636363615,1.2062189703381937e-05,0.05,True,True
confirmatory,confirmatory__compact_dnn__batch_32_samples_per_second,compact_dnn,batch_32_samples_per_second,deployment,higher_is_better,samples_per_second,5,11,45.45454545454544,0.9090909090909087,100000,12226,0,9.99990000099999e-06,45.45454545454544,1.8002150528153845e-06,0.05,True,True
confirmatory,confirmatory__compact_dnn__serialized_state_dict_bytes,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,5,11,49.09090909090909,0.9818181818181819,100000,12326,0,9.99990000099999e-06,50.0,2.669083424904495e-07,0.05,True,True
exploratory,exploratory__compact_dnn__test_raw_weighted_macro_f1,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,5,11,47.78181818181818,0.9556363636363636,100000,12426,0,9.99990000099999e-06,47.78181818181818,6.802688448394434e-07,0.05,True,True
exploratory,exploratory__compact_dnn__batch_1_p95_ms,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,5,11,43.23636363636362,0.8647272727272725,100000,12526,0,9.99990000099999e-06,43.23636363636362,4.511674802442395e-06,0.05,True,True
exploratory,exploratory__compact_dnn__batch_32_p95_ms,compact_dnn,batch_32_p95_ms,deployment,lower_is_better,milliseconds,5,11,42.54545454545453,0.8509090909090906,100000,12626,0,9.99990000099999e-06,42.54545454545453,5.995174279043489e-06,0.05,True,True
exploratory,exploratory__compact_dnn__peak_inference_RSS_delta_bytes,compact_dnn,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,5,11,46.136363636363626,0.9227272727272725,100000,12726,0,9.99990000099999e-06,46.178343949044574,1.3313771416495869e-06,0.05,True,True
