endpoint_class,architecture,metric,reference_variant,candidate_variant,mean_raw_delta_candidate_minus_B0,mean_improvement_delta,paired_rank_biserial_improvement,exact_two_sided_p_raw,Holm_adjusted_p,Holm_reject_alpha_0_05,all_checks_passed
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,FP32-FT,0.00013839604647383207,0.00013839604647383207,1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,P25-noFT,-0.04230242149086923,-0.04230242149086923,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,P25-FP32-FT,2.0490465610656373e-05,2.0490465610656373e-05,0.3333333333333333,0.625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,P50-noFT,-0.21675311685610515,-0.21675311685610515,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,P50-FP32-FT,-0.00029497128675743945,-0.00029497128675743945,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,DQ,-0.15869928928252475,-0.15869928928252475,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,QAT,-0.0010382056701386145,-0.0010382056701386145,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,P25-QAT,-0.001186291643116455,-0.001186291643116455,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,P50-QAT,-0.001393040557716052,-0.001393040557716052,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,B0,PTQ,-0.0053982745267894035,-0.0053982745267894035,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,FP32-FT,-0.0016799999999999996,0.0016799999999999996,0.2,0.625,1.0,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,P25-noFT,-0.00207,0.00207,0.6,0.3125,1.0,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,P25-FP32-FT,-0.0013199999999999996,0.0013199999999999996,0.2,0.75,1.0,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,P50-noFT,-0.0011600000000000007,0.0011600000000000007,0.2,0.8125,1.0,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,P50-FP32-FT,-0.0029700000000000004,0.0029700000000000004,0.4666666666666667,0.4375,1.0,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,DQ,0.0854,-0.0854,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,QAT,0.07505,-0.07505,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,P25-QAT,0.07258,-0.07258,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,P50-QAT,0.07928,-0.07928,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_1_median_ms,B0,PTQ,0.08098999999999998,-0.08098999999999998,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,FP32-FT,42726.37099362102,42726.37099362102,0.3333333333333333,0.5625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,P25-noFT,186062.8984389116,186062.8984389116,1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,P25-FP32-FT,116429.56872212786,116429.56872212786,0.7333333333333333,0.1875,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,P50-noFT,292268.7494914581,292268.7494914581,1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,P50-FP32-FT,285198.643598049,285198.643598049,1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,DQ,-716162.7061381781,-716162.7061381781,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,QAT,-729152.4325363997,-729152.4325363997,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,P25-QAT,-731470.845015436,-731470.845015436,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,P50-QAT,-733066.4380342317,-733066.4380342317,-1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,B0,PTQ,-733780.561250379,-733780.561250379,-1.0,0.0625,0.625,False,True
