epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.07509324372498119,0.9856696812039125,0.9797076555441122,0.006838748369168509,0.9984860870594057,0.9975576730662099,True,0,8.063983500003815
2,0.006857069421956037,0.9986163314314842,0.9977433524349401,0.0042984657947217585,0.9990884254229814,0.9984751675389525,True,0,7.957244899938814
3,0.004250479767130403,0.9991847574380096,0.9986280237801598,0.0028340693849003337,0.9993519484570458,0.998891356070274,True,0,7.611461999942549
4,0.0031075214025606535,0.9994051088150332,0.9989928717547508,0.0025478363946257318,0.9994191737208377,0.9989857826548171,False,1,7.741869700024836
5,0.0024702946566819415,0.9995305307476471,0.9992027935312606,0.0023891699387845623,0.9995052220584913,0.9991503942133235,True,0,7.598551800008863
6,0.0023000953097195714,0.999593241713954,0.9993000666462124,0.0016065789432298503,0.9996450506071786,0.9993981812769102,True,0,7.7351941000670195
7,0.002024273964866795,0.9996490487206675,0.9993977999550238,0.00240033418671198,0.999491777005733,0.9991498786516694,False,1,14.611608000006527
8,0.0019381770704305203,0.9996346654715146,0.9993706386823762,0.0014838572508619236,0.9997230319131772,0.9995322716959528,False,2,16.13230159995146
9,0.0017831840403385259,0.999675513899109,0.9994380844118251,0.0014612858505764624,0.9996961418076604,0.9994926192630347,False,3,16.266483000013977
10,0.00180576039083972,0.9996628566398543,0.9994242177732132,0.0014187390517391408,0.9997445439975906,0.9995613875055644,False,4,15.65260169992689
