run_id,model_id,condition_id,condition_family,severity,perturbation_seed,perturbed_feature_array_sha256,test_rows,represented_raw_rows,fingerprint_macro_f1,fingerprint_accuracy,gafgyt_fnr,mirai_fnr,raw_weighted_macro_f1,raw_weighted_accuracy,macro_f1_drop_from_model_clean,macro_f1_retention_ratio,weighted_macro_f1_drop_from_model_clean,severe_fragility,material_sensitivity,model_retraining,test_used_for_model_selection,final_model_changed
tinyml_mlp_B0__clean,tinyml_mlp_B0,clean,clean,0.0,,e6af62f3991d057d7515c76230719474f79ec7a6ff7cc2de2c11b2c4a635de47,371796,1059393,0.9992545342200568,0.9995696564782838,0.0022749164839218627,0.00016261352456681255,0.9980267703090027,0.9990126421450775,0.0,1.0,0.0,False,False,False,False,False
tinyml_mlp_P50_QAT__clean,tinyml_mlp_P50_QAT,clean,clean,0.0,,e6af62f3991d057d7515c76230719474f79ec7a6ff7cc2de2c11b2c4a635de47,371796,1059393,0.9970080708948338,0.9981091781514594,0.0065993072776833195,0.001475717735444082,0.9959473619503365,0.996472508313723,0.0,1.0,0.0,False,False,False,False,False
hist_gradient_boosting_B0__clean,hist_gradient_boosting_B0,clean,clean,0.0,,e6af62f3991d057d7515c76230719474f79ec7a6ff7cc2de2c11b2c4a635de47,371796,1059393,0.9997380683535377,0.9998708969434852,0.0009632529256246025,0.0,0.9990430947883375,0.9995912753812797,0.0,1.0,0.0,False,False,False,False,False
tinyml_mlp_B0__gaussian_noise_1pct,tinyml_mlp_B0,gaussian_noise_1pct,gaussian_noise,0.01,2101,c4dc4d07de7966d966bbf89df7578feebda031d1e562fbb2121121be746a3ea6,371796,1059393,0.9992391715339558,0.9995588978902409,0.002315905970118659,0.00017074420079521424,0.9979923004064294,0.9989928194730379,1.536268610102809e-05,0.9999846258529985,3.446990257327531e-05,False,False,False,False,False
tinyml_mlp_P50_QAT__gaussian_noise_1pct,tinyml_mlp_P50_QAT,gaussian_noise_1pct,gaussian_noise,0.01,2101,c4dc4d07de7966d966bbf89df7578feebda031d1e562fbb2121121be746a3ea6,371796,1059393,0.9968948901845355,0.9980311783881484,0.006435349332896134,0.0016180045694400569,0.9959761575058391,0.9964498538313922,0.00011318071029831067,0.9998864796448471,-2.8795555502614256e-05,False,False,False,False,False
hist_gradient_boosting_B0__gaussian_noise_1pct,hist_gradient_boosting_B0,gaussian_noise_1pct,gaussian_noise,0.01,2101,c4dc4d07de7966d966bbf89df7578feebda031d1e562fbb2121121be746a3ea6,371796,1059393,0.8311729592044887,0.8514534852445965,0.2590740475068145,0.17308990088705678,0.738039951006639,0.8028012267402183,0.168565109149049,0.8313907267463989,0.26100314378169853,True,True,False,False,False
tinyml_mlp_B0__gaussian_noise_5pct,tinyml_mlp_B0,gaussian_noise_5pct,gaussian_noise,0.05,2105,8d75426f97563f2b3deed810bdd215121b177e4ba1a703a9131baf8c2250269f,371796,1059393,0.9989054543674794,0.999341036482372,0.003709548500809512,0.00021546292005103496,0.9975688726881279,0.9983905878177409,0.000349079852577483,0.9996506597262028,0.0004578976208747809,False,False,False,False,False
tinyml_mlp_P50_QAT__gaussian_noise_5pct,tinyml_mlp_P50_QAT,gaussian_noise_5pct,gaussian_noise,0.05,2105,8d75426f97563f2b3deed810bdd215121b177e4ba1a703a9131baf8c2250269f,371796,1059393,0.9925694751779526,0.9951962904388428,0.012686245977906685,0.004597897407127349,0.99282886139874,0.992325794110401,0.004438595716881211,0.9955480844674632,0.0031185005515964592,False,False,False,False,False
hist_gradient_boosting_B0__gaussian_noise_5pct,hist_gradient_boosting_B0,gaussian_noise_5pct,gaussian_noise,0.05,2105,8d75426f97563f2b3deed810bdd215121b177e4ba1a703a9131baf8c2250269f,371796,1059393,0.6777937421383488,0.7386335517326706,0.5521898633000635,0.28124009073834666,0.5779837321758242,0.6280653166483071,0.321944326215189,0.6779713242835725,0.4210593626125133,True,True,False,False,False
tinyml_mlp_B0__gaussian_noise_10pct,tinyml_mlp_B0,gaussian_noise_10pct,gaussian_noise,0.1,2110,c243d9e5abfb6105ff8a29d70e083ff2b79592b0e303d95ebd979f70c77be799,371796,1059393,0.9965177353996174,0.9977998687452259,0.012030414198758055,0.0008781130326609432,0.9945791194604254,0.994746991909518,0.0027367988204394234,0.997261159467667,0.003447650848577233,False,False,False,False,False
